nfull,nabb,if
Nature Geoscience,NAT GEOSCI,12.508
GONDWANA RESEARCH,GONDWANA RES,8.743
Earth System Science Data,EARTH SYST SCI DATA,8.286
Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,7.81
EARTH-SCIENCE REVIEWS,EARTH-SCI REV,6.991
Earths Future,EARTHS FUTURE,5.62
Cryosphere,CRYOSPHERE,4.906
Advances in Geophysics,ADV GEOPHYS,4.6
Earth System Dynamics,EARTH SYST DYNAM,4.589
QUATERNARY SCIENCE REVIEWS,QUATERNARY SCI REV,4.521
GLOBAL BIOGEOCHEMICAL CYCLES,GLOBAL BIOGEOCHEM CY,4.495
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,GEOL SOC AM BULL,4.332
GEOPHYSICAL RESEARCH LETTERS,GEOPHYS RES LETT,4.212
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ISPRS J PHOTOGRAMM,4.188
PRECAMBRIAN RESEARCH,PRECAMBRIAN RES,4.037
HYDROLOGY AND EARTH SYSTEM SCIENCES,HYDROL EARTH SYST SC,3.99
Biogeosciences,BIOGEOSCIENCES,3.7
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,3.657
Climate of the Past,CLIM PAST,3.638
AMERICAN JOURNAL OF SCIENCE,AM J SCI,3.566
Geoscientific Model Development,GEOSCI MODEL DEV,3.549
GLOBAL AND PLANETARY CHANGE,GLOBAL PLANET CHANGE,3.548
EARTH SURFACE PROCESSES AND LANDFORMS,EARTH SURF PROC LAND,3.505
Geobiology,GEOBIOLOGY,3.5
PALEOCEANOGRAPHY,PALEOCEANOGRAPHY,3.433
BIOGEOCHEMISTRY,BIOGEOCHEMISTRY,3.407
JOURNAL OF GEOPHYSICAL RESEARCH,J GEOPHYS RES,3.318
INTERNATIONAL JOURNAL OF COAL GEOLOGY,INT J COAL GEOL,3.294
EPISODES,EPISODES,3.263
Quaternary Geochronology,QUAT GEOCHRONOL,3.142
JOURNAL OF GLACIOLOGY,J GLACIOL,3.109
Landslides,LANDSLIDES,3.049
JOURNAL OF HYDROLOGY,J HYDROL,3.043
GEOMORPHOLOGY,GEOMORPHOLOGY,2.813
BASIN RESEARCH,BASIN RES,2.8
MARINE AND PETROLEUM GEOLOGY,MAR PETROL GEOL,2.788
TERRA NOVA,TERRA NOVA,2.758
PROGRESS IN PHYSICAL GEOGRAPHY,PROG PHYS GEOG,2.728
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,J VOLCANOL GEOTH RES,2.674
JOURNAL OF ASIAN EARTH SCIENCES,J ASIAN EARTH SCI,2.647
ASTROBIOLOGY,ASTROBIOLOGY,2.628
CATENA,CATENA,2.612
JOURNAL OF QUATERNARY SCIENCE,J QUATERNARY SCI,2.553
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGR PALAEOCL,2.525
BULLETIN OF VOLCANOLOGY,B VOLCANOL,2.513
MARINE GEOLOGY,MAR GEOL,2.503
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,2.474
JOURNAL OF THE GEOLOGICAL SOCIETY,J GEOL SOC LONDON,2.473
BOREAS,BOREAS,2.386
ROCK MECHANICS AND ROCK ENGINEERING,ROCK MECH ROCK ENG,2.386
GEOTEXTILES AND GEOMEMBRANES,GEOTEXT GEOMEMBRANES,2.366
AAPG BULLETIN,AAPG BULL,2.344
GEOLOGICAL JOURNAL,GEOL J,2.338
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,EARTH ENV SCI T R SO,2.333
GEOTHERMICS,GEOTHERMICS,2.323
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,NAT HAZARD EARTH SYS,2.277
Geosphere,GEOSPHERE,2.262
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,2.255
JOURNAL OF PALEOLIMNOLOGY,J PALEOLIMNOL,2.237
QUATERNARY RESEARCH,QUATERNARY RES,2.198
ENGINEERING GEOLOGY,ENG GEOL,2.196
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,2.174
Geomatics Natural Hazards & Risk,GEOMAT NAT HAZ RISK,2.14
HOLOCENE,HOLOCENE,2.135
INTERNATIONAL JOURNAL OF EARTH SCIENCES,INT J EARTH SCI,2.133
JOURNAL OF STRUCTURAL GEOLOGY,J STRUCT GEOL,2.084
QUATERNARY INTERNATIONAL,QUATERN INT,2.067
GEOSYNTHETICS INTERNATIONAL,GEOSYNTH INT,2.066
JOURNAL OF CONTAMINANT HYDROLOGY,J CONTAM HYDROL,2.063
Geochronometria,GEOCHRONOMETRIA,2.038
Bulletin of Earthquake Engineering,B EARTHQ ENG,2.036
HYDROGEOLOGY JOURNAL,HYDROGEOL J,2.028
Earth Surface Dynamics,EARTH SURF DYNAM,2
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1.996
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,1.992
Groundwater,GROUNDWATER,1.947
CANADIAN GEOTECHNICAL JOURNAL,CAN GEOTECH J,1.877
EARTH PLANETS AND SPACE,EARTH PLANETS SPACE,1.871
GEOLOGICAL MAGAZINE,GEOL MAG,1.863
Mathematical Geosciences,MATH GEOSCI,1.777
SPE RESERVOIR EVALUATION & ENGINEERING,SPE RESERV EVAL ENG,1.767
AUSTRALIAN JOURNAL OF EARTH SCIENCES,AUST J EARTH SCI,1.75
NATURAL HAZARDS,NAT HAZARDS,1.746
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,J S AM EARTH SCI,1.737
ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,1.731
POLAR RESEARCH,POLAR RES,1.728
GEODINAMICA ACTA,GEODIN ACTA,1.714
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,1.705
BULLETIN OF GEOSCIENCES,B GEOSCI,1.7
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,J GEOTECH GEOENVIRON,1.696
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,1.693
Swiss Journal of Geosciences,SWISS J GEOSCI,1.66
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,J AM WATER RESOUR AS,1.659
Science China-Earth Sciences,SCI CHINA EARTH SCI,1.655
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,1.636
NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW,NETH J GEOSCI,1.622
PHOTOGRAMMETRIC RECORD,PHOTOGRAMM REC,1.622
COMPTES RENDUS GEOSCIENCE,CR GEOSCI,1.61
JOURNAL OF PETROLEUM GEOLOGY,J PETROL GEOL,1.605
ANNALS OF GLACIOLOGY,ANN GLACIOL,1.589
GEO-MARINE LETTERS,GEO-MAR LETT,1.577
Geoscience Data Journal,GEOSCI DATA J,1.562
INTERNATIONAL JOURNAL OF SPELEOLOGY,INT J SPELEOL,1.559
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,1.533
Earth Science Informatics,EARTH SCI INFORM,1.524
GEOLOGICA CARPATHICA,GEOL CARPATH,1.523
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,SOIL DYN EARTHQ ENG,1.481
GeoArabia,GEOARABIA,1.475
ADVANCES IN SPACE RESEARCH,ADV SPACE RES,1.409
GEOMICROBIOLOGY JOURNAL,GEOMICROBIOL J,1.402
ISLAND ARC,ISL ARC,1.397
Spatial Statistics,SPAT STAT-NETH,1.385
Geocarto International,GEOCARTO INT,1.38
Petroleum Exploration and Development,PETROL EXPLOR DEV+,1.377
ARCHAEOMETRY,ARCHAEOMETRY,1.364
JOURNAL OF APPLIED GEOPHYSICS,J APPL GEOPHYS,1.355
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,GEOARCHAEOLOGY,1.344
ANTARCTIC SCIENCE,ANTARCT SCI,1.336
Archaeological Prospection,ARCHAEOL PROSPECT,1.327
JOURNAL OF AFRICAN EARTH SCIENCES,J AFR EARTH SCI,1.326
Earth Interactions,EARTH INTERACT,1.319
TURKISH JOURNAL OF EARTH SCIENCES,TURK J EARTH SCI,1.299
PHYSICS AND CHEMISTRY OF THE EARTH,PHYS CHEM EARTH,1.297
Natural Hazards Review,NAT HAZARDS REV,1.293
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,1.288
Russian Geology and Geophysics,RUSS GEOL GEOPHYS+,1.288
Bulletin of Engineering Geology and the Environment,B ENG GEOL ENVIRON,1.252
International Journal of Disaster Risk Reduction,INT J DISAST RISK RE,1.242
SOILS AND FOUNDATIONS,SOILS FOUND,1.238
PETROLOGY,PETROLOGY+,1.231
GEOSCIENCE CANADA,GEOSCI CAN,1.225
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,1.222
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,1.19
International Journal of Astrobiology,INT J ASTROBIOL,1.184
