nfull,nabb,if,,
Journals Of Gerontology Series A-Biological Sciences And Medical Sciences,J Gerontol A-Biol,5.476,,
Journal Of The American Geriatrics Society,J Am Geriatr Soc,3.842,,
Gerontologist,Gerontologist,3.168,,
American Journal Of Geriatric Psychiatry,Am J Geriat Psychiat,3.13,,
Journals Of Gerontology Series B-Psychological Sciences And Social Sciences,J Gerontol B-Psychol,2.813,,
Psychology And Aging,Psychol Aging,2.725,,
International Journal Of Geriatric Psychiatry,Int J Geriatr Psych,2.699,,
Bmc Geriatrics,Bmc Geriatr,2.371,,
Geriatrics & Gerontology International,Geriatr Gerontol Int,2.229,,
International Psychogeriatrics,Int Psychogeriatr,2.22,,
Journal Of Aging And Physical Activity,J Aging Phys Activ,1.867,,
Aging & Mental Health,Aging Ment Health,1.861,,
Ageing & Society,Ageing Soc,1.827,,
Journal Of Aging And Health,J Aging Health,1.66,,
European Journal Of Ageing,Eur J Ageing,1.47,,
Journal Of Aging Studies,J Aging Stud,1.437,,
Journal Of Applied Gerontology,J Appl Gerontol,1.258,,
Research On Aging,Res Aging,1.209,,
Dementia-International Journal Of Social Research And Practice,Dementia-London,1.083,,
Geriatric Nursing,Geriatr Nurs,1.009,,
Journal Of Aging & Social Policy,J Aging Soc Policy,1,,
Journal Of Gerontological Nursing,J Gerontol Nurs,0.94,,
Journal Of Women & Aging,J Women Aging,0.846,,
Zeitschrift Fur Gerontologie Und Geriatrie,Z Gerontol Geriatr,0.769,,
Australasian Journal On Ageing,Australas J Ageing,0.667,,
Clinical Gerontologist,Clin Gerontologist,0.589,,
Canadian Journal On Aging-Revue Canadienne Du Vieillissement,Can J Aging,0.514,,
International Journal Of Aging & Human Development,Int J Aging Hum Dev,0.507,,
Educational Gerontology,Educ Gerontol,0.429,,
Generations-Journal Of The American Society On Aging,Generations,0.215,,
Turkish Journal Of Geriatrics-Turk Geriatri Dergisi,Turk J Geriatr,0.13,,
Topics In Geriatric Rehabilitation,Top Geriatr Rehabil,0.123,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
