nfull,nabb,if
AGEING RESEARCH REVIEWS,AGEING RES REV,7.526
Journal of the American Medical Directors Association,J AM MED DIR ASSOC,6.616
AGING CELL,AGING CELL,5.76
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,J GERONTOL A-BIOL,5.476
NEUROBIOLOGY OF AGING,NEUROBIOL AGING,5.153
Frontiers in Aging Neuroscience,FRONT AGING NEUROSCI,4.348
AGE AND AGEING,AGE AGEING,4.201
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,J AM GERIATR SOC,3.842
Aging and Disease,AGING DIS,3.697
REJUVENATION RESEARCH,REJUV RES,3.664
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,DEMENT GERIATR COGN,3.408
EXPERIMENTAL GERONTOLOGY,EXP GERONTOL,3.35
BIOGERONTOLOGY,BIOGERONTOLOGY,3.252
Journal of Nutrition Health & Aging,J NUTR HEALTH AGING,3.199
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AM J GERIAT PSYCHIAT,3.13
MATURITAS,MATURITAS,3.12
GERONTOLOGY,GERONTOLOGY,3.096
MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,2.892
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,2.813
Immunity & Ageing,IMMUN AGEING,2.708
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,INT J GERIATR PSYCH,2.699
DRUGS & AGING,DRUG AGING,2.61
AGE,AGE,2.5
BMC Geriatrics,BMC GERIATR,2.371
Journal of Geriatric Oncology,J GERIATR ONCOL,2.257
Geriatrics & Gerontology International,GERIATR GERONTOL INT,2.229
INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,2.22
Clinical Interventions in Aging,CLIN INTERV AGING,2.133
JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,J GERIATR PSYCH NEUR,2.127
ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCH GERONTOL GERIAT,1.971
JOURNAL OF AGING AND PHYSICAL ACTIVITY,J AGING PHYS ACTIV,1.867
AGING & MENTAL HEALTH,AGING MENT HEALTH,1.861
Journal of Geriatric Physical Therapy,J GERIATR PHYS THER,1.833
American Journal of Alzheimers Disease and Other Dementias,AM J ALZHEIMERS DIS,1.614
CLINICS IN GERIATRIC MEDICINE,CLIN GERIATR MED,1.525
GERODONTOLOGY,GERODONTOLOGY,1.396
Journal of Geriatric Cardiology,J GERIATR CARDIOL,1.393
AGING CLINICAL AND EXPERIMENTAL RESEARCH,AGING CLIN EXP RES,1.368
European Review of Aging and Physical Activity,EUR REV AGING PHYS A,1.364
European Geriatric Medicine,EUR GERIATR MED,1.326
EXPERIMENTAL AGING RESEARCH,EXP AGING RES,1.103
GERIATRIC NURSING,GERIATR NURS,1.009
Psychogeriatrics,PSYCHOGERIATRICS,1
Journal of Gerontological Nursing,J GERONTOL NURS,0.94
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,Z GERONTOL GERIATR,0.769
AUSTRALASIAN JOURNAL ON AGEING,AUSTRALAS J AGEING,0.667
Clinical Gerontologist,CLIN GERONTOLOGIST,0.589
International Journal of Gerontology,INT J GERONTOL,0.463
Turkish Journal of Geriatrics-Turk Geriatri Dergisi,TURK J GERIATR,0.13
