nfull,nabb,if
HEALTH AFFAIRS,HEALTH AFFAIR,5.23
BMJ Quality & Safety,BMJ QUAL SAF,4.996
JOURNAL OF CLINICAL EPIDEMIOLOGY,J CLIN EPIDEMIOL,4.703
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,4.634
JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,4.532
MILBANK QUARTERLY,MILBANK Q,4.375
JOURNAL OF MANAGED CARE PHARMACY,J MANAGE CARE PHARM,4.342
ACADEMIC MEDICINE,ACAD MED,4.194
HEALTH TECHNOLOGY ASSESSMENT,HEALTH TECHNOL ASSES,4.058
VALUE IN HEALTH,VALUE HEALTH,3.824
PALLIATIVE MEDICINE,PALLIATIVE MED,3.685
JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,3.494
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,3.428
MEDICAL EDUCATION,MED EDUC,3.369
HEALTH EXPECTATIONS,HEALTH EXPECT,3.207
Implementation Science,IMPLEMENT SCI,3.201
MEDICAL CARE,MED CARE,3.081
BMC Medical Research Methodology,BMC MED RES METHODOL,3.059
MEDICAL DECISION MAKING,MED DECIS MAKING,2.908
HEALTH SERVICES RESEARCH,HEALTH SERV RES,2.865
MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,2.675
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,J PAIN SYMPTOM MANAG,2.649
PHARMACOECONOMICS,PHARMACOECONOMICS,2.566
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,INT J QUAL HEALTH C,2.545
SUPPORTIVE CARE IN CANCER,SUPPORT CARE CANCER,2.535
HEALTH POLICY AND PLANNING,HEALTH POLICY PLANN,2.513
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,2.462
Journal of Patient Safety,J PATIENT SAF,2.446
QUALITY OF LIFE RESEARCH,QUAL LIFE RES,2.429
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,2.363
MEDICAL TEACHER,MED TEACH,2.355
JOURNAL OF HEALTH ECONOMICS,J HEALTH ECON,2.339
Patient-Patient Centered Outcomes Research,PATIENT,2.227
