nfull,nabb,if
LEUKEMIA,LEUKEMIA,12.104
BLOOD,BLOOD,11.847
CIRCULATION RESEARCH,CIRC RES,11.551
HAEMATOLOGICA,HAEMATOLOGICA,6.671
BLOOD REVIEWS,BLOOD REV,6.627
Journal of Hematology & Oncology,J HEMATOL ONCOL,6.263
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,5.969
STEM CELLS,STEM CELLS,5.902
BRITISH JOURNAL OF HAEMATOLOGY,BRIT J HAEMATOL,5.812
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,J THROMB HAEMOST,5.565
THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,5.255
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,CRIT REV ONCOL HEMAT,5.039
AMERICAN JOURNAL OF HEMATOLOGY,AM J HEMATOL,5
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,J CEREBR BLOOD F MET,4.929
Lancet Haematology,LANCET HAEMATOL,4.889
SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,4.438
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,4.165
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,3.98
TRANSFUSION MEDICINE REVIEWS,TRANSFUS MED REV,3.878
STEM CELLS AND DEVELOPMENT,STEM CELLS DEV,3.777
BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,3.636
CYTOTHERAPY,CYTOTHERAPY,3.625
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,3.505
HEMATOLOGICAL ONCOLOGY,HEMATOL ONCOL,3.494
CURRENT OPINION IN HEMATOLOGY,CURR OPIN HEMATOL,3.331
PLATELETS,PLATELETS,3.213
Hematology-American Society of Hematology Education Program,HEMATOL-AM SOC HEMAT,3.126
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,3.093
SHOCK,SHOCK,3.048
TRANSFUSION,TRANSFUSION,3.042
ANNALS OF HEMATOLOGY,ANN HEMATOL,3.022
HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,2.806
BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,BEST PRACT RES CL HA,2.74
BLOOD CELLS MOLECULES AND DISEASES,BLOOD CELL MOL DIS,2.731
HAEMOPHILIA,HAEMOPHILIA,2.673
VOX SANGUINIS,VOX SANG,2.656
PEDIATRIC BLOOD & CANCER,PEDIATR BLOOD CANCER,2.634
LEUKEMIA RESEARCH,LEUKEMIA RES,2.606
EUROPEAN JOURNAL OF HAEMATOLOGY,EUR J HAEMATOL,2.544
Expert Review of Hematology,EXPERT REV HEMATOL,2.439
MICROCIRCULATION,MICROCIRCULATION,2.435
JOURNAL OF CLINICAL APHERESIS,J CLIN APHERESIS,2.432
International Journal of Laboratory Hematology,INT J LAB HEMATOL,2.401
THROMBOSIS RESEARCH,THROMB RES,2.32
Clinical Lymphoma Myeloma & Leukemia,CL LYMPH MYELOM LEUK,2.316
EXPERIMENTAL HEMATOLOGY,EXP HEMATOL,2.303
TRANSFUSION MEDICINE AND HEMOTHERAPY,TRANSFUS MED HEMOTH,2.16
Current Hematologic Malignancy Reports,CURR HEMATOL MALIG R,2.146
CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,CLIN APPL THROMB-HEM,1.973
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,J THROMB THROMBOLYS,1.884
INTERNATIONAL JOURNAL OF HEMATOLOGY,INT J HEMATOL,1.846
CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,CLIN HEMORHEOL MICRO,1.815
TRANSFUSION MEDICINE,TRANSFUSION MED,1.689
Hamostaseologie,HAMOSTASEOLOGIE,1.547
Blood Transfusion,BLOOD TRANSFUS-ITALY,1.514
THERAPEUTIC APHERESIS AND DIALYSIS,THER APHER DIAL,1.477
BLOOD PURIFICATION,BLOOD PURIFICAT,1.404
Hematology,HEMATOLOGY,1.385
BLOOD COAGULATION & FIBRINOLYSIS,BLOOD COAGUL FIBRIN,1.242
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,J PEDIAT HEMATOL ONC,1.146
PEDIATRIC HEMATOLOGY AND ONCOLOGY,PEDIATR HEMAT ONCOL,1.09
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,1.053
BIORHEOLOGY,BIORHEOLOGY,0.981
TRANSFUSION AND APHERESIS SCIENCE,TRANSFUS APHER SCI,0.963
Turkish Journal of Hematology,TURK J HEMATOL,0.827
HEMOGLOBIN,HEMOGLOBIN,0.747
TRANSFUSION CLINIQUE ET BIOLOGIQUE,TRANSFUS CLIN BIOL,0.561
Indian Journal of Hematology and Blood Transfusion,INDIAN J HEMATOL BLO,0.232
Journal of Hematopathology,J HEMATOP,0.138
GEMATOLOGIYA I TRANSFUZIOLOGIYA,GEMATOL TRANSFUZIOL,0.114
