nfull,nabb,if
International Review Of Sport And Exercise Psychology,Int Rev Sport Exer P,3.682
Tourism Management,Tourism Manage,3.14
Journal Of Travel Research,J Travel Res,2.905
Psychology Of Sport And Exercise,Psychol Sport Exerc,2.605
Journal Of Sustainable Tourism,J Sustain Tour,2.48
Cornell Hospitality Quarterly,Cornell Hosp Q,2.408
Journal Of Sport & Exercise Psychology,J Sport Exercise Psy,2.379
Annals Of Tourism Research,Ann Tourism Res,2.275
International Journal Of Contemporary Hospitality Management,Int J Contemp Hosp M,2.176
International Journal Of Hospitality Management,Int J Hosp Manag,2.061
Sport Exercise And Performance Psychology,Sport Exerc Perform,1.756
Journal Of Travel & Tourism Marketing,J Travel Tour Mark,1.741
Current Issues In Tourism,Curr Issues Tour,1.733
Research Quarterly For Exercise And Sport,Res Q Exercise Sport,1.702
Journal Of Sport And Health Science,J Sport Health Sci,1.685
Journal Of Hospitality & Tourism Research,J Hosp Tour Res,1.54
Journal Of Applied Sport Psychology,J Appl Sport Psychol,1.369
International Review For The Sociology Of Sport,Int Rev Sociol Sport,1.341
Asia Pacific Journal Of Tourism Research,Asia Pac J Tour Res,1.29
Sport Education And Society,Sport Educ Soc,1.269
Tourism Geographies,Tourism Geogr,1.235
Sport Management Review,Sport Manag Rev,1.193
Sport Psychologist,Sport Psychol,1.104
International Journal Of Tourism Research,Int J Tour Res,1.095
Leisure Studies,Leisure Stud,1.057
Journal Of Destination Marketing & Management,J Destin Mark Manage,1.034
European Sport Management Quarterly,Eur Sport Manag Q,1.019
Leisure Sciences,Leisure Sci,0.967
Journal Of Sport & Social Issues,J Sport Soc Issues,0.891
International Journal Of Sport Psychology,Int J Sport Psychol,0.871
Journal Of Sports Economics,J Sport Econ,0.774
Sociology Of Sport Journal,Sociol Sport J,0.689
Journal Of Leisure Research,J Leisure Res,0.688
Journal Of Sport Management,J Sport Manage,0.684
Tourist Studies,Tourist Stud,0.667
Journal Of The Philosophy Of Sport,J Philos Sport,0.622
International Journal Of Sports Science & Coaching,Int J Sports Sci Coa,0.519
Scandinavian Journal Of Hospitality And Tourism,Scand J Hosp Tour,0.518
Journal Of Tourism And Cultural Change,J Tour Cult Change,0.474
International Journal Of Sports Marketing & Sponsorship,Int J Sport Mark Spo,0.394
Tourism Economics,Tourism Econ,0.392
Journal Of Hospitality Leisure Sport & Tourism Education,J Hosp Leis Sport To,0.375
International Journal Of The History Of Sport,Int J Hist Sport,0.294
International Journal Of Sport Finance,Int J Sport Financ,0.25
,,
,,
