nfull,nabb,if
THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,3.9
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,2.618
Tree Genetics & Genomes,TREE GENET GENOMES,2.132
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,AUST J GRAPE WINE R,2.126
MOLECULAR BREEDING,MOL BREEDING,2.108
EUPHYTICA,EUPHYTICA,1.618
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,AM J ENOL VITICULT,1.579
SCIENTIA HORTICULTURAE,SCI HORTIC-AMSTERDAM,1.538
EUROPEAN JOURNAL OF PLANT PATHOLOGY,EUR J PLANT PATHOL,1.494
Fruits,FRUITS,1.013
JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,J AM SOC HORTIC SCI,1
VITIS,VITIS,0.985
HORTSCIENCE,HORTSCIENCE,0.943
BIOLOGICAL AGRICULTURE & HORTICULTURE,BIOL AGRIC HORTIC,0.765
HORTTECHNOLOGY,HORTTECHNOLOGY,0.711
JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,J INT SCI VIGNE VIN,0.695
Horticulture Environment and Biotechnology,HORTIC ENVIRON BIOTE,0.662
Acta Scientiarum Polonorum-Hortorum Cultus,ACTA SCI POL-HORTORU,0.583
JOURNAL OF THE JAPANESE SOCIETY FOR HORTICULTURAL SCIENCE,J JPN SOC HORTIC SCI,0.58
SEED SCIENCE AND TECHNOLOGY,SEED SCI TECHNOL,0.521
Erwerbs-Obstbau,ERWERBS-OBSTBAU,0.481
JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,J HORTIC SCI BIOTECH,0.458
HORTICULTURAL SCIENCE,HORTIC SCI,0.436
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,NEW ZEAL J CROP HORT,0.417
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,EUR J HORTIC SCI,0.4
Revista Brasileira de Fruticultura,REV BRAS FRUTIC,0.34
Horticultura Brasileira,HORTIC BRAS,0.276
Korean Journal of Horticultural Science & Technology,KOREAN J HORTIC SCI,0.261
Propagation of Ornamental Plants,PROPAG ORNAM PLANTS,0.24
JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,J PROF ASSOC CACTUS,0.222
MITTEILUNGEN KLOSTERNEUBURG,MITT KLOSTERNEUBURG,0.176
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,J AM POMOL SOC,0.151
Indian Journal of Horticulture,INDIAN J HORTIC,0.129
Horticulture Journal,HORTICULT J,Not Available
