nfull,nabb,if
Journal Of Labor Economics,J Labor Econ,3.214
Work And Occupations,Work Occupation,2.667
Human Resources For Health,Hum Resour Health,2.416
Work Employment And Society,Work Employ Soc,2.153
Journal Of Human Resources,J Hum Resour,2
Human Resource Management Journal,Hum Resour Manag J,1.845
British Journal Of Industrial Relations,Brit J Ind Relat,1.82
Industrial Relations,Ind Relat,1.59
Ilr Review,Ilr Rev,1.261
Human Resource Development Quarterly,Hum Resour Dev Q,1.135
European Journal Of Industrial Relations,Eur J Ind Relat,1.045
Journal Of Industrial Relations,J Ind Relat,1.013
Employee Relations,Empl Relat,0.933
Economic And Industrial Democracy,Econ Ind Democracy,0.896
International Labour Review,Int Labour Rev,0.812
Asia Pacific Journal Of Human Resources,Asia Pac J Hum Resou,0.769
Personnel Review,Pers Rev,0.704
Public Personnel Management,Public Pers Manage,0.596
Economic And Labour Relations Review,Econ Labour Relat Re,0.582
International Labor And Working-Class History,Int Labor Work-Class,0.571
International Journal Of Manpower,Int J Manpower,0.446
Journal Of Labor Research,J Labor Res,0.419
Labour-Le Travail,Labour-Travail,0.333
Relations Industrielles-Industrial Relations,Relat Ind-Ind Relat,0.224
Labor History,Labor Hist-Uk,0.222
Labour History,Labour Hist-Aust,0.061
,,
,,
