nfull,nabb,if
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,39.416
Annual Review of Immunology,ANNU REV IMMUNOL,35.543
IMMUNITY,IMMUNITY,24.082
NATURE IMMUNOLOGY,NAT IMMUNOL,19.381
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,12.485
TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,11.433
JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,11.24
IMMUNOLOGICAL REVIEWS,IMMUNOL REV,9.542
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,8.736
AUTOIMMUNITY REVIEWS,AUTOIMMUN REV,8.49
SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,8.461
Lancet HIV,LANCET HIV,8.364
JOURNAL OF AUTOIMMUNITY,J AUTOIMMUN,7.76
OncoImmunology,ONCOIMMUNOLOGY,7.644
CURRENT OPINION IN IMMUNOLOGY,CURR OPIN IMMUNOL,7.126
Advances in Immunology,ADV IMMUNOL,7.064
EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,6.994
Cancer Immunology Research,CANCER IMMUNOL RES,6.665
Seminars in Immunopathology,SEMIN IMMUNOPATHOL,6.394
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,6.344
ALLERGY,ALLERGY,6.335
Journal of the International AIDS Society,J INT AIDS SOC,6.256
Mucosal Immunology,MUCOSAL IMMUNOL,6.103
BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAV IMMUN,5.874
Frontiers in Immunology,FRONT IMMUNOL,5.695
CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,5.587
Journal of Allergy and Clinical Immunology-In Practice,J ALLER CL IMM-PRACT,5.429
Virulence,VIRULENCE,5.418
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,5.313
Frontiers in Cellular and Infection Microbiology,FRONT CELL INFECT MI,5.218
Cellular & Molecular Immunology,CELL MOL IMMUNOL,5.193
JOURNAL OF IMMUNOLOGY,J IMMUNOL,4.985
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,4.846
Journal of Neuroinflammation,J NEUROINFLAMM,4.667
IMMUNOLOGY AND CELL BIOLOGY,IMMUNOL CELL BIOL,4.473
INTERNATIONAL REVIEWS OF IMMUNOLOGY,INT REV IMMUNOL,4.438
AIDS,AIDS,4.407
Current Opinion in HIV and AIDS,CURR OPIN HIV AIDS,4.378
EXERCISE IMMUNOLOGY REVIEW,EXERC IMMUNOL REV,4.294
Journal of Innate Immunity,J INNATE IMMUN,4.273
Expert Review of Vaccines,EXPERT REV VACCINES,4.222
EUROPEAN JOURNAL OF IMMUNOLOGY,EUR J IMMUNOL,4.179
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,4.165
IMMUNOLOGY,IMMUNOLOGY,4.078
CLINICAL IMMUNOLOGY,CLIN IMMUNOL,4.034
Current Topics in Microbiology and Immunology,CURR TOP MICROBIOL,4.015
Emerging Microbes & Infections,EMERG MICROBES INFEC,4.012
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,3.98
PEDIATRIC ALLERGY AND IMMUNOLOGY,PEDIAT ALLERG IMM-UK,3.947
Transplantation Reviews,TRANSPLANT REV-ORLAN,3.915
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,JAIDS-J ACQ IMM DEF,3.806
JOURNAL OF IMMUNOTHERAPY,J IMMUNOTHER,3.712
TRANSPLANTATION,TRANSPLANTATION,3.69
BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,3.636
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,3.62
Clinical & Developmental Immunology,CLIN DEV IMMUNOL,3.603
INFECTION AND IMMUNITY,INFECT IMMUN,3.603
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,ANN ALLERG ASTHMA IM,3.475
MEDIATORS OF INFLAMMATION,MEDIAT INFLAMM,3.418
VACCINE,VACCINE,3.413
MOLECULAR IMMUNOLOGY,MOL IMMUNOL,3.375
JOURNAL OF REPRODUCTIVE IMMUNOLOGY,J REPROD IMMUNOL,3.202
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,CLIN EXP IMMUNOL,3.148
CURRENT ALLERGY AND ASTHMA REPORTS,CURR ALLERGY ASTHM R,3.127
JOURNAL OF CLINICAL IMMUNOLOGY,J CLIN IMMUNOL,3.094
INTERNATIONAL IMMUNOLOGY,INT IMMUNOL,3.031
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,3.025
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,2.955
TUBERCULOSIS,TUBERCULOSIS,2.952
CYTOKINE,CYTOKINE,2.94
IMMUNOLOGIC RESEARCH,IMMUNOL RES,2.934
