nfull,nabb,if,,
Mis Quarterly,Mis Quart,5.384,,
Journal Of Information Technology,J Inf Technol,4.775,,
Journal Of Computer-Mediated Communication,J Comput-Mediat Comm,3.541,,
Journal Of The American Medical Informatics Association,J Am Med Inform Assn,3.428,,
Information Systems Research,Inform Syst Res,3.047,,
Journal Of Management Information Systems,J Manage Inform Syst,3.025,,
European Journal Of Information Systems,Eur J Inform Syst,2.892,,
International Journal Of Information Management,Int J Inform Manage,2.692,,
Journal Of Strategic Information Systems,J Strategic Inf Syst,2.595,,
Information Systems Journal,Inform Syst J,2.522,,
Government Information Quarterly,Gov Inform Q,2.515,,
Journal Of The American Society For Information Science And Technology,J Am Soc Inf Sci Tec,2.452,,
Journal Of Informetrics,J Informetr,2.373,,
Telematics And Informatics,Telemat Inform,2.261,,
International Journal Of Computer-Supported Collaborative Learning,Int J Comp-Supp Coll,2.2,,
Information & Management,Inform Manage-Amster,2.163,,
Scientometrics,Scientometrics,2.084,,
International Journal Of Geographical Information Science,Int J Geogr Inf Sci,2.065,,
Journal Of Health Communication,J Health Commun,2.013,,
Journal Of The Association For Information Science And Technology,J Assoc Inf Sci Tech,1.864,,
Journal Of The Association For Information Systems,J Assoc Inf Syst,1.79,,
Journal Of Knowledge Management,J Knowl Manag,1.689,,
College & Research Libraries,Coll Res Libr,1.568,,
Social Science Computer Review,Soc Sci Comput Rev,1.525,,
Research Evaluation,Res Evaluat,1.467,,
Information And Organization,Inform Organ-Uk,1.419,,
Information Processing & Management,Inform Process Manag,1.397,,
Information Society,Inform Soc,1.333,,
Portal-Libraries And The Academy,Portal-Libr Acad,1.286,,
Journal Of Librarianship And Information Science,J Libr Inf Sci,1.239,,
Library & Information Science Research,Libr Inform Sci Res,1.23,,
Online Information Review,Online Inform Rev,1.152,,
Information Technology & People,Inform Technol Peopl,1.15,,
Journal Of Academic Librarianship,J Acad Libr,1.15,,
Aslib Proceedings,Aslib Proc,1.147,,
Information Technology And Libraries,Inform Technol Libr,1.094,,
Journal Of The Medical Library Association,J Med Libr Assoc,1.084,,
Journal Of Documentation,J Doc,1.063,,
Learned Publishing,Learn Publ,1.053,,
Program-Electronic Library And Information Systems,Program-Electron Lib,1,,
Telecommunications Policy,Telecommun Policy,0.982,,
Mis Quarterly Executive,Mis Q Exec,0.909,,
Journal Of Information Science,J Inf Sci,0.878,,
Information Technology For Development,Inform Technol Dev,0.857,,
Library Hi Tech,Libr Hi Tech,0.798,,
Information Development,Inform Dev,0.787,,
Journal Of Global Information Technology Management,J Glob Inf Tech Man,0.75,,
Ethics And Information Technology,Ethics Inf Technol,0.739,,
Library Quarterly,Libr Quart,0.735,,
Health Information And Libraries Journal,Health Info Libr J,0.712,,
Profesional De La Informacion,Prof Inform,0.71,,
Data Base For Advances In Information Systems,Data Base Adv Inf Sy,0.692,,
Aslib Journal Of Information Management,Aslib J Inform Manag,0.676,,
Law Library Journal,Law Libr J,0.643,,
Information Technology & Management,Inform Technol Manag,0.6,,
Knowledge Management Research & Practice,Knowl Man Res Pract,0.595,,
Journal Of Scholarly Publishing,J Scholarly Publ,0.579,,
Australian Academic & Research Libraries,Aust Acad Res Libr,0.559,,
Revista Espanola De Documentacion Cientifica,Rev Esp Doc Cient,0.551,,
Knowledge Organization,Knowl Organ,0.522,,
Information Research-An International Electronic Journal,Inform Res,0.482,,
Malaysian Journal Of Library & Information Science,Malays J Libr Inf Sc,0.476,,
Social Science Information Sur Les Sciences Sociales,Soc Sci Inform,0.473,,
Interlending & Document Supply,Interlend Doc Supply,0.444,,
Electronic Library,Electron Libr,0.436,,
Serials Review,Serials Rev,0.418,,
Library Journal,Libr J,0.411,,
Restaurator-International Journal For The Preservation Of Library And Archival Material,Restaurator,0.387,,
Scientist,Scientist,0.369,,
Reference & User Services Quarterly,Ref User Serv Q,0.348,,
Libri,Libri,0.339,,
Journal Of Global Information Management,J Glob Inf Manag,0.303,,
Library Resources & Technical Services,Libr Resour Tech Ser,0.233,,
Australian Library Journal,Aust Libr J,0.214,,
Library Trends,Libr Trends,0.208,,
Zeitschrift Fur Bibliothekswesen Und Bibliographie,Z Bibl Bibl,0.207,,
Information & Culture,Inform Cult,0.195,,
Library And Information Science,Libr Inform Sc,0.158,,
Journal Of Organizational And End User Computing,J Organ End User Com,0.156,,
Investigacion Bibliotecologica,Investig Bibliotecol,0.146,,
Library Collections Acquisitions & Technical Services,Libr Collect Acquis,0.136,,
Transinformacao,Transinformacao,0.115,,
Canadian Journal Of Information And Library Science-Revue Canadienne Des Sciences De L Information Et De Bibliotheconomie,Can J Inform Lib Sci,0.094,,
African Journal Of Library Archives And Information Science,Afr J Libr Arch Info,0.071,,
Informacao & Sociedade-Estudos,Inform Soc-Estud,0.043,,
Econtent,Econtent,0.013,,
,,,,
,,,,
