nfull,nabb,if
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,21.372
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,8.736
Lancet HIV,LANCET HIV,8.364
EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,6.994
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,6.344
Journal of the International AIDS Society,J INT AIDS SOC,6.256
Eurosurveillance,EUROSURVEILLANCE,5.983
Virulence,VIRULENCE,5.418
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J ANTIMICROB CHEMOTH,4.919
CLINICAL MICROBIOLOGY AND INFECTION,CLIN MICROBIOL INFEC,4.575
CURRENT OPINION IN INFECTIOUS DISEASES,CURR OPIN INFECT DIS,4.439
AIDS,AIDS,4.407
JOURNAL OF INFECTION,J INFECTION,4.382
Current Opinion in HIV and AIDS,CURR OPIN HIV AIDS,4.378
JOURNAL OF VIRAL HEPATITIS,J VIRAL HEPATITIS,4.179
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,INT J ANTIMICROB AG,4.097
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,INT J HYG ENVIR HEAL,3.98
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,JAIDS-J ACQ IMM DEF,3.806
INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,INFECT CONT HOSP EP,3.669
INFECTION AND IMMUNITY,INFECT IMMUN,3.603
AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,3.578
Current HIV/AIDS Reports,CURR HIV-AIDS REP,3.387
HIV MEDICINE,HIV MED,3.341
MALARIA JOURNAL,MALARIA J,3.079
SEXUALLY TRANSMITTED INFECTIONS,SEX TRANSM INFECT,3.015
SEXUALLY TRANSMITTED DISEASES,SEX TRANSM DIS,2.968
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,2.955
ANTIVIRAL THERAPY,ANTIVIR THER,2.916
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,2.857
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,2.776
Antimicrobial Resistance and Infection Control,ANTIMICROB RESIST IN,2.716
Transboundary and Emerging Diseases,TRANSBOUND EMERG DIS,2.714
BMC INFECTIOUS DISEASES,BMC INFECT DIS,2.69
Ticks and Tick-Borne Diseases,TICKS TICK-BORNE DIS,2.69
JOURNAL OF HOSPITAL INFECTION,J HOSP INFECT,2.655
MEDICAL MYCOLOGY,MED MYCOL,2.644
INFECTION GENETICS AND EVOLUTION,INFECT GENET EVOL,2.591
PEDIATRIC INFECTIOUS DISEASE JOURNAL,PEDIATR INFECT DIS J,2.587
Zoonoses and Public Health,ZOONOSES PUBLIC HLTH,2.574
Microbial Drug Resistance,MICROB DRUG RESIST,2.529
EPIDEMIOLOGY AND INFECTION,EPIDEMIOL INFECT,2.515
Pathogens and Disease,PATHOG DIS,2.483
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,DIAGN MICR INFEC DIS,2.45
Influenza and Other Respiratory Viruses,INFLUENZA OTHER RESP,2.378
INFECTION,INFECTION,2.294
MICROBES AND INFECTION,MICROBES INFECT,2.291
Clinical and Vaccine Immunology,CLIN VACCINE IMMUNOL,2.277
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,INT J INFECT DIS,2.229
Travel Medicine and Infectious Disease,TRAVEL MED INFECT DI,2.192
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,INT J TUBERC LUNG D,2.148
Infectious Diseases of Poverty,INFECT DIS POVERTY,2.13
AIDS REVIEWS,AIDS REV,2.068
AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,1.995
VECTOR-BORNE AND ZOONOTIC DISEASES,VECTOR-BORNE ZOONOT,1.956
HIV CLINICAL TRIALS,HIV CLIN TRIALS,1.951
AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,1.949
Epidemics,EPIDEMICS-NETH,1.578
CURRENT HIV RESEARCH,CURR HIV RES,1.562
ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,ENFERM INFEC MICR CL,1.53
Current Infectious Disease Reports,CURR INFECT DIS REP,1.493
Transplant Infectious Disease,TRANSPL INFECT DIS,1.459
JOURNAL OF INFECTION AND CHEMOTHERAPY,J INFECT CHEMOTHER,1.425
MEDECINE ET MALADIES INFECTIEUSES,MED MALADIES INFECT,1.422
AIDS Research and Therapy,AIDS RES THER,1.414
Brazilian Journal of Infectious Diseases,BRAZ J INFECT DIS,1.412
SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES,SCAND J INFECT DIS,1.366
JOURNAL OF CHEMOTHERAPY,J CHEMOTHERAPY,1.333
Surgical Infections,SURG INFECT,1.316
INTERNATIONAL JOURNAL OF STD & AIDS,INT J STD AIDS,1.3
Sexual Health,SEX HEALTH,1.225
Journal of Infection and Public Health,J INFECT PUBLIC HEAL,1.194
JAPANESE JOURNAL OF INFECTIOUS DISEASES,JPN J INFECT DIS,1.14
Journal of Infection in Developing Countries,J INFECT DEV COUNTR,1.139
Journal of Global Antimicrobial Resistance,J GLOB ANTIMICROB RE,1.087
Canadian Journal of Infectious Diseases & Medical Microbiology,CAN J INFECT DIS MED,0.991
JOURNAL OF VECTOR BORNE DISEASES,J VECTOR DIS,0.872
LEPROSY REVIEW,LEPROSY REV,0.831
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,0.773
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,0.529
Revista Chilena de Infectologia,REV CHIL INFECTOL,0.5
Boletin de Malariologia y Salud Ambiental,B MALARIOL SALUD AMB,0.25
ACS Infectious Diseases,ACS INFECT DIS,Not Available
Infectious Diseases,INFECT DIS-NOR,Not Available
