nfull,nabb,if
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,59.558
LANCET,LANCET,44.002
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,37.684
BMJ-British Medical Journal,BMJ-BRIT MED J,19.697
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,16.593
JAMA Internal Medicine,JAMA INTERN MED,14
PLOS MEDICINE,PLOS MED,13.585
BMC Medicine,BMC MED,8.005
Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,7.883
JOURNAL OF INTERNAL MEDICINE,J INTERN MED,7.803
CANADIAN MEDICAL ASSOCIATION JOURNAL,CAN MED ASSOC J,6.724
Cochrane Database of Systematic Reviews,COCHRANE DB SYST REV,6.103
MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,5.92
AMERICAN JOURNAL OF MEDICINE,AM J MED,5.61
ANNALS OF FAMILY MEDICINE,ANN FAM MED,5.087
Translational Research,TRANSL RES,4.557
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,4.465
ANNALS OF MEDICINE,ANN MED,3.763
Deutsches Arzteblatt International,DTSCH ARZTEBL INT,3.738
PALLIATIVE MEDICINE,PALLIATIVE MED,3.685
JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,3.494
MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,3.369
AMERICAN JOURNAL OF CHINESE MEDICINE,AM J CHINESE MED,2.959
BRITISH MEDICAL BULLETIN,BRIT MED BULL,2.921
PREVENTIVE MEDICINE,PREV MED,2.893
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,QJM-INT J MED,2.824
BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,2.741
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,EUR J CLIN INVEST,2.687
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,J PAIN SYMPTOM MANAG,2.649
CURRENT MEDICAL RESEARCH AND OPINION,CURR MED RES OPIN,2.643
European Journal of Internal Medicine,EUR J INTERN MED,2.591
BMJ Open,BMJ OPEN,2.562
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,2.351
Internal and Emergency Medicine,INTERN EMERG MED,2.34
MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,2.333
PAIN MEDICINE,PAIN MED,2.324
International Journal of Medical Sciences,INT J MED SCI,2.232
INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,INT J CLIN PRACT,2.226
Journal of Hospital Medicine,J HOSP MED,2.143
MEDICINE,MEDICINE,2.133
JOURNAL OF INVESTIGATIVE MEDICINE,J INVEST MED,2.085
Polskie Archiwum Medycyny Wewnetrznej-Polish Archives of Internal Medicine,POL ARCH MED WEWN,2.054
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,J URBAN HEALTH,2.046
JOURNAL OF WOMENS HEALTH,J WOMENS HEALTH,2.032
FAMILY PRACTICE,FAM PRACT,2.022
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,J FORMOS MED ASSOC,2.018
Journal of the American Board of Family Medicine,J AM BOARD FAM MED,1.989
POSTGRADUATE MEDICINE,POSTGRAD MED,1.906
AMERICAN FAMILY PHYSICIAN,AM FAM PHYSICIAN,1.876
JOURNAL OF TRAVEL MEDICINE,J TRAVEL MED,1.868
Archives of Medical Science,ARCH MED SCI,1.812
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEV CLIN J MED,1.792
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,1.784
UPSALA JOURNAL OF MEDICAL SCIENCES,UPSALA J MED SCI,1.739
Patient Preference and Adherence,PATIENT PREFER ADHER,1.718
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN J INTERN MED,1.679
BMC Family Practice,BMC FAM PRACT,1.641
POSTGRADUATE MEDICAL JOURNAL,POSTGRAD MED J,1.633
CLINICAL MEDICINE,CLIN MED,1.632
PANMINERVA MEDICA,PANMINERVA MED,1.6
CANADIAN FAMILY PHYSICIAN,CAN FAM PHYSICIAN,1.584
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,AM J MED SCI,1.575
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,SCAND J PRIM HEALTH,1.556
SWISS MEDICAL WEEKLY,SWISS MED WKLY,1.549
INTERNAL MEDICINE JOURNAL,INTERN MED J,1.526
AMERICAN JOURNAL OF MANAGED CARE,AM J MANAG CARE,1.515
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,SAMJ S AFR MED J,1.5
NETHERLANDS JOURNAL OF MEDICINE,NETH J MED,1.489
CROATIAN MEDICAL JOURNAL,CROAT MED J,1.483
INDIAN JOURNAL OF MEDICAL RESEARCH,INDIAN J MED RES,1.446
Libyan Journal of Medicine,LIBYAN J MED,1.429
European Journal of General Practice,EUR J GEN PRACT,1.364
Clinics,CLINICS,1.328
DM DISEASE-A-MONTH,DM-DIS MON,1.313
