"Journal Data Filtered By:  Selected JCR Year: 2015 Selected Editions: SCIE,SSCI Selected Categories: 'OPERATIONS%20RESEARCH%20%26%20MANAGEMENT%20SCIENCE','ORTHOPEDICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
1,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,5.163
2,OSTEOARTHRITIS AND CARTILAGE,OSTEOARTHR CARTILAGE,4.535
3,AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,4.517
4,JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
4,Journal of Physiotherapy,J PHYSIOTHER,4
6,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
7,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
8,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,3.724
9,TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
10,NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
11,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLIN ORTHOP RELAT R,3.127
12,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,3.097
13,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,J AM ACAD ORTHOP SUR,3.055
14,EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
15,JOURNAL OF ORTHOPAEDIC RESEARCH,J ORTHOP RES,2.807
16,PHYSICAL THERAPY,PHYS THER,2.799
17,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
18,MANAGEMENT SCIENCE,MANAGE SCI,2.741
19,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
20,Bone & Joint Journal,BONE JOINT J,2.66
20,Spine Journal,SPINE J,2.66
22,Acta Orthopaedica,ACTA ORTHOP,2.617
23,DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
24,Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
25,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,J ORTHOP SPORT PHYS,2.551
26,JOURNAL OF ARTHROPLASTY,J ARTHROPLASTY,2.515
27,RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
28,SPINE,SPINE,2.439
29,Bone & Joint Research,BONE JOINT RES,2.425
30,JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,2.412
31,Archives of Osteoporosis,ARCH OSTEOPOROS,2.387
31,INTERNATIONAL ORTHOPAEDICS,INT ORTHOP,2.387
33,CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,2.308
34,JOURNAL OF SPINAL DISORDERS & TECHNIQUES,J SPINAL DISORD TECH,2.291
35,GAIT & POSTURE,GAIT POSTURE,2.286
36,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
37,TECHNOVATION,TECHNOVATION,2.243
38,JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
39,SAFETY SCIENCE,SAFETY SCI,2.157
40,EUROPEAN SPINE JOURNAL,EUR SPINE J,2.132
41,IEEE Systems Journal,IEEE SYST J,2.114
42,MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
43,COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
44,M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
45,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
46,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,INJURY,1.91
47,SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
48,FOOT & ANKLE INTERNATIONAL,FOOT ANKLE INT,1.896
49,Journal of Hand Surgery-European Volume,J HAND SURG-EUR VOL,1.868
50,Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
51,JOURNAL OF ORTHOPAEDIC TRAUMA,J ORTHOP TRAUMA,1.84
52,OPERATIONS RESEARCH,OPER RES,1.777
53,Journal of Hand Therapy,J HAND THER,1.77
54,PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
55,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
56,BMC MUSCULOSKELETAL DISORDERS,BMC MUSCULOSKEL DIS,1.684
57,JOURNAL OF HAND SURGERY-AMERICAN VOLUME,J HAND SURG-AM,1.64
58,CLINICAL BIOMECHANICS,CLIN BIOMECH,1.636
59,JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
60,PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
61,SKELETAL RADIOLOGY,SKELETAL RADIOL,1.527
62,ORTHOPEDIC CLINICS OF NORTH AMERICA,ORTHOP CLIN N AM,1.51
63,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,ARCH ORTHOP TRAUM SU,1.496
64,Journal of Foot and Ankle Research,J FOOT ANKLE RES,1.481
65,IIE TRANSACTIONS,IIE TRANS,1.463
66,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
67,KNEE,KNEE,1.446
68,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
69,CONNECTIVE TISSUE RESEARCH,CONNECT TISSUE RES,1.411
70,ANNALS OF OPERATIONS RESEARCH,ANN OPER RES,1.406
70,MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
72,OR SPECTRUM,OR SPECTRUM,1.395
73,Orthopaedics & Traumatology-Surgery & Research,ORTHOP TRAUMATOL-SUR,1.393
74,HAND CLINICS,HAND CLIN,1.384
75,ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
76,4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1.371
77,JOURNAL OF PEDIATRIC ORTHOPAEDICS,J PEDIATR ORTHOPED,1.33
78,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
79,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,1.268
80,International Transactions in Operational Research,INT T OPER RES,1.255
81,INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,1.246
82,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,J OPER RES SOC,1.225
83,JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,1.219
84,Journal of Orthopaedic Surgery and Research,J ORTHOP SURG RES,1.215
85,ENGINEERING ECONOMIST,ENG ECON,1.207
86,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,1.183
87,Clinics in Podiatric Medicine and Surgery,CLIN PODIATR MED SUR,1.181
88,Journal of Knee Surgery,J KNEE SURG,1.173
89,Journal of Simulation,J SIMUL,1.164
90,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,J OPTIMIZ THEORY APP,1.16
91,JOURNAL OF ORTHOPAEDIC SCIENCE,J ORTHOP SCI,1.154
92,PHYSICIAN AND SPORTSMEDICINE,PHYSICIAN SPORTSMED,1.144
93,Cartilage,CARTILAGE,1.127
93,ORTHOPEDICS,ORTHOPEDICS,1.127
95,OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,1.097
96,Foot and Ankle Surgery,FOOT ANKLE SURG,1.092
97,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,1.073
98,Journal of Foot & Ankle Surgery,J FOOT ANKLE SURG,1.066
99,Operative Orthopadie und Traumatologie,OPER ORTHOP TRAUMATO,1.033
100,JOURNAL OF SCHEDULING,J SCHEDULING,1.023
101,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1.02
102,Optimization Letters,OPTIM LETT,1.019
103,Central European Journal of Operations Research,CENT EUR J OPER RES,0.978
