nfull,nabb,if
ULTRASONICS SONOCHEMISTRY,ULTRASON SONOCHEM,4.556
ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL MED,4.434
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND OBST GYN,4.254
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,2.298
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,IEEE T ULTRASON FERR,2.287
ULTRASONIC IMAGING,ULTRASONIC IMAGING,2.111
JOURNAL OF SOUND AND VIBRATION,J SOUND VIB,2.107
ULTRASONICS,ULTRASONICS,1.954
IEEE Transactions on Audio Speech and Language Processing,IEEE T AUDIO SPEECH,1.877
JOURNAL OF VIBRATION AND CONTROL,J VIB CONTROL,1.643
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,J ACOUST SOC AM,1.572
JOURNAL OF ULTRASOUND IN MEDICINE,J ULTRAS MED,1.544
APPLIED ACOUSTICS,APPL ACOUST,1.462
WAVE MOTION,WAVE MOTION,1.449
IEEE-ACM Transactions on Audio Speech and Language Processing,IEEE-ACM T AUDIO SPE,1.225
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,J VIB ACOUST,1.169
SPEECH COMMUNICATION,SPEECH COMMUN,1.038
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,0.897
SHOCK AND VIBRATION,SHOCK VIB,0.88
JOURNAL OF CLINICAL ULTRASOUND,J CLIN ULTRASOUND,0.862
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,J AUDIO ENG SOC,0.856
EURASIP Journal on Audio Speech and Music Processing,EURASIP J AUDIO SPEE,0.797
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,J LOW FREQ NOISE V A,0.778
ACOUSTICAL PHYSICS,ACOUST PHYS+,0.699
Archives of Acoustics,ARCH ACOUST,0.661
Acoustics Australia,ACOUST AUST,0.625
JOURNAL OF COMPUTATIONAL ACOUSTICS,J COMPUT ACOUST,0.542
PHONETICA,PHONETICA,0.458
International Journal of Aeroacoustics,INT J AEROACOUST,0.414
NOISE CONTROL ENGINEERING JOURNAL,NOISE CONTROL ENG J,0.313
International Journal of Acoustics and Vibration,INT J ACOUST VIB,0.283
SOUND AND VIBRATION,SOUND VIB,0.045
