nfull,nabb,if
Annual Review Of Animal Biosciences,Annu Rev Anim Biosci,4.348
Genetics Selection Evolution,Genet Sel Evol,2.895
Journal Of Dairy Science,J Dairy Sci,2.408
Journal Of Animal Science And Biotechnology,J Anim Sci Biotechno,2.037
Journal Of Animal Science,J Anim Sci,2.014
Applied Animal Behaviour Science,Appl Anim Behav Sci,1.795
Animal Genetics,Anim Genet,1.779
Journal Of Animal Breeding And Genetics,J Anim Breed Genet,1.745
Animal Feed Science And Technology,Anim Feed Sci Tech,1.713
Poultry Science,Poultry Sci,1.685
Domestic Animal Endocrinology,Domest Anim Endocrin,1.613
Animal,Animal,1.508
Journal Of Dairy Research,J Dairy Res,1.5
Journal Of Reproduction And Development,J Reprod Develop,1.453
Animal Reproduction Science,Anim Reprod Sci,1.377
Archives Of Animal Nutrition,Arch Anim Nutr,1.319
Livestock Science,Livest Sci,1.293
Journal Of Animal Physiology And Animal Nutrition,J Anim Physiol An N,1.212
Reproduction In Domestic Animals,Reprod Domest Anim,1.21
Small Ruminant Research,Small Ruminant Res,1.083
Animal Science Journal,Anim Sci J,1.045
Worlds Poultry Science Journal,World Poultry Sci J,0.974
British Poultry Science,Brit Poultry Sci,0.933
Tropical Animal Health And Production,Trop Anim Health Pro,0.87
Italian Journal Of Animal Science,Ital J Anim Sci,0.841
World Rabbit Science,World Rabbit Sci,0.833
Czech Journal Of Animal Science,Czech J Anim Sci,0.809
Avian Biology Research,Avian Biol Res,0.806
Acta Agriculturae Scandinavica Section A-Animal Science,Acta Agr Scand A-An,0.769
Inra Productions Animales,Inra Prod Anim,0.767
Asian-Australasian Journal Of Animal Sciences,Asian Austral J Anim,0.756
Canadian Journal Of Animal Science,Can J Anim Sci,0.724
Animal Biotechnology,Anim Biotechnol,0.686
Animal Science Papers And Reports,Anim Sci Pap Rep,0.623
Annals Of Animal Science,Ann Anim Sci,0.599
Mljekarstvo,Mljekarstvo,0.596
Revista Mexicana De Ciencias Pecuarias,Rev Mex Cienc Pecu,0.577
Journal Of Applied Poultry Research,J Appl Poultry Res,0.576
Animal Reproduction,Anim Reprod,0.574
Journal Of Poultry Science,J Poult Sci,0.513
Journal Of Animal And Feed Sciences,J Anim Feed Sci,0.511
South African Journal Of Animal Science,S Afr J Anim Sci,0.511
Journal Of Applied Animal Research,J Appl Anim Res,0.503
Archiv Fur Tierzucht-Archives Of Animal Breeding,Arch Tierzucht,0.493
Archiv Fur Geflugelkunde,Arch Geflugelkd,0.487
Revista Colombiana De Ciencias Pecuarias,Rev Colomb Cienc Pec,0.441
Brazilian Journal Of Poultry Science,Braz J Poultry Sci,0.425
Revista Brasileira De Zootecnia-Brazilian Journal Of Animal Science,Rev Bras Zootecn,0.412
Itea-Informacion Tecnica Economica Agraria,Itea-Inf Tec Econ Ag,0.389
Zuchtungskunde,Zuchtungskunde,0.355
European Poultry Science,Eur Poultry Sci,0.296
Animal Nutrition And Feed Technology,Anim Nutr Feed Techn,0.252
Fourrages,Fourrages,0.202
Revista Mvz Cordoba,Rev Mvz Cordoba,0.197
Indian Journal Of Animal Sciences,Indian J Anim Sci,0.174
Large Animal Review,Large Anim Rev,0.143
Indian Journal Of Animal Research,Indian J Anim Res,0.091
Buffalo Bulletin,Buffalo Bull,0.067
