nfull,nabb,if
Food Policy,Food Policy,2.044
Agricultural Economics,Agr Econ-Blackwell,1.739
Journal Of Agricultural Economics,J Agr Econ,1.545
European Review Of Agricultural Economics,Eur Rev Agric Econ,1.544
American Journal Of Agricultural Economics,Am J Agr Econ,1.436
Australian Journal Of Agricultural And Resource Economics,Aust J Agr Resour Ec,1.302
Canadian Journal Of Agricultural Economics-Revue Canadienne D Agroeconomie,Can J Agr Econ,1.291
Applied Economic Perspectives And Policy,Appl Econ Perspect P,1.148
Annual Review Of Resource Economics,Annu Rev Resour Econ,1.042
Agribusiness,Agribusiness,0.738
China Agricultural Economic Review,China Agr Econ Rev,0.609
Journal Of Agricultural And Resource Economics,J Agr Resour Econ,0.523
German Journal Of Agricultural Economics,Ger J Agr Econ,0.489
Agricultural Economics-Zemedelska Ekonomika,Agr Econ-Czech,0.482
International Food And Agribusiness Management Review,Int Food Agribus Man,0.435
Agrekon,Agrekon,0.25
Custos E Agronegocio On Line,Cust Agronegocio,0.028
