nfull,nabb,if
Bioresource Technology,Bioresource Technol,4.917
Industrial Crops And Products,Ind Crop Prod,3.449
Biomass & Bioenergy,Biomass Bioenerg,3.249
Biosystems Engineering,Biosyst Eng,1.997
Aquacultural Engineering,Aquacult Eng,1.381
Journal Of Irrigation And Drainage Engineering,J Irrig Drain Eng,1.364
International Journal Of Agricultural And Biological Engineering,Int J Agr Biol Eng,1.007
Transactions Of The Asabe,T Asabe,0.913
Paddy And Water Environment,Paddy Water Environ,0.871
Journal Of The Korean Society For Applied Biological Chemistry,J Korean Soc Appl Bi,0.655
Revista Brasileira De Engenharia Agricola E Ambiental,Rev Bras Eng Agr Amb,0.478
Applied Engineering In Agriculture,Appl Eng Agric,0.429
Engenharia Agricola,Eng Agr-Jaboticabal,0.23
Ama-Agricultural Mechanization In Asia Africa And Latin America,Ama-Agr Mech Asia Af,0.055
