nfull,nabb,if
Global Change Biology Bioenergy,GCB BIOENERGY,6.151
AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,4.461
Advances in Agronomy,ADV AGRON,4.381
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,4.141
THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,3.9
INDUSTRIAL CROPS AND PRODUCTS,IND CROP PROD,3.449
Rice,RICE,3.417
EUROPEAN JOURNAL OF AGRONOMY,EUR J AGRON,3.186
PLANT AND SOIL,PLANT SOIL,2.969
FIELD CROPS RESEARCH,FIELD CROP RES,2.927
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,2.811
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,2.618
AGRICULTURAL WATER MANAGEMENT,AGR WATER MANAGE,2.603
JOURNAL OF AGRONOMY AND CROP SCIENCE,J AGRON CROP SCI,2.565
PLANT PATHOLOGY,PLANT PATHOL,2.383
MOLECULAR BREEDING,MOL BREEDING,2.108
WEED SCIENCE,WEED SCI,1.993
IRRIGATION SCIENCE,IRRIGATION SCI,1.948
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,J PLANT NUTR SOIL SC,1.816
CROP PROTECTION,CROP PROT,1.652
EUPHYTICA,EUPHYTICA,1.618
GRASS AND FORAGE SCIENCE,GRASS FORAGE SCI,1.617
CROP SCIENCE,CROP SCI,1.55
BREEDING SCIENCE,BREEDING SCI,1.543
WEED RESEARCH,WEED RES,1.517
PLANT BREEDING,PLANT BREEDING,1.502
EUROPEAN JOURNAL OF PLANT PATHOLOGY,EUR J PLANT PATHOL,1.494
WEED TECHNOLOGY,WEED TECHNOL,1.487
AGRONOMY JOURNAL,AGRON J,1.464
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,1.317
Turkish Journal of Agriculture and Forestry,TURK J AGRIC FOR,1.311
GENETIC RESOURCES AND CROP EVOLUTION,GENET RESOUR CROP EV,1.258
AMERICAN JOURNAL OF POTATO RESEARCH,AM J POTATO RES,1.159
Archives of Agronomy and Soil Science,ARCH AGRON SOIL SCI,1.118
International Journal of Plant Production,INT J PLANT PROD,1.069
International Agrophysics,INT AGROPHYS,1.067
PHYTOPATHOLOGIA MEDITERRANEA,PHYTOPATHOL MEDITERR,1.042
PLANT SOIL AND ENVIRONMENT,PLANT SOIL ENVIRON,1.039
EXPERIMENTAL AGRICULTURE,EXP AGR,0.973
Italian Journal of Agronomy,ITAL J AGRON,0.955
Crop Breeding and Applied Biotechnology,CROP BREED APPL BIOT,0.946
AGROFORESTRY SYSTEMS,AGROFOREST SYST,0.91
Paddy and Water Environment,PADDY WATER ENVIRON,0.871
GRASSLAND SCIENCE,GRASSL SCI,0.82
BIOLOGICAL AGRICULTURE & HORTICULTURE,BIOL AGRIC HORTIC,0.765
CANADIAN JOURNAL OF PLANT SCIENCE,CAN J PLANT SCI,0.727
POTATO RESEARCH,POTATO RES,0.692
PLANT PROTECTION SCIENCE,PLANT PROTECT SCI,0.661
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0.649
Chilean Journal of Agricultural Research,CHIL J AGR RES,0.637
Emirates Journal of Food and Agriculture,EMIR J FOOD AGR,0.623
Sugar Tech,SUGAR TECH,0.621
PLANT PRODUCTION SCIENCE,PLANT PROD SCI,0.612
MYCOBIOLOGY,MYCOBIOLOGY,0.573
IRRIGATION AND DRAINAGE,IRRIG DRAIN,0.565
ALLELOPATHY JOURNAL,ALLELOPATHY J,0.533
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,COMMUN SOIL SCI PLAN,0.529
CEREAL RESEARCH COMMUNICATIONS,CEREAL RES COMMUN,0.528
SEED SCIENCE AND TECHNOLOGY,SEED SCI TECHNOL,0.521
WEED BIOLOGY AND MANAGEMENT,WEED BIOL MANAG,0.5
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,BIOTECHNOL AGRON SOC,0.487
MAYDICA,MAYDICA,0.484
Czech Journal of Genetics and Plant Breeding,CZECH J GENET PLANT,0.476
Journal of Plant Registrations,J PLANT REGIST,0.474
Turkish Journal of Field Crops,TURK J FIELD CROPS,0.418
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,NEW ZEAL J CROP HORT,0.417
Range Management and Agroforestry,RANGE MANAG AGROFOR,0.391
ITEA-Informacion Tecnica Economica Agraria,ITEA-INF TEC ECON AG,0.389
CAHIERS AGRICULTURES,CAH AGRIC,0.384
CIENCIA RURAL,CIENC RURAL,0.376
Journal of Agrometeorology,J AGROMETEOROL,0.361
Philippine Journal of Crop Science,PHILIPP J CROP SCI,0.333
Revista Fitotecnia Mexicana,REV FITOTEC MEX,0.318
Genetika-Belgrade,GENETIKA-BELGRADE,0.308
Gesunde Pflanzen,GESUNDE PFLANZ,0.306
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,ITAL J AGROMETEOROL,0.29
Romanian Agricultural Research,ROM AGRIC RES,0.272
Bioscience Journal,BIOSCI J,0.218
INTERNATIONAL SUGAR JOURNAL,INT SUGAR J,0.181
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,J AM POMOL SOC,0.151
Legume Research,LEGUME RES,0.145
Revista Caatinga,REV CAATINGA,0.106
Revista de la Facultad de Agronomia de la Universidad del Zulia,REV FAC AGRON LUZ,0.03
