nfull,nabb,if
BRITISH JOURNAL OF ANAESTHESIA,BRIT J ANAESTH,5.616
PAIN,PAIN,5.557
ANESTHESIOLOGY,ANESTHESIOLOGY,5.555
ANESTHESIA AND ANALGESIA,ANESTH ANALG,3.827
ANAESTHESIA,ANAESTHESIA,3.794
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,EUR J ANAESTH,3.634
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,3.459
Pain Physician,PAIN PHYSICIAN,3.407
EUROPEAN JOURNAL OF PAIN,EUR J PAIN,2.9
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,2.828
CLINICAL JOURNAL OF PAIN,CLIN J PAIN,2.712
Pain Practice,PAIN PRACT,2.317
Canadian Journal of Anesthesia-Journal canadien d anesthesie,CAN J ANESTH,2.139
PEDIATRIC ANESTHESIA,PEDIATR ANESTH,2.082
ANASTHESIOLOGIE & INTENSIVMEDIZIN,ANASTH INTENSIVMED,2.055
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,2.049
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,2.04
Minerva Anestesiologica,MINERVA ANESTESIOL,2.036
Current Opinion in Anesthesiology,CURR OPIN ANESTHESIO,1.916
JOURNAL OF CLINICAL MONITORING AND COMPUTING,J CLIN MONIT COMPUT,1.819
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,J CARDIOTHOR VASC AN,1.519
Journal of Anesthesia,J ANESTH,1.343
BMC Anesthesiology,BMC ANESTHESIOL,1.32
JOURNAL OF CLINICAL ANESTHESIA,J CLIN ANESTH,1.284
ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,1.283
ANAESTHESIST,ANAESTHESIST,0.964
ANNALES FRANCAISES D ANESTHESIE ET DE REANIMATION,ANN FR ANESTH,0.917
SCHMERZ,SCHMERZ,0.894
Revista Brasileira de Anestesiologia,REV BRAS ANESTESIOL,0.517
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,ANASTH INTENSIV NOTF,0.325
Anaesthesia Critical Care & Pain Medicine,ANAESTH CRIT CARE PA,Not Available
