nfull,nabb,if
JOURNAL OF PEASANT STUDIES,J PEASANT STUD,4.311
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,3.767
Journal of Anthropological Sciences,J ANTHROPOL SCI,3.158
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,J ARCHAEOL METHOD TH,2.982
SOCIAL NETWORKS,SOC NETWORKS,2.784
EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,2.455
JOURNAL OF ARCHAEOLOGICAL RESEARCH,J ARCHAEOL RES,2.412
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,2.402
CULTURAL ANTHROPOLOGY,CULT ANTHROPOL,2.324
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,2.255
Annual Review of Anthropology,ANNU REV ANTHROPOL,2.2
CURRENT ANTHROPOLOGY,CURR ANTHROPOL,2.037
AMERICAN ANTIQUITY,AM ANTIQUITY,1.988
AMERICAN ETHNOLOGIST,AM ETHNOL,1.978
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,1.895
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1.875
Transcultural Psychiatry,TRANSCULT PSYCHIATRY,1.861
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,1.842
AMERICAN ANTHROPOLOGIST,AM ANTHROPOL,1.725
ANTIQUITY,ANTIQUITY,1.678
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,1.636
HUMAN ECOLOGY,HUM ECOL,1.604
ANNALS OF HUMAN BIOLOGY,ANN HUM BIOL,1.57
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,1.559
PUBLIC CULTURE,PUBLIC CULTURE,1.545
Medical Anthropology,MED ANTHROPOL,1.283
JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,1.273
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,J ROY ANTHROPOL INST,1.229
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,INT J OSTEOARCHAEOL,1.212
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,GLOBAL NETW,1.207
ARCHAEOLOGY IN OCEANIA,ARCHAEOL OCEAN,1.174
Field Methods,FIELD METHOD,1.1
MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,1.067
Anthropological Theory,ANTHROPOL THEOR,1.044
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,1.032
AFRICA,AFRICA,1.017
ETHOS,ETHOS,1
ANTHROPOLOGICAL QUARTERLY,ANTHROPOL QUART,0.944
Journal of Linguistic Anthropology,J LINGUIST ANTHROPOL,0.912
JOURNAL OF ANTHROPOLOGICAL RESEARCH,J ANTHROPOL RES,0.906
HUMAN BIOLOGY,HUM BIOL,0.857
JOURNAL OF SOCIAL ARCHAEOLOGY,J SOC ARCHAEOL,0.857
HUMAN ORGANIZATION,HUM ORGAN,0.814
JOURNAL OF MATERIAL CULTURE,J MAT CULT,0.78
Polar-Political and Legal Anthropology Review,POLAR-POLIT LEG ANTH,0.775
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,COMP STUD SOC HIST,0.773
ETHNOS,ETHNOS,0.765
Australian Journal of Anthropology,AUST J ANTHROPOL,0.714
Chungara-Revista de Antropologia Chilena,CHUNGARA,0.701
Ethnography,ETHNOGRAPHY,0.646
AUSTRALIAN ARCHAEOLOGY,AUST ARCHAEOL,0.638
JOURNAL OF THE POLYNESIAN SOCIETY,J POLYNESIAN SOC,0.607
Trabajos de Prehistoria,TRABAJOS PREHIST,0.6
CULTURAL STUDIES,CULT STUD,0.589
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,HOMO,0.579
RACE & CLASS,RACE CLASS,0.566
CRITIQUE OF ANTHROPOLOGY,CRIT ANTHROPOL,0.564
Anthropology & Medicine,ANTHROPOL MED,0.56
ANTHROPOLOGIE,ANTHROPOLOGIE,0.537
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,0.451
Anthropological Forum,ANTHROPOL FORUM,0.447
Studies on Ethno-Medicine,STUD ETHNO-MED,0.443
ANTHROPOLOGISCHER ANZEIGER,ANTHROPOL ANZ,0.426
AIBR-Revista de Antropologia Iberoamericana,AIBR-REV ANTROPOL IB,0.391
Romani Studies,ROMANI STUD,0.316
ARCTIC ANTHROPOLOGY,ARCTIC ANTHROPOL,0.292
Magallania,MAGALLANIA,0.288
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,BIJDR TAAL-LAND-V,0.281
Intersecciones en Antropologia,INTERSECCIONES ANTRO,0.268
JOURNAL OF HISTORICAL SOCIOLOGY,J HIST SOCIOL,0.261
ANTHROPOZOOLOGICA,ANTHROPOZOOLOGICA,0.25
Anthropological Notebooks,ANTHROPOL NOTEB,0.25
JOURNAL OF FAMILY HISTORY,J FAM HIST,0.238
OCEANIA,OCEANIA,0.227
Asia Pacific Journal of Anthropology,ASIA PAC J ANTHROPOL,0.226
Inter-Asia Cultural Studies,INTER-ASIA CULT STUD,0.212
Australian Aboriginal Studies,AUST ABORIG STUD,0.206
ANTHROPOS,ANTHROPOS,0.2
Anthropology Southern Africa,ANTHROPOL SOUTH AFR,0.2
Anthropologist,ANTHROPOLOGIST,0.195
ETHNOHISTORY,ETHNOHISTORY,0.183
Sociologus,SOCIOLOGUS,0.167
Praehistorische Zeitschrift,PRAEHIST Z,0.103
ZEITSCHRIFT FUR ETHNOLOGIE,Z ETHNOL,0.038
