nfull,nabb,if
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,37.846
Living Reviews in Solar Physics,LIVING REV SOL PHYS,19.333
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,12.136
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,11.257
Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,7.81
SPACE SCIENCE REVIEWS,SPACE SCI REV,7.242
NEW ASTRONOMY REVIEWS,NEW ASTRON REV,6.154
ASTROPHYSICAL JOURNAL,ASTROPHYS J,5.909
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,J COSMOL ASTROPART P,5.634
Astrophysical Journal Letters,ASTROPHYS J LETT,5.487
Physics of the Dark Universe,PHYS DARK UNIVERSE,5.222
ASTRONOMY & ASTROPHYSICS,ASTRON ASTROPHYS,5.185
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,MON NOT R ASTRON SOC,4.952
PHYSICS LETTERS B,PHYS LETT B,4.787
ASTRONOMICAL JOURNAL,ASTRON J,4.617
PHYSICAL REVIEW D,PHYS REV D,4.506
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,PUBL ASTRON SOC PAC,4.422
ASTROPARTICLE PHYSICS,ASTROPART PHYS,3.425
ICARUS,ICARUS,3.383
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,PUBL ASTRON SOC AUST,3.245
EXPERIMENTAL ASTRONOMY,EXP ASTRON,2.867
SOLAR PHYSICS,SOL PHYS,2.862
Journal of Space Weather and Space Climate,J SPACE WEATHER SPAC,2.846
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,2.837
ASTROBIOLOGY,ASTROBIOLOGY,2.628
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,2.398
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,REV MEX ASTRON ASTR,2.364
COMPTES RENDUS PHYSIQUE,CR PHYS,2.081
ACTA ASTRONOMICA,ACTA ASTRONOM,2
INTERNATIONAL JOURNAL OF MODERN PHYSICS D,INT J MOD PHYS D,1.963
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,PUBL ASTRON SOC JPN,1.961
PLANETARY AND SPACE SCIENCE,PLANET SPACE SCI,1.942
Astronomy and Computing,ASTRON COMPUT,1.92
ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,1.731
ASTROPHYSICS AND SPACE SCIENCE,ASTROPHYS SPACE SCI,1.678
GENERAL RELATIVITY AND GRAVITATION,GEN RELAT GRAVIT,1.668
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,CELEST MECH DYN ASTR,1.594
ADVANCES IN SPACE RESEARCH,ADV SPACE RES,1.409
Research in Astronomy and Astrophysics,RES ASTRON ASTROPHYS,1.292
RADIO SCIENCE,RADIO SCI,1.273
Astrophysical Bulletin,ASTROPHYS BULL,1.186
International Journal of Astrobiology,INT J ASTROBIOL,1.184
NEW ASTRONOMY,NEW ASTRON,1.085
ASTRONOMISCHE NACHRICHTEN,ASTRON NACHR,0.956
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,ASTRON LETT+,0.956
Gravitation & Cosmology,GRAVIT COSMOL-RUSSIA,0.909
Advances in Astronomy,ADV ASTRON,0.811
ASTRONOMY REPORTS,ASTRON REP+,0.805
ASTROPHYSICS,ASTROPHYSICS+,0.735
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,GEOPHYS ASTRO FLUID,0.712
Bulletin of the Astronomical Society of India,B ASTRON SOC INDIA,0.704
EARTH MOON AND PLANETS,EARTH MOON PLANETS,0.659
Journal of the Korean Astronomical Society,J KOREAN ASTRON SOC,0.655
SOLAR SYSTEM RESEARCH,SOLAR SYST RES+,0.638
COSMIC RESEARCH,COSMIC RES+,0.61
Serbian Astronomical Journal,SERB ASTRON J,0.429
Contributions of the Astronomical Observatory Skalnate Pleso,CONTRIB ASTRON OBS S,0.389
BALTIC ASTRONOMY,BALT ASTRON,0.346
Kinematics and Physics of Celestial Bodies,KINEMAT PHYS CELEST+,0.343
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,J ASTROPHYS ASTRON,0.329
ASTRONOMY & GEOPHYSICS,ASTRON GEOPHYS,0.256
OBSERVATORY,OBSERVATORY,0.118
