nfull,nabb,if,,
Stanford Law Review,Stanford Law Rev,4.944,,
Harvard Law Review,Harvard Law Rev,4.452,,
Yale Law Journal,Yale Law J,3.974,,
Texas Law Review,Tex Law Rev,3.947,,
Columbia Law Review,Columbia Law Rev,3.716,,
California Law Review,Calif Law Rev,3.091,,
Cornell Law Review,Cornell Law Rev,3.066,,
University Of Pennsylvania Law Review,U Penn Law Rev,2.987,,
Michigan Law Review,Mich Law Rev,2.867,,
Regulation & Governance,Regul Gov,2.724,,
Georgetown Law Journal,Georgetown Law J,2.654,,
Ucla Law Review,Ucla Law Rev,2.648,,
Law And Human Behavior,Law Human Behav,2.542,,
Harvard Environmental Law Review,Harvard Environ Law,2.48,,
Journal Of Legal Analysis,J Legal Anal,2.333,,
Journal Of Legal Studies,J Legal Stud,2.233,,
Virginia Law Review,Va Law Rev,2.194,,
New York University Law Review,New York U Law Rev,2.191,,
Psychology Public Policy And Law,Psychol Public Pol L,1.986,,
American Journal Of International Law,Am J Int Law,1.895,,
University Of Chicago Law Review,U Chicago Law Rev,1.889,,
Supreme Court Review,Supreme Court Rev,1.882,,
Common Market Law Review,Common Mkt Law Rev,1.824,,
Vanderbilt Law Review,Vanderbilt Law Rev,1.802,,
Indiana Law Journal,Indiana Law J,1.782,,
Legal And Criminological Psychology,Legal Criminol Psych,1.776,,
American Journal Of Comparative Law,Am J Comp Law,1.721,,
Harvard International Law Journal,Harvard Int Law J,1.7,,
Antitrust Law Journal,Antitrust Law J,1.651,,
Fordham Law Review,Fordham Law Rev,1.615,,
Journal Of Law Medicine & Ethics,J Law Med Ethics,1.613,,
Minnesota Law Review,Minn Law Rev,1.592,,
Journal Of Criminal Law & Criminology,J Crim Law Crim,1.581,,
George Washington Law Review,George Wash Law Rev,1.558,,
Harvard Civil Rights-Civil Liberties Law Review,Harvard Civil Rights,1.536,,
Harvard Journal Of Law And Public Policy,Harvard J Law Publ P,1.494,,
Notre Dame Law Review,Notre Dame Law Rev,1.478,,
Journal Of Law & Economics,J Law Econ,1.446,,
American Journal Of Law & Medicine,Am J Law Med,1.389,,
Journal Of Law Economics & Organization,J Law Econ Organ,1.372,,
Iowa Law Review,Iowa Law Rev,1.369,,
Journal Of Empirical Legal Studies,J Empir Legal Stud,1.362,,
Duke Law Journal,Duke Law J,1.349,,
