nfull,nabb,if
WATER RESOURCES RESEARCH,WATER RESOUR RES,3.792
LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,3.66
AQUATIC SCIENCES,AQUAT SCI,2.398
JOURNAL OF PALEOLIMNOLOGY,J PALEOLIMNOL,2.237
LIMNOLOGY AND OCEANOGRAPHY-METHODS,LIMNOL OCEANOGR-METH,2.008
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,1.91
AQUATIC ECOLOGY,AQUAT ECOL,1.797
Inland Waters,INLAND WATERS,1.776
JOURNAL OF LIMNOLOGY,J LIMNOL,1.725
MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,1.583
LIMNOLOGICA,LIMNOLOGICA,1.403
LAKE AND RESERVOIR MANAGEMENT,LAKE RESERV MANAGE,1.1
WATER AND ENVIRONMENT JOURNAL,WATER ENVIRON J,0.895
Fundamental and Applied Limnology,FUND APPL LIMNOL,0.786
LIMNOLOGY,LIMNOLOGY,0.745
JOURNAL OF FRESHWATER ECOLOGY,J FRESHWATER ECOL,0.72
WATER ENVIRONMENT RESEARCH,WATER ENVIRON RES,0.659
LIMNETICA,LIMNETICA,0.569
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,ANN LIMNOL-INT J LIM,0.547
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,CHIN J OCEANOL LIMN,0.547
