nfull,nabb,if,,
Academy Of Management Annals,Acad Manag Ann,9.741,,
Academy Of Management Review,Acad Manage Rev,7.288,,
Academy Of Management Journal,Acad Manage J,6.233,,
Journal Of Management,J Manage,6.051,,
Mis Quarterly,Mis Quart,5.384,,
Administrative Science Quarterly,Admin Sci Quart,5.316,,
International Journal Of Management Reviews,Int J Manag Rev,4.854,,
Journal Of Information Technology,J Inf Technol,4.775,,
Organizational Research Methods,Organ Res Methods,4.727,,
Journal Of Supply Chain Management,J Supply Chain Manag,4.571,,
Annual Review Of Organizational Psychology And Organizational Behavior,Annu Rev Organ Psych,4.478,,
Journal Of Management Studies,J Manage Stud,4.26,,
Personnel Psychology,Pers Psychol,4.057,,
Journal Of Operations Management,J Oper Manag,4,,
Omega-International Journal Of Management Science,Omega-Int J Manage S,3.962,,
Academy Of Management Perspectives,Acad Manage Perspect,3.94,,
Journal Of Applied Psychology,J Appl Psychol,3.81,,
Journal Of International Business Studies,J Int Bus Stud,3.62,,
Business Strategy And The Environment,Bus Strateg Environ,3.479,,
Research Policy,Res Policy,3.47,,
Strategic Management Journal,Strategic Manage J,3.38,,
Organization Science,Organ Sci,3.36,,
Tourism Management,Tourism Manage,3.14,,
Information Systems Research,Inform Syst Res,3.047,,
Journal Of Management Information Systems,J Manage Inform Syst,3.025,,
Journal Of Organizational Behavior,J Organ Behav,2.986,,
Leadership Quarterly,Leadership Quart,2.938,,
Long Range Planning,Long Range Plann,2.936,,
International Journal Of Project Management,Int J Proj Manag,2.885,,
Organizational Behavior And Human Decision Processes,Organ Behav Hum Dec,2.805,,
Organization Studies,Organ Stud,2.798,,
Management Science,Manage Sci,2.741,,
Management And Organization Review,Manage Organ Rev,2.738,,
Supply Chain Management-An International Journal,Supply Chain Manag,2.731,,
Organization & Environment,Organ Environ,2.65,,
Corporate Social Responsibility And Environmental Management,Corp Soc Resp Env Ma,2.647,,
Human Relations,Hum Relat,2.619,,
Journal Of Strategic Information Systems,J Strategic Inf Syst,2.595,,
Journal Of Purchasing And Supply Management,J Purch Supply Manag,2.562,,
Academy Of Management Learning & Education,Acad Manag Learn Edu,2.458,,
Strategic Organization,Strateg Organ,2.444,,
Cornell Hospitality Quarterly,Cornell Hosp Q,2.408,,
Journal Of Business Logistics,J Bus Logist,2.34,,
Management Accounting Research,Manage Account Res,2.286,,
International Journal Of Operations & Production Management,Int J Oper Prod Man,2.252,,
Harvard Business Review,Harvard Bus Rev,2.249,,
Technovation,Technovation,2.243,,
Human Resource Management Review,Hum Resour Manage R,2.236,,
Journal Of Service Management,J Serv Manage,2.233,,
International Small Business Journal,Int Small Bus J,2.215,,
Journal Of Technology Transfer,J Technol Transfer,2.213,,
European Journal Of Work And Organizational Psychology,Eur J Work Organ Psy,2.208,,
British Journal Of Management,Brit J Manage,2.188,,
International Journal Of Contemporary Hospitality Management,Int J Contemp Hosp M,2.176,,
Corporate Governance-An International Review,Corp Gov-Oxford,2.169,,
Information & Management,Inform Manage-Amster,2.163,,
Asia Pacific Journal Of Management,Asia Pac J Manag,2.135,,
Mit Sloan Management Review,Mit Sloan Manage Rev,2.114,,
International Journal Of Physical Distribution & Logistics Management,Int J Phys Distr Log,2.101,,
Journal Of Product Innovation Management,J Prod Innovat Manag,2.086,,
Organizational Psychology Review,Organ Psychol Rev,2.069,,
Journal Of Occupational And Organizational Psychology,J Occup Organ Psych,2.059,,
Journal Of International Management,J Int Manag,1.982,,
M&Som-Manufacturing & Service Operations Management,M&Som-Manuf Serv Op,1.966,,
Journal Of Small Business Management,J Small Bus Manage,1.937,,
Industrial Marketing Management,Ind Market Manag,1.93,,
Group & Organization Management,Group Organ Manage,1.904,,
Research In Organizational Behavior,Res Organ Behav,1.889,,
Public Management Review,Public Manag Rev,1.872,,
Management Communication Quarterly,Manage Commun Q,1.865,,
Human Resource Management Journal,Hum Resour Manag J,1.845,,
Strategic Entrepreneurship Journal,Strateg Entrep J,1.8,,
Human Resource Management,Hum Resour Manage-Us,1.798,,
Small Business Economics,Small Bus Econ,1.795,,
Operations Research,Oper Res,1.777,,
Organization,Organization,1.777,,
Project Management Journal,Proj Manag J,1.765,,
European Management Review,Eur Manag Rev,1.75,,
Journal Of Nursing Management,J Nurs Manage,1.721,,
Journal Of Knowledge Management,J Knowl Manag,1.689,,
International Journal Of Forecasting,Int J Forecasting,1.626,,
International Journal Of Shipping And Transport Logistics,Int J Ship Trans Log,1.493,,
Journal Of Engineering And Technology Management,J Eng Technol Manage,1.474,,
Ieee Transactions On Engineering Management,Ieee T Eng Manage,1.454,,
European Management Journal,Eur Manag J,1.437,,
Information And Organization,Inform Organ-Uk,1.419,,
Decision Sciences,Decision Sci,1.418,,
Electronic Markets,Electron Mark,1.404,,
Australian Journal Of Management,Aust J Manage,1.4,,
Management Learning,Manage Learn,1.393,,
System Dynamics Review,Syst Dynam Rev,1.37,,
Journal Of Applied Behavioral Science,J Appl Behav Sci,1.342,,
Industrial And Corporate Change,Ind Corp Change,1.327,,
Gender Work And Organization,Gender Work Organ,1.325,,
Group Decision And Negotiation,Group Decis Negot,1.312,,
Managing Service Quality,Manag Serv Qual,1.286,,
New Technology Work And Employment,New Tech Work Employ,1.281,,
Electronic Commerce Research,Electron Commer Res,1.275,,
International Journal Of Human Resource Management,Int J Hum Resour Man,1.262,,
International Transactions In Operational Research,Int T Oper Res,1.255,,
E & M Ekonomie A Management,E M Ekon Manag,1.242,,
Science And Public Policy,Sci Publ Policy,1.233,,
Journal Of The Operational Research Society,J Oper Res Soc,1.225,,
Engineering Economist,Eng Econ,1.207,,
Global Strategy Journal,Glob Strateg J,1.206,,
Sport Management Review,Sport Manag Rev,1.193,,
R & D Management,R&D Manage,1.19,,
Leadership,Leadership-London,1.167,,
Creativity And Innovation Management,Creat Innov Manag,1.143,,
Journal Of Managerial Psychology,J Manage Psychol,1.136,,
Human Resource Development Quarterly,Hum Resour Dev Q,1.135,,
Management Decision,Manage Decis,1.134,,
Decision Analysis,Decis Anal,1.132,,
International Journal Of Accounting Information Systems,Int J Account Inf Sy,1.128,,
California Management Review,Calif Manage Rev,1.109,,
