nfull,nabb,if
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,0.952
ACM Transactions on Computational Logic,ACM T COMPUT LOG,0.855
Journal of Mathematical Logic,J MATH LOG,0.762
Studia Logica,STUD LOGICA,0.724
Journal of Logical and Algebraic Methods in Programming,J LOG ALGEBR METHODS,0.636
BULLETIN OF SYMBOLIC LOGIC,B SYMB LOG,0.593
Review of Symbolic Logic,REV SYMB LOGIC,0.588
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,0.585
ANNALS OF PURE AND APPLIED LOGIC,ANN PURE APPL LOGIC,0.582
JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,J LOGIC ALGEBR PROGR,0.579
Logical Methods in Computer Science,LOG METH COMPUT SCI,0.569
Notre Dame Journal of Formal Logic,NOTRE DAME J FORM L,0.538
Algebra and Logic,ALGEBR LOG+,0.524
Journal of Applied Logic,J APPL LOGIC,0.524
JOURNAL OF SYMBOLIC LOGIC,J SYMBOLIC LOGIC,0.51
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,0.453
Journal of Logic Language and Information,J LOGIC LANG INFORM,0.45
LOGIC JOURNAL OF THE IGPL,LOG J IGPL,0.434
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,0.325
Reports on Mathematical Logic,REP MATH LOGIC,0.273
HISTORY AND PHILOSOPHY OF LOGIC,HIST PHILOS LOGIC,0.25
MATHEMATICAL LOGIC QUARTERLY,MATH LOGIC QUART,0.165
