nfull,nabb,if
Annual Review of Marine Science,ANNU REV MAR SCI,13.214
Oceanography and Marine Biology,OCEANOGR MAR BIOL,4.545
AQUATIC TOXICOLOGY,AQUAT TOXICOL,3.557
MICROBIAL ECOLOGY,MICROB ECOL,3.232
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,3.222
MARINE POLLUTION BULLETIN,MAR POLLUT BULL,3.099
MARINE BIOTECHNOLOGY,MAR BIOTECHNOL,3.062
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,3.025
BIOFOULING,BIOFOULING,3
CORAL REEFS,CORAL REEFS,3
FRESHWATER BIOLOGY,FRESHWATER BIOL,2.933
MARINE ENVIRONMENTAL RESEARCH,MAR ENVIRON RES,2.769
HARMFUL ALGAE,HARMFUL ALGAE,2.664
Estuaries and Coasts,ESTUAR COAST,2.659
ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,2.626
JOURNAL OF PHYCOLOGY,J PHYCOL,2.536
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,CAN J FISH AQUAT SCI,2.437
Freshwater Science,FRESHW SCI,2.433
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,2.415
AQUATIC SCIENCES,AQUAT SCI,2.398
MARINE BIOLOGY,MAR BIOL,2.375
JOURNAL OF APPLIED PHYCOLOGY,J APPL PHYCOL,2.372
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,2.361
ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,2.335
EUROPEAN JOURNAL OF PHYCOLOGY,EUR J PHYCOL,2.205
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,2.174
JOURNAL OF PLANKTON RESEARCH,J PLANKTON RES,2.15
JOURNAL OF SEA RESEARCH,J SEA RES,2.148
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,2.109
Advances in Marine Biology,ADV MAR BIOL,2.069
JOURNAL OF FISH DISEASES,J FISH DIS,2.053
ECOLOGY OF FRESHWATER FISH,ECOL FRESHW FISH,2.052
HYDROBIOLOGIA,HYDROBIOLOGIA,2.051
Aquaculture Environment Interactions,AQUACULT ENV INTERAC,1.985
Aquatic Invasions,AQUAT INVASIONS,1.955
Marine Biodiversity,MAR BIODIVERS,1.915
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,1.91
AQUACULTURE,AQUACULTURE,1.893
MEDITERRANEAN MARINE SCIENCE,MEDITERR MAR SCI,1.873
DIATOM RESEARCH,DIATOM RES,1.868
BULLETIN OF MARINE SCIENCE,B MAR SCI,1.856
AQUATIC BOTANY,AQUAT BOT,1.846
AQUATIC ECOLOGY,AQUAT ECOL,1.797
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,J EXP MAR BIOL ECOL,1.796
Inland Waters,INLAND WATERS,1.776
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,1.716
MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,1.665
Marine Biology Research,MAR BIOL RES,1.649
PHYCOLOGIA,PHYCOLOGIA,1.628
MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,1.583
BIOLOGICAL BULLETIN,BIOL BULL-US,1.522
HELGOLAND MARINE RESEARCH,HELGOLAND MAR RES,1.509
CRYPTOGAMIE ALGOLOGIE,CRYPTOGAMIE ALGOL,1.487
INTERNATIONAL REVIEW OF HYDROBIOLOGY,INT REV HYDROBIOL,1.459
Marine and Coastal Fisheries,MAR COAST FISH,1.442
PHYCOLOGICAL RESEARCH,PHYCOL RES,1.42
ENVIRONMENTAL BIOLOGY OF FISHES,ENVIRON BIOL FISH,1.404
AQUATIC LIVING RESOURCES,AQUAT LIVING RESOUR,1.327
Aquatic Biology,AQUAT BIOL,1.265
BOTANICA MARINA,BOT MAR,1.25
JOURNAL OF FISH BIOLOGY,J FISH BIOL,1.246
INVERTEBRATE BIOLOGY,INVERTEBR BIOL,1.23
SCIENTIA MARINA,SCI MAR,1.19
JOURNAL OF MOLLUSCAN STUDIES,J MOLLUS STUD,1.185
PACIFIC SCIENCE,PAC SCI,1.163
Marine Ecology-An Evolutionary Perspective,MAR ECOL-EVOL PERSP,1.138
LAKE AND RESERVOIR MANAGEMENT,LAKE RESERV MANAGE,1.1
