nfull,nabb,if
BIOMATERIALS,BIOMATERIALS,8.387
Acta Biomaterialia,ACTA BIOMATER,6.008
Advanced Healthcare Materials,ADV HEALTHC MATER,5.76
Journal of Materials Chemistry B,J MATER CHEM B,4.872
Biofabrication,BIOFABRICATION,4.702
EUROPEAN CELLS & MATERIALS,EUR CELLS MATER,4.56
DENTAL MATERIALS,DENT MATER,3.931
Journal of Biomedical Nanotechnology,J BIOMED NANOTECHNOL,3.929
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,3.902
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,3.68
Biomaterials Science,BIOMATER SCI-UK,3.614
Materials Science & Engineering C-Materials for Biological Applications,MAT SCI ENG C-MATER,3.42
Biomedical Materials,BIOMED MATER,3.361
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,J BIOMED MATER RES A,3.263
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,2.891
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,J BIOMED MATER RES B,2.881
Journal of the Mechanical Behavior of Biomedical Materials,J MECH BEHAV BIOMED,2.876
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,J MATER SCI-MATER M,2.272
Biointerphases,BIOINTERPHASES,2.105
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,2.024
JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,1.988
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,J BIOMAT SCI-POLYM E,1.733
International Journal of Polymeric Materials and Polymeric Biomaterials,INT J POLYM MATER PO,1.667
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,J BIOACT COMPAT POL,1.568
Journal of Bionic Engineering,J BIONIC ENG,1.466
DENTAL MATERIALS JOURNAL,DENT MATER J,1.087
BIO-MEDICAL MATERIALS AND ENGINEERING,BIO-MED MATER ENG,0.988
Journal of Applied Biomaterials & Functional Materials,J APPL BIOMATER FUNC,0.934
Journal of Oral Science,J ORAL SCI,0.804
Journal of Biobased Materials and Bioenergy,J BIOBASED MATER BIO,0.635
CELLULAR POLYMERS,CELL POLYM,0.615
Bioinspired Biomimetic and Nanobiomaterials,BIOINSPIR BIOMIM NAN,0.523
ACS Biomaterials-Science & Engineering,ACS BIOMATER-SCI ENG,Not Available
