nfull,nabb,if
JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,J EUR CERAM SOC,2.933
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,J AM CERAM SOC,2.787
CERAMICS INTERNATIONAL,CERAM INT,2.758
International Journal of Applied Glass Science,INT J APPL GLASS SCI,1.843
JOURNAL OF NON-CRYSTALLINE SOLIDS,J NON-CRYST SOLIDS,1.825
International Journal of Applied Ceramic Technology,INT J APPL CERAM TEC,1.534
JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,J SOL-GEL SCI TECHN,1.473
JOURNAL OF ELECTROCERAMICS,J ELECTROCERAM,1.263
Advances in Applied Ceramics,ADV APPL CERAM,1.162
Journal of the Australian Ceramic Society,J AUST CERAM SOC,0.96
Journal of Advanced Ceramics,J ADV CERAM,0.957
Processing and Application of Ceramics,PROCESS APPL CERAM,0.944
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,J CERAM SOC JPN,0.828
AMERICAN CERAMIC SOCIETY BULLETIN,AM CERAM SOC BULL,0.789
SCIENCE OF SINTERING,SCI SINTER,0.781
Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B,PHYS CHEM GLASSES-B,0.63
GLASS PHYSICS AND CHEMISTRY,GLASS PHYS CHEM+,0.591
GLASS AND CERAMICS,GLASS CERAM+,0.554
JOURNAL OF INORGANIC MATERIALS,J INORG MATER,0.551
Transactions of the Indian Ceramic Society,T INDIAN CERAM SOC,0.548
Journal of Ceramic Science and Technology,J CERAM SCI TECHNOL,0.544
CERAMICS-SILIKATY,CERAM-SILIKATY,0.485
Glass Technology-European Journal of Glass Science and Technology Part A,GLASS TECHNOL-PART A,0.362
REFRACTORIES AND INDUSTRIAL CERAMICS,REFRACT IND CERAM+,0.335
JOURNAL OF CERAMIC PROCESSING RESEARCH,J CERAM PROCESS RES,0.32
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,BOL SOC ESP CERAM V,0.28
POWDER METALLURGY AND METAL CERAMICS,POWDER METALL MET C+,0.235
