nfull,nabb,if
APPLIED SURFACE SCIENCE,APPL SURF SCI,3.15
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,J ELECTROCHEM SOC,3.014
PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,2.632
SURFACE & COATINGS TECHNOLOGY,SURF COAT TECH,2.139
CHEMICAL VAPOR DEPOSITION,CHEM VAPOR DEPOS,1.789
THIN SOLID FILMS,THIN SOLID FILMS,1.761
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,J VAC SCI TECHNOL A,1.724
JOURNAL OF THERMAL SPRAY TECHNOLOGY,J THERM SPRAY TECHN,1.568
CORROSION REVIEWS,CORROS REV,1.45
Surface Innovations,SURF INNOV,1.438
Journal of Coatings Technology and Research,J COAT TECHNOL RES,1.342
SURFACE ENGINEERING,SURF ENG,1.081
JOURNAL OF PLASTIC FILM & SHEETING,J PLAST FILM SHEET,0.85
Pigment & Resin Technology,PIGM RESIN TECHNOL,0.697
TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,T I MET FINISH,0.688
International Journal of Surface Science and Engineering,INT J SURF SCI ENG,0.44
SURFACE COATINGS INTERNATIONAL,SURF COAT INT,0.061
JCT COATINGSTECH,JCT COATINGSTECH,0.014
