nfull,nabb,if
COMPOSITES SCIENCE AND TECHNOLOGY,COMPOS SCI TECHNOL,3.897
COMPOSITE STRUCTURES,COMPOS STRUCT,3.853
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,3.85
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,COMPOS PART A-APPL S,3.719
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,3.399
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,J SANDW STRUCT MATER,2.852
JOURNAL OF COMPOSITES FOR CONSTRUCTION,J COMPOS CONSTR,2.503
POLYMER COMPOSITES,POLYM COMPOSITE,2.004
STEEL AND COMPOSITE STRUCTURES,STEEL COMPOS STRUCT,1.796
Journal of Renewable Materials,J RENEW MATER,1.263
JOURNAL OF COMPOSITE MATERIALS,J COMPOS MATER,1.242
APPLIED COMPOSITE MATERIALS,APPL COMPOS MATER,1.153
COMPOSITE INTERFACES,COMPOS INTERFACE,1.046
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,1.029
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,MECH ADV MATER STRUC,1
JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,J THERMOPLAST COMPOS,0.922
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,J REINF PLAST COMP,0.901
MECHANICS OF COMPOSITE MATERIALS,MECH COMPOS MATER,0.729
PLASTICS RUBBER AND COMPOSITES,PLAST RUBBER COMPOS,0.57
Cement Wapno Beton,CEM WAPNO BETON,0.512
SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,SCI ENG COMPOS MATER,0.467
Beton- und Stahlbetonbau,BETON- STAHLBETONBAU,0.431
POLYMERS & POLYMER COMPOSITES,POLYM POLYM COMPOS,0.256
Progress in Rubber Plastics and Recycling Technology,PROG RUBBER PLAST RE,0.212
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,0.158
