nfull,nabb,if
CELLULOSE,CELLULOSE,3.195
JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY,J WOOD CHEM TECHNOL,1.83
HOLZFORSCHUNG,HOLZFORSCHUNG,1.711
WOOD SCIENCE AND TECHNOLOGY,WOOD SCI TECHNOL,1.642
BioResources,BIORESOURCES,1.334
JOURNAL OF WOOD SCIENCE,J WOOD SCI,1.268
European Journal of Wood and Wood Products,EUR J WOOD WOOD PROD,1.081
NORDIC PULP & PAPER RESEARCH JOURNAL,NORD PULP PAP RES J,1.062
Maderas-Ciencia y Tecnologia,MADERAS-CIENC TECNOL,0.914
WOOD AND FIBER SCIENCE,WOOD FIBER SCI,0.79
TAPPI JOURNAL,TAPPI J,0.702
J-FOR-Journal of Science & Technology for Forest Products and Processes,J-FOR,0.612
CELLULOSE CHEMISTRY AND TECHNOLOGY,CELL CHEM TECHNOL,0.562
FOREST PRODUCTS JOURNAL,FOREST PROD J,0.481
APPITA,APPITA,0.45
Drewno,DREWNO,0.438
WOOD RESEARCH,WOOD RES-SLOVAKIA,0.399
Drvna Industrija,DRVNA IND,0.319
MOKUZAI GAKKAISHI,MOKUZAI GAKKAISHI,0.147
PULP & PAPER-CANADA,PULP PAP-CANADA,0.058
WOCHENBLATT FUR PAPIERFABRIKATION,WOCHENBL PAPIERFABR,0.016
