nfull,nabb,if
DYES AND PIGMENTS,DYES PIGMENTS,4.055
CELLULOSE,CELLULOSE,3.195
TEXTILE RESEARCH JOURNAL,TEXT RES J,1.299
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,J VINYL ADDIT TECHN,1.219
JOURNAL OF THE TEXTILE INSTITUTE,J TEXT I,1.128
COLORATION TECHNOLOGY,COLOR TECHNOL,1.127
Journal of Industrial Textiles,J IND TEXT,1.12
FIBERS AND POLYMERS,FIBER POLYM,1.022
WOOD AND FIBER SCIENCE,WOOD FIBER SCI,0.79
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,J AM LEATHER CHEM AS,0.707
Journal of Natural Fibers,J NAT FIBERS,0.582
Industria Textila,IND TEXTILA,0.57
FIBRES & TEXTILES IN EASTERN EUROPE,FIBRES TEXT EAST EUR,0.566
Journal of Engineered Fibers and Fabrics,J ENG FIBER FABR,0.538
Autex Research Journal,AUTEX RES J,0.46
INDIAN JOURNAL OF FIBRE & TEXTILE RESEARCH,INDIAN J FIBRE TEXT,0.42
International Journal of Clothing Science and Technology,INT J CLOTH SCI TECH,0.418
JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,J SOC LEATH TECH CH,0.351
Tekstil ve Konfeksiyon,TEKST KONFEKSIYON,0.287
AATCC REVIEW,AATCC REV,0.239
FIBRE CHEMISTRY,FIBRE CHEM+,0.214
SEN-I GAKKAISHI,SEN-I GAKKAISHI,0.176
AATCC Journal of Research,AATCC J RES,0.167
