nfull,nabb,if
ACTA NUMERICA,ACTA NUMER,9
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,3.719
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,3.617
Publications Mathematiques de l IHES,PUBL MATH-PARIS,3.5
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,B AM MATH SOC,3.391
ANNALS OF MATHEMATICS,ANN MATH,3.116
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,J AM MATH SOC,2.836
INVENTIONES MATHEMATICAE,INVENT MATH,2.825
DUKE MATHEMATICAL JOURNAL,DUKE MATH J,2.35
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,2.246
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,1.986
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,1.95
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,ANN SCI ECOLE NORM S,1.83
JOURNAL OF DIFFERENTIAL EQUATIONS,J DIFFER EQUATIONS,1.821
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,J MATH PURE APPL,1.818
Japanese Journal of Mathematics,JPN J MATH,1.778
Dissertationes Mathematicae,DISS MATH,1.625
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,J REINE ANGEW MATH,1.616
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,1.555
GEOMETRIC AND FUNCTIONAL ANALYSIS,GEOM FUNCT ANAL,1.476
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,COMMUN PART DIFF EQ,1.444
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,1.431
ADVANCES IN MATHEMATICS,ADV MATH,1.405
Kinetic and Related Models,KINET RELAT MOD,1.372
MATHEMATISCHE ANNALEN,MATH ANN,1.366
CONSTRUCTIVE APPROXIMATION,CONSTR APPROX,1.346
Analysis & PDE,ANAL PDE,1.304
Journal of Topology,J TOPOL,1.297
GEOMETRY & TOPOLOGY,GEOM TOPOL,1.294
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS TH APP,1.292
JOURNAL OF FUNCTIONAL ANALYSIS,J FUNCT ANAL,1.273
JOURNAL OF DIFFERENTIAL GEOMETRY,J DIFFER GEOM,1.24
Advances in Calculus of Variations,ADV CALC VAR,1.219
TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,T AM MATH SOC,1.196
Bulletin of Mathematical Sciences,B MATH SCI,1.194
JOURNAL OF ALGEBRAIC GEOMETRY,J ALGEBRAIC GEOM,1.191
Journal of Nonlinear Sciences and Applications,J NONLINEAR SCI APPL,1.176
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,COMMUN CONTEMP MATH,1.167
Selecta Mathematica-New Series,SEL MATH-NEW SER,1.148
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,1.135
PUBLICACIONS MATEMATIQUES,PUBL MAT,1.128
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,DISCRETE CONT DYN-A,1.127
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,NONLINEAR ANAL-THEOR,1.125
AMERICAN JOURNAL OF MATHEMATICS,AM J MATH,1.118
REVISTA MATEMATICA IBEROAMERICANA,REV MAT IBEROAM,1.116
Journal of Dynamics and Differential Equations,J DYN DIFFER EQU,1.11
JOURNAL OF GEOMETRIC ANALYSIS,J GEOM ANAL,1.109
JOURNAL OF COMBINATORIAL THEORY SERIES B,J COMB THEORY B,1.094
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,P LOND MATH SOC,1.079
COMPOSITIO MATHEMATICA,COMPOS MATH,1.069
JOURNAL D ANALYSE MATHEMATIQUE,J ANAL MATH,1.054
COMMENTARII MATHEMATICI HELVETICI,COMMENT MATH HELV,1.045
MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,MEM AM MATH SOC,1.038
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,INT MATH RES NOTICES,1.031
Advances in Nonlinear Analysis,ADV NONLINEAR ANAL,1.024
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,J MATH ANAL APPL,1.014
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1.011
Aequationes Mathematicae,AEQUATIONES MATH,1
Journal of Inverse and Ill-Posed Problems,J INVERSE ILL-POSE P,0.987
ARS Mathematica Contemporanea,ARS MATH CONTEMP,0.985
ERGODIC THEORY AND DYNAMICAL SYSTEMS,ERGOD THEOR DYN SYST,0.983
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,P ROY SOC EDINB A,0.983
JOURNAL OF COMBINATORIAL THEORY SERIES A,J COMB THEORY A,0.979
LINEAR ALGEBRA AND ITS APPLICATIONS,LINEAR ALGEBRA APPL,0.965
RUSSIAN MATHEMATICAL SURVEYS,RUSS MATH SURV+,0.959
Journal of the Institute of Mathematics of Jussieu,J INST MATH JUSSIEU,0.958
INTEGRAL EQUATIONS AND OPERATOR THEORY,INTEGR EQUAT OPER TH,0.956
POTENTIAL ANALYSIS,POTENTIAL ANAL,0.956
Journal of Integral Equations and Applications,J INTEGRAL EQU APPL,0.935
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,COMMUN PUR APPL ANAL,0.926
JOURNAL OF APPROXIMATION THEORY,J APPROX THEORY,0.921
Advances in Differential Equations,ADV DIFFERENTIAL EQU,0.917
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,ANN SCUOLA NORM-SCI,0.891
JOURNAL OF ALGEBRAIC COMBINATORICS,J ALGEBR COMB,0.874
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE,B SOC MATH FR,0.872
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,J LOND MATH SOC,0.872
INTERFACES AND FREE BOUNDARIES,INTERFACE FREE BOUND,0.868
Journal of Spectral Theory,J SPECTR THEOR,0.868
ANNALI DI MATEMATICA PURA ED APPLICATA,ANN MAT PUR APPL,0.861
Milan Journal of Mathematics,MILAN J MATH,0.853
QUARTERLY JOURNAL OF MATHEMATICS,Q J MATH,0.853
Differential and Integral Equations,DIFFER INTEGRAL EQU,0.851
International Journal of Numerical Analysis and Modeling,INT J NUMER ANAL MOD,0.844
Algebra & Number Theory,ALGEBR NUMBER THEORY,0.838
ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,ANN GLOB ANAL GEOM,0.835
Analysis and Applications,ANAL APPL,0.831
ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA,ANN ACAD SCI FENN-M,0.83
FORUM MATHEMATICUM,FORUM MATH,0.823
Documenta Mathematica,DOC MATH,0.817
CALCOLO,CALCOLO,0.816
DISCRETE & COMPUTATIONAL GEOMETRY,DISCRETE COMPUT GEOM,0.816
Quaestiones Mathematicae,QUAEST MATH,0.81
Banach Journal of Mathematical Analysis,BANACH J MATH ANAL,0.8
JOURNAL OF GRAPH THEORY,J GRAPH THEOR,0.796
INDIANA UNIVERSITY MATHEMATICS JOURNAL,INDIANA U MATH J,0.794
JOURNAL OF COMBINATORIAL DESIGNS,J COMB DES,0.794
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,B LOND MATH SOC,0.789
Applicable Analysis and Discrete Mathematics,APPL ANAL DISCR MATH,0.787
JOURNAL OF CONVEX ANALYSIS,J CONVEX ANAL,0.786
EXPOSITIONES MATHEMATICAE,EXPO MATH,0.784
Electronic Journal of Differential Equations,ELECTRON J DIFFER EQ,0.769
Results in Mathematics,RESULTS MATH,0.768
Journal of Mathematical Logic,J MATH LOG,0.762
LINEAR & MULTILINEAR ALGEBRA,LINEAR MULTILINEAR A,0.761
Science China-Mathematics,SCI CHINA MATH,0.761
Mathematical Control and Related Fields,MATH CONTROL RELAT F,0.756
PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,PUBL RES I MATH SCI,0.755
ARKIV FOR MATEMATIK,ARK MAT,0.744
MICHIGAN MATHEMATICAL JOURNAL,MICH MATH J,0.741
ISRAEL JOURNAL OF MATHEMATICS,ISR J MATH,0.738
Electronic Journal of Qualitative Theory of Differential Equations,ELECTRON J QUAL THEO,0.732
JOURNAL OF COMPUTATIONAL MATHEMATICS,J COMPUT MATH,0.731
JOURNAL OF EVOLUTION EQUATIONS,J EVOL EQU,0.731
Funkcialaj Ekvacioj-Serio Internacia,FUNKC EKVACIOJ-SER I,0.73
PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY,P EDINBURGH MATH SOC,0.73
Studia Logica,STUD LOGICA,0.724
Asian Journal of Mathematics,ASIAN J MATH,0.722
COMBINATORICA,COMBINATORICA,0.719
THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,0.719
Qualitative Theory of Dynamical Systems,QUAL THEOR DYN SYST,0.717
Topological Methods in Nonlinear Analysis,TOPOL METHOD NONL AN,0.717
MATHEMATIKA,MATHEMATIKA,0.714
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,P AM MATH SOC,0.7
Journal of Nonlinear and Convex Analysis,J NONLINEAR CONVEX A,0.691
MATHEMATISCHE NACHRICHTEN,MATH NACHR,0.688
Journal of Modern Dynamics,J MOD DYNAM,0.675
MATHEMATISCHE ZEITSCHRIFT,MATH Z,0.674
Rendiconti Lincei-Matematica e Applicazioni,REND LINCEI-MAT APPL,0.674
JOURNAL OF PURE AND APPLIED ALGEBRA,J PURE APPL ALGEBRA,0.669
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0.667
MONATSHEFTE FUR MATHEMATIK,MONATSH MATH,0.664
Complex Analysis and Operator Theory,COMPLEX ANAL OPER TH,0.663
TRANSFORMATION GROUPS,TRANSFORM GROUPS,0.662
JOURNAL OF ALGEBRA,J ALGEBRA,0.66
Journal of Symplectic Geometry,J SYMPLECT GEOM,0.66
Kyoto Journal of Mathematics,KYOTO J MATH,0.656
Numerical Mathematics-Theory Methods and Applications,NUMER MATH-THEORY ME,0.656
PACIFIC JOURNAL OF MATHEMATICS,PAC J MATH,0.656
EUROPEAN JOURNAL OF COMBINATORICS,EUR J COMBIN,0.65
Journal of Noncommutative Geometry,J NONCOMMUT GEOM,0.649
Moscow Mathematical Journal,MOSC MATH J,0.648
Boundary Value Problems,BOUND VALUE PROBL,0.642
SEMIGROUP FORUM,SEMIGROUP FORUM,0.642
Theory and Applications of Categories,THEOR APPL CATEG,0.641
Bulletin of the Malaysian Mathematical Sciences Society,B MALAYS MATH SCI SO,0.64
Representation Theory,REPRESENT THEOR,0.639
Journal of Mathematical Inequalities,J MATH INEQUAL,0.636
Revista Matematica Complutense,REV MAT COMPLUT,0.631
JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,0.63
ASTERISQUE,ASTERISQUE,0.627
COMBINATORICS PROBABILITY & COMPUTING,COMB PROBAB COMPUT,0.627
COMMUNICATIONS IN ANALYSIS AND GEOMETRY,COMMUN ANAL GEOM,0.623
STUDIA MATHEMATICA,STUD MATH,0.623
CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,CAN J MATH,0.618
TAIWANESE JOURNAL OF MATHEMATICS,TAIWAN J MATH,0.617
Journal of Topology and Analysis,J TOPOL ANAL,0.614
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,ORDER,0.614
ELECTRONIC JOURNAL OF COMBINATORICS,ELECTRON J COMB,0.612
Carpathian Journal of Mathematics,CARPATHIAN J MATH,0.61
Algebraic and Geometric Topology,ALGEBR GEOM TOPOL,0.604
Filomat,FILOMAT,0.603
DISCRETE MATHEMATICS,DISCRETE MATH,0.6
Journal of Homotopy and Related Structures,J HOMOTOPY RELAT STR,0.6
Mediterranean Journal of Mathematics,MEDITERR J MATH,0.599
GEOMETRIAE DEDICATA,GEOMETRIAE DEDICATA,0.597
JOURNAL OF NUMBER THEORY,J NUMBER THEORY,0.596
EXPERIMENTAL MATHEMATICS,EXP MATH,0.595
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,DIFFER GEOM APPL,0.594
LAW PROBABILITY & RISK,LAW PROBAB RISK,0.594
BULLETIN OF SYMBOLIC LOGIC,B SYMB LOG,0.593
Collectanea Mathematica,COLLECT MATH,0.593
MANUSCRIPTA MATHEMATICA,MANUSCRIPTA MATH,0.591
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,0.589
Review of Symbolic Logic,REV SYMB LOGIC,0.588
Analysis and Mathematical Physics,ANAL MATH PHYS,0.583
ANNALS OF PURE AND APPLIED LOGIC,ANN PURE APPL LOGIC,0.582
Fixed Point Theory,FIXED POINT THEOR-RO,0.581
ADVANCES IN GEOMETRY,ADV GEOM,0.578
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,B AUST MATH SOC,0.566
ACTA ARITHMETICA,ACTA ARITH,0.564
RAMANUJAN JOURNAL,RAMANUJAN J,0.563
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,0.557
Evolution Equations and Control Theory,EVOL EQU CONTROL THE,0.557
Journal of K-Theory,J K-THEORY,0.557
FUNDAMENTA MATHEMATICAE,FUND MATH,0.553
Groups Geometry and Dynamics,GROUP GEOM DYNAM,0.553
Journal of Numerical Mathematics,J NUMER MATH,0.552
Operators and Matrices,OPER MATRICES,0.545
MATHEMATICAL INEQUALITIES & APPLICATIONS,MATH INEQUAL APPL,0.544
Journal of Fixed Point Theory and Applications,J FIX POINT THEORY A,0.54
Notre Dame Journal of Formal Logic,NOTRE DAME J FORM L,0.538
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DISCRETE MATH THEOR,0.537
MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,MATH PROC CAMBRIDGE,0.534
INTERNATIONAL JOURNAL OF MATHEMATICS,INT J MATH,0.529
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,INTEGR TRANSF SPEC F,0.528
SBORNIK MATHEMATICS,SB MATH+,0.526
Algebra and Logic,ALGEBR LOG+,0.524
JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,J MATH SOC JPN,0.524
MATHEMATICAL RESEARCH LETTERS,MATH RES LETT,0.523
Central European Journal of Mathematics,CENT EUR J MATH,0.512
JOURNAL OF SYMBOLIC LOGIC,J SYMBOLIC LOGIC,0.51
ALGEBRAS AND REPRESENTATION THEORY,ALGEBR REPRESENT TH,0.505
IZVESTIYA MATHEMATICS,IZV MATH+,0.505
JOURNAL OF GROUP THEORY,J GROUP THEORY,0.505
APPLIED CATEGORICAL STRUCTURES,APPL CATEGOR STRUCT,0.5
ANNALES DE L INSTITUT FOURIER,ANN I FOURIER,0.494
TOPOLOGY AND ITS APPLICATIONS,TOPOL APPL,0.493
Annals of Functional Analysis,ANN FUNCT ANAL,0.492
FUNCTIONAL ANALYSIS AND ITS APPLICATIONS,FUNCT ANAL APPL+,0.486
Homology Homotopy and Applications,HOMOL HOMOTOPY APPL,0.486
St Petersburg Mathematical Journal,ST PETERSB MATH J+,0.485
BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,B BELG MATH SOC-SIM,0.48
Contributions to Discrete Mathematics,CONTRIB DISCRET MATH,0.48
GRAPHS AND COMBINATORICS,GRAPH COMBINATOR,0.48
POSITIVITY,POSITIVITY,0.479
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,J KNOT THEOR RAMIF,0.478
Communications in Number Theory and Physics,COMMUN NUMBER THEORY,0.474
MATHEMATICA SCANDINAVICA,MATH SCAND,0.47
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,0.469
INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,INT J ALGEBR COMPUT,0.469
Journal of Function Spaces and Applications,J FUNCT SPACE APPL,0.469
Portugaliae Mathematica,PORT MATH,0.469
Mathematical Modelling and Analysis,MATH MODEL ANAL,0.468
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,RACSAM REV R ACAD A,0.468
Complex Variables and Elliptic Equations,COMPLEX VAR ELLIPTIC,0.466
Pure and Applied Mathematics Quarterly,PURE APPL MATH Q,0.465
HISTORIA MATHEMATICA,HIST MATH,0.464
JOURNAL OF OPERATOR THEORY,J OPERAT THEOR,0.464
Proceedings of the Steklov Institute of Mathematics,P STEKLOV I MATH+,0.464
Electronic Journal of Linear Algebra,ELECTRON J LINEAR AL,0.463
International Journal of Number Theory,INT J NUMBER THEORY,0.463
ARCHIV DER MATHEMATIK,ARCH MATH,0.462
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,0.453
CHINESE ANNALS OF MATHEMATICS SERIES B,CHINESE ANN MATH B,0.452
COMPTES RENDUS MATHEMATIQUE,CR MATH,0.446
DOKLADY MATHEMATICS,DOKL MATH,0.445
Frontiers of Mathematics in China,FRONT MATH CHINA,0.444
Journal of Pseudo-Differential Operators and Applications,J PSEUDO-DIFFER OPER,0.444
NAGOYA MATHEMATICAL JOURNAL,NAGOYA MATH J,0.444
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,Z ANAL ANWEND,0.444
JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,J AUST MATH SOC,0.443
JOURNAL OF LIE THEORY,J LIE THEORY,0.44
Lecture Notes in Mathematics,LECT NOTES MATH,0.44
PUBLICATIONES MATHEMATICAE-DEBRECEN,PUBL MATH-DEBRECEN,0.438
LOGIC JOURNAL OF THE IGPL,LOG J IGPL,0.434
LMS Journal of Computation and Mathematics,LMS J COMPUT MATH,0.43
Journal of Commutative Algebra,J COMMUT ALGEBR,0.429
Journal of Function Spaces,J FUNCT SPACE,0.426
MATHEMATICAL NOTES,MATH NOTES+,0.425
New York Journal of Mathematics,NEW YORK J MATH,0.422
Georgian Mathematical Journal,GEORGIAN MATH J,0.417
Glasnik Matematicki,GLAS MAT,0.41
INDAGATIONES MATHEMATICAE-NEW SERIES,INDAGAT MATH NEW SER,0.407
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,B MATH SOC SCI MATH,0.395
GLASGOW MATHEMATICAL JOURNAL,GLASGOW MATH J,0.389
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,0.386
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,CAN MATH BULL,0.384
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,AN STI U OVID CO-MAT,0.383
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA,REND SEMIN MAT U PAD,0.382
Iranian Journal of Fuzzy Systems,IRAN J FUZZY SYST,0.381
Turkish Journal of Mathematics,TURK J MATH,0.378
Hiroshima Mathematical Journal,HIROSHIMA MATH J,0.371
COMMUNICATIONS IN ALGEBRA,COMMUN ALGEBRA,0.368
ROCKY MOUNTAIN JOURNAL OF MATHEMATICS,ROCKY MT J MATH,0.367
Mathematica Slovaca,MATH SLOVACA,0.366
JOURNAL OF ALGEBRA AND ITS APPLICATIONS,J ALGEBRA APPL,0.365
Kyushu Journal of Mathematics,KYUSHU J MATH,0.365
Computational Methods and Function Theory,COMPUT METH FUNCT TH,0.362
SIBERIAN MATHEMATICAL JOURNAL,SIBERIAN MATH J+,0.362
TOHOKU MATHEMATICAL JOURNAL,TOHOKU MATH J,0.359
JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY,J KOREAN MATH SOC,0.356
Annales Polonici Mathematici,ANN POL MATH,0.35
AMERICAN MATHEMATICAL MONTHLY,AM MATH MON,0.349
Discussiones Mathematicae Graph Theory,DISCUSS MATH GRAPH T,0.349
