nfull,nabb,if
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,3.617
SIAM REVIEW,SIAM REV,3.488
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,3.192
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,MATH MOD METH APPL S,3.084
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,2.834
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,2.687
SIAM JOURNAL ON OPTIMIZATION,SIAM J OPTIMIZ,2.659
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,2.527
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,2.246
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,NONLINEAR ANAL-REAL,2.238
FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEM ANAL DES,2.175
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,2.098
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,APPL COMPUT HARMON A,2.094
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,2.068
ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,ANN I H POINCARE-AN,2.066
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
CHAOS,CHAOS,2.049
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,1.986
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,J EUR MATH SOC,1.95
JOURNAL OF SCIENTIFIC COMPUTING,J SCI COMPUT,1.946
SIAM JOURNAL ON NUMERICAL ANALYSIS,SIAM J NUMER ANAL,1.899
SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,SIAM J MATRIX ANAL A,1.883
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,1.879
IMA JOURNAL OF NUMERICAL ANALYSIS,IMA J NUMER ANAL,1.877
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,1.819
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,J MATH PURE APPL,1.818
NUMERISCHE MATHEMATIK,NUMER MATH,1.813
SIAM JOURNAL ON SCIENTIFIC COMPUTING,SIAM J SCI COMPUT,1.792
APPLIED MATHEMATICS LETTERS,APPL MATH LETT,1.659
INVERSE PROBLEMS,INVERSE PROBL,1.651
JOURNAL OF CRYPTOLOGY,J CRYPTOL,1.617
PHYSICA D-NONLINEAR PHENOMENA,PHYSICA D,1.579
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,Z ANGEW MATH PHYS,1.56
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,1.555
SIAM JOURNAL ON APPLIED MATHEMATICS,SIAM J APPL MATH,1.51
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,SIAM J CONTROL OPTIM,1.491
ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,ESAIM-MATH MODEL NUM,1.486
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,SIAM J MATH ANAL,1.486
MATHEMATICS OF COMPUTATION,MATH COMPUT,1.464
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,1.461
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,COMMUN PART DIFF EQ,1.444
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,1.431
APPLIED NUMERICAL MATHEMATICS,APPL NUMER MATH,1.414
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,1.398
INFORMATICA,INFORMATICA-LITHUAN,1.386
Kinetic and Related Models,KINET RELAT MOD,1.372
APPLIED MATHEMATICS AND OPTIMIZATION,APPL MATH OPT,1.366
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,1.366
NUMERICAL ALGORITHMS,NUMER ALGORITHMS,1.366
STUDIES IN APPLIED MATHEMATICS,STUD APPL MATH,1.364
JOURNAL OF COMPLEXITY,J COMPLEXITY,1.358
APPLIED MATHEMATICS AND COMPUTATION,APPL MATH COMPUT,1.345
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,1.328
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,1.325
Analysis & PDE,ANAL PDE,1.304
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,ZAMM-Z ANGEW MATH ME,1.293
FINITE FIELDS AND THEIR APPLICATIONS,FINITE FIELDS TH APP,1.292
NONLINEARITY,NONLINEARITY,1.289
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,1.268
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,DISCRETE CONT DYN-B,1.227
Advances in Calculus of Variations,ADV CALC VAR,1.219
JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,1.219
Communications in Mathematical Sciences,COMMUN MATH SCI,1.198
Journal of Nonlinear Sciences and Applications,J NONLINEAR SCI APPL,1.176
BIT NUMERICAL MATHEMATICS,BIT,1.167
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,COMMUN CONTEMP MATH,1.167
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,J OPTIMIZ THEORY APP,1.16
IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,IMA J MATH CONTROL I,1.156
Selecta Mathematica-New Series,SEL MATH-NEW SER,1.148
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,1.135
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,DISCRETE CONT DYN-A,1.127
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,NONLINEAR ANAL-THEOR,1.125
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,1.124
