nfull,nabb,if
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,10.234
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,8.399
BIOINFORMATICS,BIOINFORMATICS,5.766
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,4.634
PLoS Computational Biology,PLOS COMPUT BIOL,4.587
Frontiers in Neuroinformatics,FRONT NEUROINFORM,3.047
Frontiers in Computational Neuroscience,FRONT COMPUT NEUROSC,2.653
Database-The Journal of Biological Databases and Curation,DATABASE-OXFORD,2.627
Research Synthesis Methods,RES SYNTH METHODS,2.462
BMC BIOINFORMATICS,BMC BIOINFORMATICS,2.435
BMC Systems Biology,BMC SYST BIOL,2.208
BIOSTATISTICS,BIOSTATISTICS,2.109
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2.093
JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,2.049
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1.897
JOURNAL OF COMPUTATIONAL NEUROSCIENCE,J COMPUT NEUROSCI,1.871
International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,1.849
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,1.797
JOURNAL OF MATHEMATICAL BIOLOGY,J MATH BIOL,1.716
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1.674
BioData Mining,BIODATA MIN,1.64
Journal of Biomedical Semantics,J BIOMED SEMANT,1.62
Molecular Informatics,MOL INFORM,1.57
Statistics and Its Interface,STAT INTERFACE,1.546
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1.537
STATISTICS IN MEDICINE,STAT MED,1.533
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,1.521
BIOSYSTEMS,BIOSYSTEMS,1.495
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,1.439
Evolutionary Bioinformatics,EVOL BIOINFORM,1.404
BIOMETRICS,BIOMETRICS,1.36
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,1.326
Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,1.265
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,1.256
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,MATH MED BIOL,1.162
Journal of Biological Dynamics,J BIOL DYNAM,1.147
BIOMETRIKA,BIOMETRIKA,1.13
Theoretical Biology and Medical Modelling,THEOR BIOL MED MODEL,1.033
Mathematical Biosciences and Engineering,MATH BIOSCI ENG,1.006
THEORY IN BIOSCIENCES,THEOR BIOSCI,1
International Journal of Biomathematics,INT J BIOMATH,0.938
Computational and Mathematical Methods in Medicine,COMPUT MATH METHOD M,0.887
Journal of Medical Imaging and Health Informatics,J MED IMAG HEALTH IN,0.877
Interdisciplinary Sciences-Computational Life Sciences,INTERDISCIP SCI,0.853
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0.825
Mathematical Modelling of Natural Phenomena,MATH MODEL NAT PHENO,0.82
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J AGR BIOL ENVIR ST,0.79
Journal of Bioinformatics and Computational Biology,J BIOINF COMPUT BIOL,0.785
Current Bioinformatics,CURR BIOINFORM,0.77
IET Systems Biology,IET SYST BIOL,0.764
BIOMETRICAL JOURNAL,BIOMETRICAL J,0.683
Statistics in Biopharmaceutical Research,STAT BIOPHARM RES,0.672
International Journal of Biostatistics,INT J BIOSTAT,0.667
International Journal of Data Mining and Bioinformatics,INT J DATA MIN BIOIN,0.528
JOURNAL OF BIOLOGICAL SYSTEMS,J BIOL SYST,0.479
Computational Intelligence and Neuroscience,COMPUT INTEL NEUROSC,0.43
