nfull,nabb,if
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,4.214
ECONOMETRICA,ECONOMETRICA,4.053
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,MATCH-COMMUN MATH CO,3.858
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,3.698
COMPLEXITY,COMPLEXITY,3.514
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,3.467
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,3.225
Annual Review of Statistics and Its Application,ANNU REV STAT APPL,3.045
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,2.834
COMPUTATIONAL MECHANICS,COMPUT MECH,2.639
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,J FRANKLIN I,2.327
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,2.321
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,2.291
MATHEMATICAL FINANCE,MATH FINANC,2.283
Fractional Calculus and Applied Analysis,FRACT CALC APPL ANAL,2.246
COMBUSTION THEORY AND MODELLING,COMBUST THEOR MODEL,2.23
RISK ANALYSIS,RISK ANAL,2.225
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,2.217
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,2.184
FINANCE AND STOCHASTICS,FINANC STOCH,2.169
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,2.1
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,1.873
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,ENG ANAL BOUND ELEM,1.862
International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,1.849
MATHEMATICS AND MECHANICS OF SOLIDS,MATH MECH SOLIDS,1.836
PSYCHOMETRIKA,PSYCHOMETRIKA,1.831
JOURNAL OF MATHEMATICAL PSYCHOLOGY,J MATH PSYCHOL,1.818
Econometric Reviews,ECONOMET REV,1.817
Mathematical Geosciences,MATH GEOSCI,1.777
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,1.611
JOURNAL OF ECONOMETRICS,J ECONOMETRICS,1.611
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,1.609
Scandinavian Actuarial Journal,SCAND ACTUAR J,1.596
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,CELEST MECH DYN ASTR,1.594
MULTISCALE MODELING & SIMULATION,MULTISCALE MODEL SIM,1.585
EPJ Data Science,EPJ DATA SCI,1.567
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,1.551
Statistics and Its Interface,STAT INTERFACE,1.546
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,EDUC PSYCHOL MEAS,1.485
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,INT J NUMER METHOD H,1.475
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,1.447
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,1.412
Extremes,EXTREMES,1.4
Spatial Statistics,SPAT STAT-NETH,1.385
INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,1.378
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,INT J BIFURCAT CHAOS,1.355
SIAM Journal on Financial Mathematics,SIAM J FINANC MATH,1.267
ECONOMETRIC THEORY,ECONOMET THEOR,1.162
ENVIRONMETRICS,ENVIRONMETRICS,1.16
JOURNAL OF CLASSIFICATION,J CLASSIF,1.147
International Journal of Computational Methods,INT J COMP METH-SING,1.123
Econometrics Journal,ECONOMET J,1.116
International Journal for Multiscale Computational Engineering,INT J MULTISCALE COM,1.103
Bayesian Analysis,BAYESIAN ANAL,1.087
Nonlinear Analysis-Modelling and Control,NONLINEAR ANAL-MODEL,1.075
JOURNAL OF MATHEMATICAL CHEMISTRY,J MATH CHEM,1.056
Journal of Mathematical Fluid Mechanics,J MATH FLUID MECH,1.023
International Journal for Uncertainty Quantification,INT J UNCERTAIN QUAN,1
