nfull,nabb,if
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,12.333
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,5.623
ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,4.801
Applied Mechanics Reviews,APPL MECH REV,4.784
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,3.875
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,3.467
APPLIED THERMAL ENGINEERING,APPL THERM ENG,3.043
NONLINEAR DYNAMICS,NONLINEAR DYNAM,3
JOURNAL OF RHEOLOGY,J RHEOL,2.916
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,2.857
Communications in Nonlinear Science and Numerical Simulation,COMMUN NONLINEAR SCI,2.834
Advances in Applied Mechanics,ADV APPL MECH,2.833
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,INT J IMPACT ENG,2.646
COMPUTATIONAL MECHANICS,COMPUT MECH,2.639
MECHANICS OF MATERIALS,MECH MATER,2.636
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,INT COMMUN HEAT MASS,2.559
JOURNAL OF FLUID MECHANICS,J FLUID MECH,2.514
JOURNAL OF COMPOSITES FOR CONSTRUCTION,J COMPOS CONSTR,2.503
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,2.481
EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,EUR J MECH A-SOLID,2.453
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,2.321
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,2.291
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,INT J MULTIPHAS FLOW,2.25
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,2.208
RHEOLOGICA ACTA,RHEOL ACTA,2.184
FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEM ANAL DES,2.175
JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,J NON-NEWTON FLUID,2.172
JOURNAL OF SOUND AND VIBRATION,J SOUND VIB,2.107
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,J STAT MECH-THEORY E,2.091
INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,INT J SOLIDS STRUCT,2.081
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,2.068
THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,2.025
ENGINEERING FRACTURE MECHANICS,ENG FRACT MECH,2.024
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,J WIND ENG IND AEROD,2.024
PHYSICS OF FLUIDS,PHYS FLUIDS,2.017
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,NUMER HEAT TR A-APPL,1.937
International Journal of Mechanics and Materials in Design,INT J MECH MATER DES,1.926
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,INT J NONLIN MECH,1.92
COMPUTERS & FLUIDS,COMPUT FLUIDS,1.891
FLOW TURBULENCE AND COMBUSTION,FLOW TURBUL COMBUST,1.863
CONTINUUM MECHANICS AND THERMODYNAMICS,CONTINUUM MECH THERM,1.849
