nfull,nabb,if
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,6.5
ETHNICITY & HEALTH,ETHNIC HEALTH,2.055
BMC Medical Ethics,BMC MED ETHICS,1.84
Developing World Bioethics,DEV WORLD BIOETH,1.769
JOURNAL OF MEDICAL ETHICS,J MED ETHICS,1.764
BIOETHICS,BIOETHICS,1.75
HASTINGS CENTER REPORT,HASTINGS CENT REP,1.731
JOURNAL OF LAW MEDICINE & ETHICS,J LAW MED ETHICS,1.613
Neuroethics,NEUROETHICS-NETH,1.305
Public Health Ethics,PUBLIC HEALTH ETH-UK,1.283
Journal of Bioethical Inquiry,J BIOETHIC INQ,1.204
Medical Law Review,MED LAW REV,1.156
Journal of Empirical Research on Human Research Ethics,J EMPIR RES HUM RES,1.146
Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0.872
Ethik in der Medizin,ETHIK MED,0.463
GENETIC COUNSELING,GENET COUNSEL,0.384
Acta Bioethica,ACTA BIOETH,0.051
