nfull,nabb,if
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,4.634
JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,4.532
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,3.428
MEDICAL DECISION MAKING,MED DECIS MAKING,2.908
JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,2.447
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,2.363
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,2.142
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2.093
BMC Medical Informatics and Decision Making,BMC MED INFORM DECIS,2.042
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,1.862
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,1.797
Biomedical Engineering-Biomedizinische Technik,BIOMED ENG-BIOMED TE,1.65
Health Informatics Journal,HEALTH INFORM J,1.578
STATISTICS IN MEDICINE,STAT MED,1.533
JOURNAL OF EVALUATION IN CLINICAL PRACTICE,J EVAL CLIN PRACT,1.053
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,INT J TECHNOL ASSESS,1.03
Health Information Management Journal,HEALTH INF MANAG J,1
Informatics for Health & Social Care,INFORM HEALTH SOC CA,0.87
CIN-COMPUTERS INFORMATICS NURSING,CIN-COMPUT INFORM NU,0.868
Therapeutic Innovation & Regulatory Science,THER INNOV REGUL SCI,0.511
