nfull,nabb,if
CLINICAL CHEMISTRY,CLIN CHEM,7.457
Translational Research,TRANSL RES,4.557
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,CRIT REV CL LAB SCI,4.167
Biochemia Medica,BIOCHEM MEDICA,3.051
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,CLIN CHEM LAB MED,3.017
CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,2.822
CLINICA CHIMICA ACTA,CLIN CHIM ACTA,2.799
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,2.631
CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,2.382
Advances in Clinical Chemistry,ADV CLIN CHEM,2.295
ANNALS OF CLINICAL BIOCHEMISTRY,ANN CLIN BIOCHEM,2.119
THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,2.094
SEMINARS IN DIAGNOSTIC PATHOLOGY,SEMIN DIAGN PATHOL,1.956
Annals of Laboratory Medicine,ANN LAB MED,1.87
Biopreservation and Biobanking,BIOPRESERV BIOBANK,1.804
CLINICS IN LABORATORY MEDICINE,CLIN LAB MED,1.69
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,1.553
JOURNAL OF CLINICAL LABORATORY ANALYSIS,J CLIN LAB ANAL,1.549
PHARMACEUTICAL BIOLOGY,PHARM BIOL,1.546
Biomedical Signal Processing and Control,BIOMED SIGNAL PROCES,1.521
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,BRIT J BIOMED SCI,1.245
DIAGNOSTIC CYTOPATHOLOGY,DIAGN CYTOPATHOL,0.98
Clinical Laboratory,CLIN LAB,0.936
ANNALS OF CLINICAL AND LABORATORY SCIENCE,ANN CLIN LAB SCI,0.846
Labmedicine,LABMEDICINE,0.561
Journal of Cytology,J CYTOL,0.463
ANNALES DE BIOLOGIE CLINIQUE,ANN BIOL CLIN-PARIS,0.284
LaboratoriumsMedizin-Journal of Laboratory Medicine,LABORATORIUMSMEDIZIN,0.104
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0.074
Immuno-analyse & Biologie specialisee,IMMUNO-ANAL BIOL SPE,0.074
