nfull,nabb,if
NATURE MEDICINE,NAT MED,30.357
Science Translational Medicine,SCI TRANSL MED,16.264
JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,12.575
JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,11.24
Annual Review of Medicine,ANNU REV MED,10.954
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,10.86
EMBO Molecular Medicine,EMBO MOL MED,9.547
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,9.292
Theranostics,THERANOSTICS,8.854
MOLECULAR THERAPY,MOL THER,6.938
ALTEX-Alternatives to Animal Experimentation,ALTEX-ALTERN ANIM EX,5.712
EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,5.71
Nanomedicine-Nanotechnology Biology and Medicine,NANOMED-NANOTECHNOL,5.671
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,5.164
Molecular Therapy-Nucleic Acids,MOL THER-NUCL ACIDS,5.048
CLINICAL SCIENCE,CLIN SCI,5.016
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,J CELL MOL MED,4.938
Cold Spring Harbor Perspectives in Medicine,CSH PERSPECT MED,4.866
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,4.855
Translational Research,TRANSL RES,4.557
Stem Cell Research & Therapy,STEM CELL RES THER,4.504
MOLECULAR PHARMACEUTICS,MOL PHARMACEUT,4.342
LABORATORY INVESTIGATION,LAB INVEST,4.202
mAbs,MABS-AUSTIN,4.161
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WIRES NANOMED NANOBI,4.095
HUMAN GENE THERAPY,HUM GENE THER,4.062
XENOTRANSPLANTATION,XENOTRANSPLANTATION,3.789
STEM CELLS AND DEVELOPMENT,STEM CELLS DEV,3.777
JOURNAL OF IMMUNOTHERAPY,J IMMUNOTHER,3.712
Journal of Translational Medicine,J TRANSL MED,3.694
CYTOTHERAPY,CYTOTHERAPY,3.625
MOLECULAR MEDICINE,MOL MED,3.53
EXPERT OPINION ON BIOLOGICAL THERAPY,EXPERT OPIN BIOL TH,3.438
CELL TRANSPLANTATION,CELL TRANSPLANT,3.427
Discovery Medicine,DISCOV MED,3.426
VACCINE,VACCINE,3.413
Orphanet Journal of Rare Diseases,ORPHANET J RARE DIS,3.29
JOURNAL OF GENE MEDICINE,J GENE MED,3.246
GENE THERAPY,GENE THER,3.242
Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,3.197
American Journal of Translational Research,AM J TRANSL RES,3.146
Stem Cell Reviews and Reports,STEM CELL REV REP,3.111
MOLECULAR GENETICS AND METABOLISM,MOL GENET METAB,3.093
Wiley Interdisciplinary Reviews-Systems Biology and Medicine,WIRES SYST BIOL MED,3.027
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,2.935
PPAR Research,PPAR RES,2.935
CURRENT MOLECULAR MEDICINE,CURR MOL MED,2.912
Human Gene Therapy Clinical Development,HUM GENE THER CL DEV,2.889
CLINICAL AND EXPERIMENTAL MEDICINE,CLIN EXP MED,2.854
Innate Immunity,INNATE IMMUN-LONDON,2.83
Nucleic Acid Therapeutics,NUCLEIC ACID THER,2.813
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,EUR J CLIN INVEST,2.687
LIFE SCIENCES,LIFE SCI,2.685
CURRENT MEDICAL RESEARCH AND OPINION,CURR MED RES OPIN,2.643
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,2.631
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,2.628
EXPERIMENTAL BIOLOGY AND MEDICINE,EXP BIOL MED,2.542
CANCER GENE THERAPY,CANCER GENE THER,2.532
ADVANCES IN THERAPY,ADV THER,2.503
Journal of Diabetes Research,J DIABETES RES,2.431
NEUROMODULATION,NEUROMODULATION,2.409
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,2.351
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,INT J MOL MED,2.348
BIOMEDICINE & PHARMACOTHERAPY,BIOMED PHARMACOTHER,2.326
JOURNAL OF BONE AND MINERAL METABOLISM,J BONE MINER METAB,2.312
EXPERIMENTAL HEMATOLOGY,EXP HEMATOL,2.303
LARYNGOSCOPE,LARYNGOSCOPE,2.272
ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,2.219
MELANOMA RESEARCH,MELANOMA RES,2.219
Biomarkers in Medicine,BIOMARK MED,2.179
DISEASE MARKERS,DIS MARKERS,2.137
