nfull,nabb,if
Forensic Science International-Genetics,FORENSIC SCI INT-GEN,4.988
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,INT J LEGAL MED,2.862
REGULATORY TOXICOLOGY AND PHARMACOLOGY,REGUL TOXICOL PHARM,2.227
SCIENCE & JUSTICE,SCI JUSTICE,1.959
FORENSIC SCIENCE INTERNATIONAL,FORENSIC SCI INT,1.95
Forensic Science Medicine and Pathology,FORENSIC SCI MED PAT,1.896
JOURNAL OF LAW MEDICINE & ETHICS,J LAW MED ETHICS,1.613
Legal Medicine,LEGAL MED-TOKYO,1.442
JOURNAL OF FORENSIC SCIENCES,J FORENSIC SCI,1.322
Journal of Forensic and Legal Medicine,J FORENSIC LEG MED,0.87
Australian Journal of Forensic Sciences,AUST J FORENSIC SCI,0.833
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,AM J FOREN MED PATH,0.795
MEDICINE SCIENCE AND THE LAW,MED SCI LAW,0.569
Rechtsmedizin,RECHTSMEDIZIN,0.324
Romanian Journal of Legal Medicine,ROM J LEG MED,0.144
