nfull,nabb,if
CORROSION SCIENCE,CORROS SCI,5.154
ACTA MATERIALIA,ACTA MATER,5.058
SCRIPTA MATERIALIA,SCRIPTA MATER,3.305
JOURNAL OF ALLOYS AND COMPOUNDS,J ALLOY COMPD,3.014
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,MAT SCI ENG A-STRUCT,2.647
INTERMETALLICS,INTERMETALLICS,2.541
MATERIALS CHARACTERIZATION,MATER CHARACT,2.383
HYDROMETALLURGY,HYDROMETALLURGY,2.29
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,J MATER SCI TECHNOL,2.267
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,INT J REFRACT MET H,2.263
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,CALPHAD,2.129
METALS AND MATERIALS INTERNATIONAL,MET MATER INT,1.815
JOM,JOM-US,1.798
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,METALL MATER TRANS A,1.749
MINERALS & METALLURGICAL PROCESSING,MINER METALL PROC,1.714
SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,SCI TECHNOL WELD JOI,1.659
PHILOSOPHICAL MAGAZINE,PHILOS MAG,1.632
Metals,METALS-BASEL,1.574
Mineral Processing and Extractive Metallurgy Review,MIN PROC EXT MET REV,1.56
METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,METALL MATER TRANS B,1.474
CORROSION REVIEWS,CORROS REV,1.45
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,MATER CORROS,1.45
CORROSION,CORROSION-US,1.391
Korean Journal of Metals and Materials,KOREAN J MET MATER,1.36
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,T NONFERR METAL SOC,1.34
WELDING JOURNAL,WELD J,1.286
OXIDATION OF METALS,OXID MET,1.276
International Journal of Material Forming,INT J MATER FORM,1.241
Journal of Mining and Metallurgy Section B-Metallurgy,J MIN METALL B,1.239
Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,1.188
STEEL RESEARCH INTERNATIONAL,STEEL RES INT,1.021
MATERIALS SCIENCE AND TECHNOLOGY,MATER SCI TECH-LOND,1.008
ISIJ INTERNATIONAL,ISIJ INT,0.96
RARE METALS,RARE METALS,0.957
SOLDERING & SURFACE MOUNT TECHNOLOGY,SOLDER SURF MT TECH,0.913
International Journal of Minerals Metallurgy and Materials,INT J MIN MET MATER,0.882
Welding in the World,WELD WORLD,0.861
PHYSICS OF METALS AND METALLOGRAPHY,PHYS MET METALLOGR+,0.794
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,J IRON STEEL RES INT,0.784
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,J PHASE EQUILIB DIFF,0.784
SCIENCE OF SINTERING,SCI SINTER,0.781
IRONMAKING & STEELMAKING,IRONMAK STEELMAK,0.757
POWDER METALLURGY,POWDER METALL,0.741
MATERIALS AT HIGH TEMPERATURES,MATER HIGH TEMP,0.709
CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,CORROS ENG SCI TECHN,0.705
MATERIALS TRANSACTIONS,MATER TRANS,0.689
TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,T I MET FINISH,0.688
International Journal of Materials Research,INT J MATER RES,0.687
Protection of Metals and Physical Chemistry of Surfaces,PROT MET PHYS CHEM+,0.609
Journal of Central South University,J CENT SOUTH UNIV,0.562
ACTA METALLURGICA SINICA,ACTA METALL SIN,0.523
TRANSACTIONS OF THE INDIAN INSTITUTE OF METALS,T INDIAN I METALS,0.502
INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,INT J CAST METAL RES,0.5
Metallurgical Research & Technology,METALL RES TECHNOL,0.5
CANADIAN METALLURGICAL QUARTERLY,CAN METALL QUART,0.479
REVUE DE METALLURGIE-CAHIERS D INFORMATIONS TECHNIQUES,REV METALL-PARIS,0.432
ANTI-CORROSION METHODS AND MATERIALS,ANTI-CORROS METHOD M,0.424
Soldagem & Inspecao,SOLDAGEM INSP,0.39
KOVOVE MATERIALY-METALLIC MATERIALS,KOVOVE MATER,0.365
China Foundry,CHINA FOUNDRY,0.354
METALLURGIA ITALIANA,METALL ITAL,0.264
TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,TETSU TO HAGANE,0.26
METAL SCIENCE AND HEAT TREATMENT,MET SCI HEAT TREAT+,0.254
PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,PRAKT METALLOGR-PR M,0.245
Journal of the Southern African Institute of Mining and Metallurgy,J S AFR I MIN METALL,0.237
RARE METAL MATERIALS AND ENGINEERING,RARE METAL MAT ENG,0.236
POWDER METALLURGY AND METAL CERAMICS,POWDER METALL MET C+,0.235
JOURNAL OF THE JAPAN INSTITUTE OF METALS,J JPN I MET,0.234
Russian Journal of Non-Ferrous Metals,RUSS J NON-FERR MET+,0.204
REVISTA DE METALURGIA,REV METAL MADRID,0.203
International Journal of Metalcasting,INT J METALCAST,0.196
METALLURGIST,METALLURGIST+,0.144
INTERNATIONAL JOURNAL OF POWDER METALLURGY,INT J POWDER METALL,0.114
