nfull,nabb,if
Nature Climate Change,NAT CLIM CHANGE,17.184
Earth System Science Data,EARTH SYST SCI DATA,8.286
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,B AM METEOROL SOC,7.929
Journal of Advances in Modeling Earth Systems,J ADV MODEL EARTH SY,6.417
Earths Future,EARTHS FUTURE,5.62
ATMOSPHERIC CHEMISTRY AND PHYSICS,ATMOS CHEM PHYS,5.114
JOURNAL OF CLIMATE,J CLIMATE,4.85
CLIMATE DYNAMICS,CLIM DYNAM,4.708
GLOBAL BIOGEOCHEMICAL CYCLES,GLOBAL BIOGEOCHEM CY,4.495
AGRICULTURAL AND FOREST METEOROLOGY,AGR FOREST METEOROL,4.461
Environmental Research Letters,ENVIRON RES LETT,4.134
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,Q J ROY METEOR SOC,3.669
Climate of the Past,CLIM PAST,3.638
INTERNATIONAL JOURNAL OF CLIMATOLOGY,INT J CLIMATOL,3.609
JOURNAL OF THE ATMOSPHERIC SCIENCES,J ATMOS SCI,3.578
JOURNAL OF HYDROMETEOROLOGY,J HYDROMETEOROL,3.511
ATMOSPHERIC ENVIRONMENT,ATMOS ENVIRON,3.459
ATMOSPHERIC RESEARCH,ATMOS RES,3.377
CLIMATIC CHANGE,CLIMATIC CHANGE,3.344
OCEAN MODELLING,OCEAN MODEL,3.337
Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,3.313
MONTHLY WEATHER REVIEW,MON WEATHER REV,3.248
Atmospheric Measurement Techniques,ATMOS MEAS TECH,2.989
Ocean Science,OCEAN SCI,2.985
Journal of Space Weather and Space Climate,J SPACE WEATHER SPAC,2.846
Journal of Applied Meteorology and Climatology,J APPL METEOROL CLIM,2.463
BOUNDARY-LAYER METEOROLOGY,BOUND-LAY METEOROL,2.455
THEORETICAL AND APPLIED CLIMATOLOGY,THEOR APPL CLIMATOL,2.433
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,TELLUS B,2.402
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,2.398
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,INT J BIOMETEOROL,2.309
JOURNAL OF AEROSOL SCIENCE,J AEROSOL SCI,2.278
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,NAT HAZARD EARTH SYS,2.277
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,J ATMOS OCEAN TECH,2.159
Geomatics Natural Hazards & Risk,GEOMAT NAT HAZ RISK,2.14
WEATHER AND FORECASTING,WEATHER FORECAST,1.972
AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,1.953
Weather Climate and Society,WEATHER CLIM SOC,1.931
METEOROLOGISCHE ZEITSCHRIFT,METEOROL Z,1.914
NATURAL HAZARDS,NAT HAZARDS,1.746
ATMOSPHERE-OCEAN,ATMOS OCEAN,1.742
Australian Meteorological and Oceanographic Journal,AUST METEOROL OCEAN,1.742
ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,1.731
CLIMATE RESEARCH,CLIM RES,1.69
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,J AIR WASTE MANAGE,1.613
Asia-Pacific Journal of Atmospheric Sciences,ASIA-PAC J ATMOS SCI,1.611
Atmospheric Science Letters,ATMOS SCI LETT,1.57
