nfull,nabb,if
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,24.727
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,16.187
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,14.167
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,13.687
Cell Host & Microbe,CELL HOST MICROBE,12.552
Annual Review of Microbiology,ANNU REV MICROBIOL,10.536
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,9.5
ISME Journal,ISME J,9.328
Microbiome,MICROBIOME,9
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,8.736
CRITICAL REVIEWS IN MICROBIOLOGY,CRIT REV MICROBIOL,8.192
PLoS Pathogens,PLOS PATHOG,7.003
mBio,MBIO,6.975
JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,6.344
CURRENT OPINION IN MICROBIOLOGY,CURR OPIN MICROBIOL,6.234
ENVIRONMENTAL MICROBIOLOGY,ENVIRON MICROBIOL,5.932
Virulence,VIRULENCE,5.418
Frontiers in Cellular and Infection Microbiology,FRONT CELL INFECT MI,5.218
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J ANTIMICROB CHEMOTH,4.919
CLINICAL MICROBIOLOGY AND INFECTION,CLIN MICROBIOL INFEC,4.575
CELLULAR MICROBIOLOGY,CELL MICROBIOL,4.46
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,ANTIMICROB AGENTS CH,4.415
Frontiers in Microbiology,FRONT MICROBIOL,4.165
Advances in Applied Microbiology,ADV APPL MICROBIOL,4.128
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,INT J ANTIMICROB AG,4.097
Current Topics in Microbiology and Immunology,CURR TOP MICROBIOL,4.015
Emerging Microbes & Infections,EMERG MICROBES INFEC,4.012
Microbial Biotechnology,MICROB BIOTECHNOL,3.991
HELICOBACTER,HELICOBACTER,3.92
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,3.898
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,APPL ENVIRON MICROB,3.823
MOLECULAR MICROBIOLOGY,MOL MICROBIOL,3.761
SYSTEMATIC AND APPLIED MICROBIOLOGY,SYST APPL MICROBIOL,3.691
FOOD MICROBIOLOGY,FOOD MICROBIOL,3.682
Future Microbiology,FUTURE MICROBIOL,3.637
JOURNAL OF CLINICAL MICROBIOLOGY,J CLIN MICROBIOL,3.631
FEMS MICROBIOLOGY ECOLOGY,FEMS MICROBIOL ECOL,3.53
Environmental Microbiology Reports,ENV MICROBIOL REP,3.5
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,3.445
Journal of Oral Microbiology,J ORAL MICROBIOL,3.421
Beneficial Microbes,BENEF MICROBES,3.301
ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,ARCHAEA,3.234
MICROBIAL ECOLOGY,MICROB ECOL,3.232
JOURNAL OF BACTERIOLOGY,J BACTERIOL,3.198
Molecular Oral Microbiology,MOL ORAL MICROBIOL,3.061
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,J MICROBIOL IMMUNOL,2.955
TUBERCULOSIS,TUBERCULOSIS,2.952
EUKARYOTIC CELL,EUKARYOT CELL,2.946
PROTIST,PROTIST,2.898
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,2.857
Innate Immunity,INNATE IMMUN-LONDON,2.83
Gut Pathogens,GUT PATHOG,2.816
JOURNAL OF EUKARYOTIC MICROBIOLOGY,J EUKARYOT MICROBIOL,2.738
Advances in Microbial Physiology,ADV MICROB PHYSIOL,2.727
MICROBIOLOGICAL RESEARCH,MICROBIOL RES,2.723
Antimicrobial Resistance and Infection Control,ANTIMICROB RESIST IN,2.716
Ticks and Tick-Borne Diseases,TICKS TICK-BORNE DIS,2.69
BMC MICROBIOLOGY,BMC MICROBIOL,2.581
VETERINARY MICROBIOLOGY,VET MICROBIOL,2.564
EUROPEAN JOURNAL OF PROTISTOLOGY,EUR J PROTISTOL,2.553
Microbial Drug Resistance,MICROB DRUG RESIST,2.529
Pathogens and Disease,PATHOG DIS,2.483
FEMS YEAST RESEARCH,FEMS YEAST RES,2.479
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,DIAGN MICR INFEC DIS,2.45
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,INT J SYST EVOL MICR,2.439
ANAEROBE,ANAEROBE,2.424
EXTREMOPHILES,EXTREMOPHILES,2.346
Food and Environmental Virology,FOOD ENVIRON VIROL,2.338
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,MED MICROBIOL IMMUN,2.302
MICROBES AND INFECTION,MICROBES INFECT,2.291
Clinical and Vaccine Immunology,CLIN VACCINE IMMUNOL,2.277
JOURNAL OF MEDICAL MICROBIOLOGY,J MED MICROBIOL,2.269
MICROBIOLOGY-SGM,MICROBIOL-SGM,2.268
YEAST,YEAST,2.259
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,2.173
JOURNAL OF APPLIED MICROBIOLOGY,J APPL MICROBIOL,2.156
RESEARCH IN MICROBIOLOGY,RES MICROBIOL,2.154
MicrobiologyOpen,MICROBIOLOGYOPEN,2.148
