nfull,nabb,if
Reviews in Mineralogy & Geochemistry,REV MINERAL GEOCHEM,6.12
Elements,ELEMENTS,4.585
ORE GEOLOGY REVIEWS,ORE GEOL REV,3.819
LITHOS,LITHOS,3.723
MINERALIUM DEPOSITA,MINER DEPOSITA,3.467
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,CONTRIB MINERAL PETR,3.218
APPLIED CLAY SCIENCE,APPL CLAY SCI,2.586
MINERALOGICAL MAGAZINE,MINERAL MAG,2.212
AMERICAN MINERALOGIST,AM MINERAL,1.918
MINERALS ENGINEERING,MINER ENG,1.813
JOM,JOM-US,1.798
INTERNATIONAL JOURNAL OF MINERAL PROCESSING,INT J MINER PROCESS,1.617
PHYSICS AND CHEMISTRY OF MINERALS,PHYS CHEM MINER,1.585
Minerals,MINERALS-BASEL,1.5
EUROPEAN JOURNAL OF MINERALOGY,EUR J MINERAL,1.464
Journal of Geosciences,J GEOSCI-CZECH,1.326
PETROLOGY,PETROLOGY+,1.231
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,1.222
MINERALOGY AND PETROLOGY,MINER PETROL,1.18
CLAY MINERALS,CLAY MINER,0.874
CANADIAN MINERALOGIST,CAN MINERAL,0.862
RESOURCE GEOLOGY,RESOUR GEOL,0.857
Journal of Mineralogical and Petrological Sciences,J MINER PETROL SCI,0.648
Periodico di Mineralogia,PERIOD MINERAL,0.6
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,GOSPOD SUROWCAMI MIN,0.567
NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN,NEUES JB MINER ABH,0.564
GEOLOGY OF ORE DEPOSITS,GEOL ORE DEPOSIT+,0.559
GEMS & GEMOLOGY,GEMS GEMOL,0.394
LITHOLOGY AND MINERAL RESOURCES,LITHOL MINER RESOUR+,0.328
