nfull,nabb,if
ORE GEOLOGY REVIEWS,ORE GEOL REV,3.819
JOURNAL OF NUCLEAR MATERIALS,J NUCL MATER,2.199
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,2.01
MINERALS ENGINEERING,MINER ENG,1.813
JOM,JOM-US,1.798
MINERALS & METALLURGICAL PROCESSING,MINER METALL PROC,1.714
INTERNATIONAL JOURNAL OF MINERAL PROCESSING,INT J MINER PROCESS,1.617
Mineral Processing and Extractive Metallurgy Review,MIN PROC EXT MET REV,1.56
Minerals,MINERALS-BASEL,1.5
JOURNAL OF APPLIED GEOPHYSICS,J APPL GEOPHYS,1.355
Physicochemical Problems of Mineral Processing,PHYSICOCHEM PROBL MI,0.977
International Journal of Minerals Metallurgy and Materials,INT J MIN MET MATER,0.882
International Journal of Coal Preparation and Utilization,INT J COAL PREP UTIL,0.855
MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,0.761
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,GOSPOD SUROWCAMI MIN,0.567
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,0.561
International Journal of Mining Reclamation and Environment,INT J MIN RECLAM ENV,0.5
Archives of Mining Sciences,ARCH MIN SCI,0.448
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,0.39
JOURNAL OF MINING SCIENCE,J MIN SCI+,0.35
Journal of the Southern African Institute of Mining and Metallurgy,J S AFR I MIN METALL,0.237
