nfull,nabb,if
STUDIES IN MYCOLOGY,STUD MYCOL,13.889
FUNGAL DIVERSITY,FUNGAL DIVERS,6.991
PERSOONIA,PERSOONIA,5.725
Fungal Biology Reviews,FUNGAL BIOL REV,4.357
MYCORRHIZA,MYCORRHIZA,3.252
EUKARYOTIC CELL,EUKARYOT CELL,2.946
FUNGAL GENETICS AND BIOLOGY,FUNGAL GENET BIOL,2.933
MEDICAL MYCOLOGY,MED MYCOL,2.644
MYCOLOGIA,MYCOLOGIA,2.638
Fungal Ecology,FUNGAL ECOL,2.631
FEMS YEAST RESEARCH,FEMS YEAST RES,2.479
MYCOSES,MYCOSES,2.332
YEAST,YEAST,2.259
Fungal Biology,FUNGAL BIOL-UK,2.244
World Mycotoxin Journal,WORLD MYCOTOXIN J,2.091
Mycotoxin Research,MYCOTOXIN RES,2
MycoKeys,MYCOKEYS,1.846
MYCOPATHOLOGIA,MYCOPATHOLOGIA,1.671
MYCOLOGICAL PROGRESS,MYCOL PROG,1.572
CRYPTOGAMIE MYCOLOGIE,CRYPTOGAMIE MYCOL,1.509
REVISTA IBEROAMERICANA DE MICOLOGIA,REV IBEROAM MICOL,1.444
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,INT J MED MUSHROOMS,1.357
LICHENOLOGIST,LICHENOLOGIST,1.29
MYCOSCIENCE,MYCOSCIENCE,1.165
JOURNAL DE MYCOLOGIE MEDICALE,J MYCOL MED,0.756
SYDOWIA,SYDOWIA,0.7
Mycosphere,MYCOSPHERE,0.654
MYCOTAXON,MYCOTAXON,0.61
MYCOBIOLOGY,MYCOBIOLOGY,0.573
