nfull,nabb,if
Nature Nanotechnology,NAT NANOTECHNOL,35.267
ADVANCED MATERIALS,ADV MATER,18.96
NANO LETTERS,NANO LETT,13.779
ACS Nano,ACS NANO,13.334
Nano Today,NANO TODAY,13.157
Nano Energy,NANO ENERGY,11.553
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,11.382
Nano Research,NANO RES,8.893
Journal of Physical Chemistry Letters,J PHYS CHEM LETT,8.539
Small,SMALL,8.315
Nanotoxicology,NANOTOXICOLOGY,7.913
Nanoscale,NANOSCALE,7.76
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.476
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,7.145
Advanced Science,ADV SCI,6
Environmental Science-Nano,ENVIRON SCI-NANO,5.896
Advanced Healthcare Materials,ADV HEALTHC MATER,5.76
Nanomedicine-Nanotechnology Biology and Medicine,NANOMED-NANOTECHNOL,5.671
LAB ON A CHIP,LAB CHIP,5.586
ACS Photonics,ACS PHOTONICS,5.404
Nanomedicine,NANOMEDICINE-UK,4.889
Journal of Physical Chemistry C,J PHYS CHEM C,4.509
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,PART PART SYST CHAR,4.367
Nanophotonics,NANOPHOTONICS-BERLIN,4.333
APL Materials,APL MATER,4.323
International Journal of Nanomedicine,INT J NANOMED,4.32
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,4.239
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WIRES NANOMED NANOBI,4.095
Journal of Biomedical Nanotechnology,J BIOMED NANOTECHNOL,3.929
NANOTECHNOLOGY,NANOTECHNOLOGY,3.573
MICROPOROUS AND MESOPOROUS MATERIALS,MICROPOR MESOPOR MAT,3.349
SCRIPTA MATERIALIA,SCRIPTA MATER,3.305
Nano-Micro Letters,NANO-MICRO LETT,3.012
Beilstein Journal of Nanotechnology,BEILSTEIN J NANOTECH,2.778
Biomicrofluidics,BIOMICROFLUIDICS,2.708
Nanomaterials,NANOMATERIALS-BASEL,2.69
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,MAT SCI ENG A-STRUCT,2.647
Nanoscale Research Letters,NANOSCALE RES LETT,2.584
Microfluidics and Nanofluidics,MICROFLUID NANOFLUID,2.537
Nanoscale and Microscale Thermophysical Engineering,NANOSC MICROSC THERM,2.39
BIOMEDICAL MICRODEVICES,BIOMED MICRODEVICES,2.227
Plasmonics,PLASMONICS,2.146
JOURNAL OF NANOPARTICLE RESEARCH,J NANOPART RES,2.101
Nanotechnology Reviews,NANOTECHNOL REV,2.044
IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE T NANOBIOSCI,1.969
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,PRECIS ENG,1.914
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,PHYSICA E,1.904
Science of Advanced Materials,SCI ADV MATER,1.812
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,J MICROMECH MICROENG,1.768
Journal of Nanomaterials,J NANOMATER,1.758
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,1.702
Journal of Computational and Theoretical Nanoscience,J COMPUT THEOR NANOS,1.666
Materials Express,MATER EXPRESS,1.606
Advances in Natural Sciences-Nanoscience and Nanotechnology,ADV NAT SCI-NANOSCI,1.581
Recent Patents on Nanotechnology,RECENT PAT NANOTECH,1.576
IET Nanobiotechnology,IET NANOBIOTECHNOL,1.541
Photonics and Nanostructures-Fundamentals and Applications,PHOTONIC NANOSTRUCT,1.505
Journal of Nanophotonics,J NANOPHOTONICS,1.488
AIP Advances,AIP ADV,1.444
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,J VAC SCI TECHNOL B,1.398
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,J NANOSCI NANOTECHNO,1.338
Journal of Micro-Nanolithography MEMS and MOEMS,J MICRO-NANOLITH MEM,1.335
