nfull,nabb,if
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,INT J ENERG RES,2.529
JOURNAL OF NUCLEAR MATERIALS,J NUCL MATER,2.199
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,1.779
JOURNAL OF RADIOLOGICAL PROTECTION,J RADIOL PROT,1.581
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,NUCL INSTRUM METH B,1.389
FUSION ENGINEERING AND DESIGN,FUSION ENG DES,1.301
RADIATION PHYSICS AND CHEMISTRY,RADIAT PHYS CHEM,1.207
JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,J NUCL SCI TECHNOL,1.202
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCL INSTRUM METH A,1.2
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,IEEE T NUCL SCI,1.198
HEALTH PHYSICS,HEALTH PHYS,1.193
PROGRESS IN NUCLEAR ENERGY,PROG NUCL ENERG,1.184
ANNALS OF NUCLEAR ENERGY,ANN NUCL ENERGY,1.174
APPLIED RADIATION AND ISOTOPES,APPL RADIAT ISOTOPES,1.136
RADIOCHIMICA ACTA,RADIOCHIM ACTA,1.1
RADIATION MEASUREMENTS,RADIAT MEAS,1.071
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,J RADIOANAL NUCL CH,0.983
NUCLEAR ENGINEERING AND DESIGN,NUCL ENG DES,0.967
RADIATION PROTECTION DOSIMETRY,RADIAT PROT DOSIM,0.894
NUCLEAR SCIENCE AND ENGINEERING,NUCL SCI ENG,0.844
Science and Technology of Nuclear Installations,SCI TECHNOL NUCL INS,0.811
FUSION SCIENCE AND TECHNOLOGY,FUSION SCI TECHNOL,0.799
Nuclear Engineering and Technology,NUCL ENG TECHNOL,0.792
Nuclear Science and Techniques,NUCL SCI TECH,0.641
NUCLEAR TECHNOLOGY,NUCL TECHNOL,0.623
RADIOPROTECTION,RADIOPROTECTION,0.508
Radiation Effects and Defects in Solids,RADIAT EFF DEFECT S,0.472
Nuclear Technology & Radiation Protection,NUCL TECHNOL RADIAT,0.372
KERNTECHNIK,KERNTECHNIK,0.248
NUCLEAR ENGINEERING INTERNATIONAL,NUCL ENG INT,0.07
ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,ATW-INT J NUCL POWER,0.045
ATOMIC ENERGY,ATOM ENERGY+,0.043
