nfull,nabb,if
International Journal Of Nursing Studies,Int J Nurs Stud,3.561
Oncology Nursing Forum,Oncol Nurs Forum,2.708
European Journal Of Cardiovascular Nursing,Eur J Cardiovasc Nur,2.491
Nursing Outlook,Nurs Outlook,2.287
Journal Of Cardiovascular Nursing,J Cardiovasc Nurs,2.172
Cancer Nursing,Cancer Nurs,2.017
International Journal Of Mental Health Nursing,Int J Ment Health Nu,1.943
Journal Of Advanced Nursing,J Adv Nurs,1.917
Birth-Issues In Perinatal Care,Birth-Iss Perinat C,1.867
Midwifery,Midwifery,1.861
Nursing Research,Nurs Res,1.856
European Journal Of Cancer Care,Eur J Cancer Care,1.794
Journal Of Family Nursing,J Fam Nurs,1.775
Worldviews On Evidence-Based Nursing,Worldv Evid-Based Nu,1.762
Pain Management Nursing,Pain Manag Nurs,1.745
Journal Of Nursing Management,J Nurs Manage,1.721
Journal Of Tissue Viability,J Tissue Viability,1.656
Research In Nursing & Health,Res Nurs Health,1.638
European Journal Of Oncology Nursing,Eur J Oncol Nurs,1.618
Journal Of Pediatric Health Care,J Pediatr Health Car,1.615
American Journal Of Nursing,Am J Nurs,1.605
Nurse Education Today,Nurs Educ Today,1.591
Journal Of The American Psychiatric Nurses Association,J Am Psychiat Nurses,1.535
Women And Birth,Women Birth,1.525
Journal Of Nursing Scholarship,J Nurs Scholarship,1.521
Journal Of Pediatric Oncology Nursing,J Pediatr Oncol Nurs,1.507
Australian Critical Care,Aust Crit Care,1.479
Nursing Ethics,Nurs Ethics,1.469
Journal Of Midwifery & Womens Health,J Midwifery Wom Heal,1.432
Janac-Journal Of The Association Of Nurses In Aids Care,J Assoc Nurse Aids C,1.398
Journal Of Clinical Nursing,J Clin Nurs,1.384
Clinical Simulation In Nursing,Clin Simul Nurs,1.36
Clinical Nursing Research,Clin Nurs Res,1.359
Nursing & Health Sciences,Nurs Health Sci,1.347
Journal Of The American Academy Of Nurse Practitioners,J Am Acad Nurse Prac,1.346
Advances In Skin & Wound Care,Adv Skin Wound Care,1.337
Critical Care Nurse,Crit Care Nurse,1.333
Journal Of The American Association Of Nurse Practitioners,J Am Assoc Nurse Pra,1.272
Journal Of Child Health Care,J Child Health Care,1.242
Archives Of Psychiatric Nursing,Arch Psychiat Nurs,1.217
Scandinavian Journal Of Caring Sciences,Scand J Caring Sci,1.215
Intensive And Critical Care Nursing,Intens Crit Care Nur,1.214
Advances In Neonatal Care,Adv Neonat Care,1.198
Rehabilitation Nursing,Rehabil Nurs,1.156
Nursing Inquiry,Nurs Inq,1.141
Journal Of Nursing Administration,J Nurs Admin,1.14
Collegian,Collegian,1.122
Journal Of Nursing Care Quality,J Nurs Care Qual,1.117
Nursing In Critical Care,Nurs Crit Care,1.113
Journal Of Transcultural Nursing,J Transcult Nurs,1.111
Journal Of Professional Nursing,J Prof Nurs,1.096
Jognn-Journal Of Obstetric Gynecologic And Neonatal Nursing,Jognn-J Obst Gyn Neo,1.094
Western Journal Of Nursing Research,Western J Nurs Res,1.09
International Nursing Review,Int Nurs Rev,1.073
Journal Of Nursing Education,J Nurs Educ,1.06
Journal Of Psychiatric And Mental Health Nursing,J Psychiatr Ment Hlt,1.055
Applied Nursing Research,Appl Nurs Res,1.043
Geriatric Nursing,Geriatr Nurs,1.009
Journal Of Pediatric Nursing-Nursing Care Of Children & Families,J Pediatr Nurs,1.006
Perspectives In Psychiatric Care,Perspect Psychiatr C,1
Nurse Educator,Nurs Educ,0.991
Issues In Mental Health Nursing,Issues Ment Health N,0.99
Nursing Philosophy,Nurs Philos,0.981
International Journal Of Nursing Practice,Int J Nurs Pract,0.98
International Emergency Nursing,Int Emerg Nurs,0.974
Journal Of Wound Ostomy And Continence Nursing,J Wound Ostomy Cont,0.969
Nurse Education In Practice,Nurse Educ Pract,0.964
Journal Of Nursing Research,J Nurs Res,0.955
Journal Of Gerontological Nursing,J Gerontol Nurs,0.94
Nursing Economics,Nurs Econ,0.934
Journal Of School Nursing,J Sch Nurs,0.932
Journal For Specialists In Pediatric Nursing,J Spec Pediatr Nurs,0.919
Public Health Nursing,Public Health Nurs,0.901
