nfull,nabb,if
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,11.238
Annual Review of Nutrition,ANNU REV NUTR,6.784
AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,6.703
NUTRITION REVIEWS,NUTR REV,5.591
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,CRIT REV FOOD SCI,5.492
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,5.337
Advances in Nutrition,ADV NUTR,5.201
PROCEEDINGS OF THE NUTRITION SOCIETY,P NUTR SOC,4.703
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,4.668
CLINICAL NUTRITION,CLIN NUTR,4.487
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,4.068
FOOD CHEMISTRY,FOOD CHEM,4.052
NUTRITION RESEARCH REVIEWS,NUTR RES REV,4.051
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,CURR OPIN CLIN NUTR,4.033
International Journal of Behavioral Nutrition and Physical Activity,INT J BEHAV NUTR PHY,3.993
Nutrients,NUTRIENTS,3.759
JOURNAL OF NUTRITION,J NUTR,3.74
Obesity,OBESITY,3.614
Journal of the Academy of Nutrition and Dietetics,J ACAD NUTR DIET,3.609
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,JPEN-PARENTER ENTER,3.517
Maternal and Child Nutrition,MATERN CHILD NUTR,3.505
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,NUTR METAB CARDIOVAS,3.39
BRITISH JOURNAL OF NUTRITION,BRIT J NUTR,3.311
Beneficial Microbes,BENEF MICROBES,3.301
Nutrition & Metabolism,NUTR METAB,3.28
Nutrition Journal,NUTR J,3.265
EUROPEAN JOURNAL OF NUTRITION,EUR J NUTR,3.239
Food & Nutrition Research,FOOD NUTR RES,3.226
Journal of Nutrition Health & Aging,J NUTR HEALTH AGING,3.199
APPETITE,APPETITE,3.125
EUROPEAN JOURNAL OF CLINICAL NUTRITION,EUR J CLIN NUTR,2.935
NUTRITION,NUTRITION,2.839
Nutrition & Diabetes,NUTR DIABETES,2.773
NUTRITIONAL NEUROSCIENCE,NUTR NEUROSCI,2.616
JOURNAL OF HUMAN NUTRITION AND DIETETICS,J HUM NUTR DIET,2.583
NUTRITION RESEARCH,NUTR RES,2.523
ANNALS OF NUTRITION AND METABOLISM,ANN NUTR METAB,2.461
PUBLIC HEALTH NUTRITION,PUBLIC HEALTH NUTR,2.433
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,2.4
Obesity Facts,OBESITY FACTS,2.4
Genes and Nutrition,GENES NUTR,2.398
PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,2.276
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,2.253
JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION,J AM COLL NUTR,2.245
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,NUTR CANCER,2.241
NUTRITION IN CLINICAL PRACTICE,NUTR CLIN PRACT,2.155
Lipids in Health and Disease,LIPIDS HEALTH DIS,2.137
INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,INT J SPORT NUTR EXE,2.105
Obesity Research & Clinical Practice,OBES RES CLIN PRACT,2.094
JOURNAL OF RENAL NUTRITION,J RENAL NUTR,2.06
FOOD POLICY,FOOD POLICY,2.044
FOOD REVIEWS INTERNATIONAL,FOOD REV INT,1.974
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,EUR J LIPID SCI TECH,1.953
Applied Physiology Nutrition and Metabolism,APPL PHYSIOL NUTR ME,1.91
LIPIDS,LIPIDS,1.892
JOURNAL OF MEDICINAL FOOD,J MED FOOD,1.844
Journal of the International Society of Sports Nutrition,J INT SOC SPORT NUTR,1.811
JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,J CLIN BIOCHEM NUTR,1.694
FOOD AND NUTRITION BULLETIN,FOOD NUTR BULL,1.543
Nutricion Hospitalaria,NUTR HOSP,1.497
Journal of Nutrigenetics and Nutrigenomics,J NUTRIGENET NUTRIGE,1.488
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,INT J FOOD SCI NUTR,1.451
Nutrition Research and Practice,NUTR RES PRACT,1.416
ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,ASIA PAC J CLIN NUTR,1.35
Endocrinologia y Nutricion,ENDOCRINOL NUTR,1.314
World Review of Nutrition and Dietetics,WORLD REV NUTR DIET,1.112
Nutrition & Dietetics,NUTR DIET,0.899
ECOLOGY OF FOOD AND NUTRITION,ECOL FOOD NUTR,0.894
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,J NUTR SCI VITAMINOL,0.89
INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,INT J VITAM NUTR RES,0.818
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,CAN J DIET PRACT RES,0.622
FOOD AND DRUG LAW JOURNAL,FOOD DRUG LAW J,0.578
Revista de Nutricao-Brazilian Journal of Nutrition,REV NUTR,0.446
Nutrition Clinique et Metabolisme,NUTR CLIN METAB,0.398
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0.333
ERNAHRUNGS UMSCHAU,ERNAHRUNGS UMSCHAU,0.326
Progress in Nutrition,PROG NUTR,0.312
ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,0.221
Current Topics in Nutraceutical Research,CURR TOP NUTRACEUT R,0.186
TOPICS IN CLINICAL NUTRITION,TOP CLIN NUTR,0.134
