nfull,nabb,if
Annual Review of Marine Science,ANNU REV MAR SCI,13.214
Oceanography and Marine Biology,OCEANOGR MAR BIOL,4.545
OCEANOGRAPHY,OCEANOGRAPHY,3.883
LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,3.66
PROGRESS IN OCEANOGRAPHY,PROG OCEANOGR,3.512
PALEOCEANOGRAPHY,PALEOCEANOGRAPHY,3.433
MARINE CHEMISTRY,MAR CHEM,3.412
OCEAN MODELLING,OCEAN MODEL,3.337
JOURNAL OF PHYSICAL OCEANOGRAPHY,J PHYS OCEANOGR,3.026
Ocean Science,OCEAN SCI,2.985
FISHERIES OCEANOGRAPHY,FISH OCEANOGR,2.73
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,DEEP-SEA RES PT I,2.684
ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,2.626
MARINE GEOLOGY,MAR GEOL,2.503
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,2.361
ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,2.335
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,2.174
JOURNAL OF PLANKTON RESEARCH,J PLANKTON RES,2.15
JOURNAL OF SEA RESEARCH,J SEA RES,2.148
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DEEP-SEA RES PT II,2.137
CONTINENTAL SHELF RESEARCH,CONT SHELF RES,2.011
LIMNOLOGY AND OCEANOGRAPHY-METHODS,LIMNOL OCEANOGR-METH,2.008
OCEAN DYNAMICS,OCEAN DYNAM,1.892
BULLETIN OF MARINE SCIENCE,B MAR SCI,1.856
ATMOSPHERE-OCEAN,ATMOS OCEAN,1.742
Australian Meteorological and Oceanographic Journal,AUST METEOROL OCEAN,1.742
POLAR RESEARCH,POLAR RES,1.728
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,1.696
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,1.648
MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,1.583
GEO-MARINE LETTERS,GEO-MAR LETT,1.577
HELGOLAND MARINE RESEARCH,HELGOLAND MAR RES,1.509
OCEAN ENGINEERING,OCEAN ENG,1.488
DYNAMICS OF ATMOSPHERES AND OCEANS,DYNAM ATMOS OCEANS,1.439
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,1.398
ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,1.394
APPLIED OCEAN RESEARCH,APPL OCEAN RES,1.382
MARINE GEOPHYSICAL RESEARCH,MAR GEOPHYS RES,1.286
JOURNAL OF OCEANOGRAPHY,J OCEANOGR,1.27
JOURNAL OF NAVIGATION,J NAVIGATION,1.267
Journal of Operational Oceanography,J OPER OCEANOGR,1.263
JOURNAL OF MARINE RESEARCH,J MAR RES,1.189
MARINE GEODESY,MAR GEOD,0.979
OCEANOLOGIA,OCEANOLOGIA,0.935
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,NEW ZEAL J MAR FRESH,0.864
MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,0.761
OCEANOLOGY,OCEANOLOGY+,0.675
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0.631
BRAZILIAN JOURNAL OF OCEANOGRAPHY,BRAZ J OCEANOGR,0.621
MARINE TECHNOLOGY SOCIETY JOURNAL,MAR TECHNOL SOC J,0.59
ACTA ADRIATICA,ACTA ADRIAT,0.561
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,0.556
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,CHIN J OCEANOL LIMN,0.547
THALASSAS,THALASSAS,0.538
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,OCEANOL HYDROBIOL ST,0.519
Journal of Ocean University of China,J OCEAN U CHINA,0.509
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,IZV ATMOS OCEAN PHY+,0.5
Ocean Science Journal,OCEAN SCI J,0.5
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,REV BIOL MAR OCEANOG,0.475
Indian Journal of Geo-Marine Sciences,INDIAN J GEO-MAR SCI,0.316
NAVAL ENGINEERS JOURNAL,NAV ENG J,0.157
