nfull,nabb,if
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,137.578
NATURE REVIEWS CANCER,NAT REV CANCER,34.244
LANCET ONCOLOGY,LANCET ONCOL,26.509
CANCER CELL,CANCER CELL,23.214
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,20.982
Cancer Discovery,CANCER DISCOV,19.783
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,18.786
LEUKEMIA,LEUKEMIA,12.104
JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,11.37
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,9.955
ANNALS OF ONCOLOGY,ANN ONCOL,9.269
CLINICAL CANCER RESEARCH,CLIN CANCER RES,8.738
CANCER RESEARCH,CANCER RES,8.556
CANCER TREATMENT REVIEWS,CANCER TREAT REV,7.983
ONCOGENE,ONCOGENE,7.932
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,7.841
OncoImmunology,ONCOIMMUNOLOGY,7.644
JOURNAL OF PATHOLOGY,J PATHOL,7.381
NEURO-ONCOLOGY,NEURO-ONCOLOGY,7.371
Cancer Immunology Research,CANCER IMMUNOL RES,6.665
Journal of Hematology & Oncology,J HEMATOL ONCOL,6.263
EUROPEAN JOURNAL OF CANCER,EUR J CANCER,6.163
CANCER LETTERS,CANCER LETT,5.992
STEM CELLS,STEM CELLS,5.902
Molecular Cancer,MOL CANCER,5.888
CANCER,CANCER-AM CANCER SOC,5.649
MOLECULAR CANCER THERAPEUTICS,MOL CANCER THER,5.579
BRITISH JOURNAL OF CANCER,BRIT J CANCER,5.569
INTERNATIONAL JOURNAL OF CANCER,INT J CANCER,5.531
Molecular Oncology,MOL ONCOL,5.367
CANCER AND METASTASIS REVIEWS,CANCER METAST REV,5.316
BREAST CANCER RESEARCH,BREAST CANCER RES,5.211
Journal of Thoracic Oncology,J THORAC ONCOL,5.04
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY,CRIT REV ONCOL HEMAT,5.039
Oncogenesis,ONCOGENESIS,5.021
Oncotarget,ONCOTARGET,5.008
CARCINOGENESIS,CARCINOGENESIS,4.874
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,4.846
RADIOTHERAPY AND ONCOLOGY,RADIOTHER ONCOL,4.817
ONCOLOGIST,ONCOLOGIST,4.789
Advances in Cancer Research,ADV CANCER RES,4.754
MOLECULAR CARCINOGENESIS,MOL CARCINOGEN,4.722
CURRENT OPINION IN ONCOLOGY,CURR OPIN ONCOL,4.614
MOLECULAR CANCER RESEARCH,MOL CANCER RES,4.51
NEOPLASIA,NEOPLASIA,4.509
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,4.495
ENDOCRINE-RELATED CANCER,ENDOCR-RELAT CANCER,4.472
Blood Cancer Journal,BLOOD CANCER J,4.411
Gastric Cancer,GASTRIC CANCER,4.404
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,4.357
Clinical Epigenetics,CLIN EPIGENETICS,4.327
ORAL ONCOLOGY,ORAL ONCOL,4.286
Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,4.262
Cancer Research and Treatment,CANCER RES TREAT,4.245
GYNECOLOGIC ONCOLOGY,GYNECOL ONCOL,4.198
Pigment Cell & Melanoma Research,PIGM CELL MELANOMA R,4.163
BREAST CANCER RESEARCH AND TREATMENT,BREAST CANCER RES TR,4.085
GENES CHROMOSOMES & CANCER,GENE CHROMOSOME CANC,3.96
ONCOLOGY RESEARCH,ONCOL RES,3.957
SEMINARS IN ONCOLOGY,SEMIN ONCOL,3.954
Therapeutic Advances in Medical Oncology,THER ADV MED ONCOL,3.938
CANCER SCIENCE,CANCER SCI,3.896
Cancer Prevention Research,CANCER PREV RES,3.887
PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,3.803
LUNG CANCER,LUNG CANCER,3.767
ACTA ONCOLOGICA,ACTA ONCOL,3.73
JOURNAL OF IMMUNOTHERAPY,J IMMUNOTHER,3.712
CURRENT CANCER DRUG TARGETS,CURR CANCER DRUG TAR,3.707
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,J ENVIRON SCI HEAL C,3.667
ANNALS OF SURGICAL ONCOLOGY,ANN SURG ONCOL,3.655
BONE MARROW TRANSPLANTATION,BONE MARROW TRANSPL,3.636
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,CANCER EPIDEM BIOMAR,3.622
Journal of Cancer,J CANCER,3.609
CELLULAR ONCOLOGY,CELL ONCOL,3.562
SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,3.556
Recent Patents on Anti-Cancer Drug Discovery,RECENT PAT ANTI-CANC,3.533
SURGICAL ONCOLOGY-OXFORD,SURG ONCOL,3.514
CANCER JOURNAL,CANCER J,3.496
HEMATOLOGICAL ONCOLOGY,HEMATOL ONCOL,3.494
Journal of Cancer Survivorship,J CANCER SURVIV,3.478
American Journal of Cancer Research,AM J CANCER RES,3.425
EXPERIMENTAL CELL RESEARCH,EXP CELL RES,3.378
