nfull,nabb,if
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,9.394
OPHTHALMOLOGY,OPHTHALMOLOGY,6.75
Ocular Surface,OCUL SURF,4.477
JAMA Ophthalmology,JAMA OPHTHALMOL,4.34
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
AMERICAN JOURNAL OF OPHTHALMOLOGY,AM J OPHTHALMOL,3.831
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,INVEST OPHTH VIS SCI,3.427
JOURNAL OF REFRACTIVE SURGERY,J REFRACT SURG,3.314
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
SURVEY OF OPHTHALMOLOGY,SURV OPHTHALMOL,3.292
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,RETINA-J RET VIT DIS,3.039
BRITISH JOURNAL OF OPHTHALMOLOGY,BRIT J OPHTHALMOL,3.036
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,3.032
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,J CATARACT REFR SURG,3.02
EXPERIMENTAL EYE RESEARCH,EXP EYE RES,2.998
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
CURRENT OPINION IN OPHTHALMOLOGY,CURR OPIN OPHTHALMOL,2.968
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,OPHTHAL PHYSL OPT,2.567
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,CLIN EXP OPHTHALMOL,2.546
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
OCULAR IMMUNOLOGY AND INFLAMMATION,OCUL IMMUNOL INFLAMM,2.481
JOURNAL OF VISION,J VISION,2.341
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
EYE,EYE,2.213
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MOLECULAR VISION,MOL VIS,2.11
JOURNAL OF GLAUCOMA,J GLAUCOMA,2.102
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
CURRENT EYE RESEARCH,CURR EYE RES,2.025
