nfull,nabb,if
Nature Photonics,NAT PHOTONICS,31.167
Light-Science & Applications,LIGHT-SCI APPL,13.6
Advances in Optics and Photonics,ADV OPT PHOTONICS,12.368
Laser & Photonics Reviews,LASER PHOTONICS REV,7.486
Advances In Atomic Molecular and Optical Physics,ADV ATOM MOL OPT PHY,5.417
ACS Photonics,ACS PHOTONICS,5.404
Advanced Optical Materials,ADV OPT MATER,5.359
Optica,OPTICA,5.205
Nanophotonics,NANOPHOTONICS-BERLIN,4.333
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
Journal of Biophotonics,J BIOPHOTONICS,3.818
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,3.466
Biomedical Optics Express,BIOMED OPT EXPRESS,3.344
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
Photonics Research,PHOTONICS RES,3.179
OPTICS EXPRESS,OPT EXPRESS,3.148
OPTICS LETTERS,OPT LETT,3.04
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,J QUANT SPECTROSC RA,2.859
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
PHYSICAL REVIEW A,PHYS REV A,2.765
MANAGEMENT SCIENCE,MANAGE SCI,2.741
JOURNAL OF LUMINESCENCE,J LUMIN,2.693
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
Optical Materials Express,OPT MATER EXPRESS,2.657
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
