nfull,nabb,if
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
JOURNAL OF AVIAN BIOLOGY,J AVIAN BIOL,2.192
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
AUK,AUK,1.871
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
IBIS,IBIS,1.804
OPERATIONS RESEARCH,OPER RES,1.777
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
JOURNAL OF FIELD ORNITHOLOGY,J FIELD ORNITHOL,1.514
Avian Conservation and Ecology,AVIAN CONSERV ECOL,1.474
IIE TRANSACTIONS,IIE TRANS,1.463
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
CONDOR,CONDOR,1.427
JOURNAL OF ORNITHOLOGY,J ORNITHOL,1.419
ANNALS OF OPERATIONS RESEARCH,ANN OPER RES,1.406
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
OR SPECTRUM,OR SPECTRUM,1.395
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1.371
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
