nfull,nabb,if
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,J BONE JOINT SURG AM,5.163
OSTEOARTHRITIS AND CARTILAGE,OSTEOARTHR CARTILAGE,4.535
AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,4.517
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
Journal of Physiotherapy,J PHYSIOTHER,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,3.724
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLIN ORTHOP RELAT R,3.127
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,3.097
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,J AM ACAD ORTHOP SUR,3.055
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
JOURNAL OF ORTHOPAEDIC RESEARCH,J ORTHOP RES,2.807
PHYSICAL THERAPY,PHYS THER,2.799
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
Bone & Joint Journal,BONE JOINT J,2.66
Spine Journal,SPINE J,2.66
Acta Orthopaedica,ACTA ORTHOP,2.617
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,J ORTHOP SPORT PHYS,2.551
JOURNAL OF ARTHROPLASTY,J ARTHROPLASTY,2.515
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
SPINE,SPINE,2.439
Bone & Joint Research,BONE JOINT RES,2.425
JOURNAL OF SHOULDER AND ELBOW SURGERY,J SHOULDER ELB SURG,2.412
Archives of Osteoporosis,ARCH OSTEOPOROS,2.387
INTERNATIONAL ORTHOPAEDICS,INT ORTHOP,2.387
CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,2.308
JOURNAL OF SPINAL DISORDERS & TECHNIQUES,J SPINAL DISORD TECH,2.291
GAIT & POSTURE,GAIT POSTURE,2.286
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
SAFETY SCIENCE,SAFETY SCI,2.157
EUROPEAN SPINE JOURNAL,EUR SPINE J,2.132
IEEE Systems Journal,IEEE SYST J,2.114
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,INJURY,1.91
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
FOOT & ANKLE INTERNATIONAL,FOOT ANKLE INT,1.896
Journal of Hand Surgery-European Volume,J HAND SURG-EUR VOL,1.868
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
JOURNAL OF ORTHOPAEDIC TRAUMA,J ORTHOP TRAUMA,1.84
OPERATIONS RESEARCH,OPER RES,1.777
Journal of Hand Therapy,J HAND THER,1.77
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
