nfull,nabb,if
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
HEARING RESEARCH,HEARING RES,3.565
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,JARO-J ASSOC RES OTO,3.03
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD NECK-J SCI SPEC,2.76
MANAGEMENT SCIENCE,MANAGE SCI,2.741
JAMA Otolaryngology-Head & Neck Surgery,JAMA OTOLARYNGOL,2.705
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
CLINICAL OTOLARYNGOLOGY,CLIN OTOLARYNGOL,2.627
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
EAR AND HEARING,EAR HEARING,2.517
Trends in Amplification,TRENDS AMPLIF,2.5
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
International Forum of Allergy & Rhinology,INT FORUM ALLERGY RH,2.35
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
LARYNGOSCOPE,LARYNGOSCOPE,2.272
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
Trends in Hearing,TRENDS HEAR,2.158
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,2.021
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
American Journal of Rhinology & Allergy,AM J RHINOL ALLERGY,1.96
OTOLOGY & NEUROTOLOGY,OTOL NEUROTOL,1.953
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
OPERATIONS RESEARCH,OPER RES,1.777
AUDIOLOGY AND NEURO-OTOLOGY,AUDIOL NEURO-OTOL,1.776
DYSPHAGIA,DYSPHAGIA,1.754
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
RHINOLOGY,RHINOLOGY,1.686
