nfull,nabb,if
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,11.194
OBSTETRICS AND GYNECOLOGY,OBSTET GYNECOL,5.656
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AM J OBSTET GYNECOL,4.681
HUMAN REPRODUCTION,HUM REPROD,4.621
FERTILITY AND STERILITY,FERTIL STERIL,4.426
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND OBST GYN,4.254
GYNECOLOGIC ONCOLOGY,GYNECOL ONCOL,4.198
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,BJOG-INT J OBSTET GY,4.096
MOLECULAR HUMAN REPRODUCTION,MOL HUM REPROD,3.943
MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY,MENOPAUSE,3.172
MATURITAS,MATURITAS,3.12
PRENATAL DIAGNOSIS,PRENATAL DIAG,3.043
PLACENTA,PLACENTA,2.972
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,2.958
REPRODUCTIVE BIOMEDICINE ONLINE,REPROD BIOMED ONLINE,2.796
CONTRACEPTION,CONTRACEPTION,2.788
BREAST,BREAST,2.74
FETAL DIAGNOSIS AND THERAPY,FETAL DIAGN THER,2.7
CLINICS IN PERINATOLOGY,CLIN PERINATOL,2.611
Journal of Gynecologic Oncology,J GYNECOL ONCOL,2.522
CLIMACTERIC,CLIMACTERIC,2.492
Reproductive Sciences,REPROD SCI,2.429
Journal of Minimally Invasive Gynecology,J MINIM INVAS GYN,2.39
Twin Research and Human Genetics,TWIN RES HUM GENET,2.339
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY,BEST PRACT RES CL OB,2.291
JOURNAL OF HUMAN LACTATION,J HUM LACT,2.233
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,2.191
BMC Pregnancy and Childbirth,BMC PREGNANCY CHILDB,2.18
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,CURR OPIN OBSTET GYN,2.134
SEMINARS IN PERINATOLOGY,SEMIN PERINATOL,2.131
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,INT J GYNECOL CANCER,2.116
SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,2.113
Journal of Perinatology,J PERINATOL,2.087
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,2.04
JOURNAL OF WOMENS HEALTH,J WOMENS HEALTH,2.032
Journal of Lower Genital Tract Disease,J LOW GENIT TRACT DI,1.936
Breast Journal,BREAST J,1.92
EARLY HUMAN DEVELOPMENT,EARLY HUM DEV,1.913
BIRTH-ISSUES IN PERINATAL CARE,BIRTH-ISS PERINAT C,1.867
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,J ASSIST REPROD GEN,1.858
INTERNATIONAL UROGYNECOLOGY JOURNAL,INT UROGYNECOL J,1.834
JOURNAL OF PERINATAL MEDICINE,J PERINAT MED,1.798
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,AUST NZ J OBSTET GYN,1.738
OBSTETRICAL & GYNECOLOGICAL SURVEY,OBSTET GYNECOL SURV,1.718
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,1.68
AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,1.677
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,1.674
Journal of Maternal-Fetal & Neonatal Medicine,J MATERN-FETAL NEO M,1.674
GYNECOLOGIC AND OBSTETRIC INVESTIGATION,GYNECOL OBSTET INVES,1.672
European Journal of Obstetrics & Gynecology and Reproductive Biology,EUR J OBSTET GYN R B,1.662
Breast Care,BREAST CARE,1.645
CLINICAL OBSTETRICS AND GYNECOLOGY,CLIN OBSTET GYNECOL,1.619
Journal of Pediatric and Adolescent Gynecology,J PEDIATR ADOL GYNEC,1.605
Women and Birth,WOMEN BIRTH,1.525
Breastfeeding Medicine,BREASTFEED MED,1.438
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,INT J GYNECOL PATHOL,1.437
GYNECOLOGICAL ENDOCRINOLOGY,GYNECOL ENDOCRINOL,1.413
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,OBSTET GYN CLIN N AM,1.4
BMC Womens Health,BMC WOMENS HEALTH,1.353
Female Pelvic Medicine and Reconstructive Surgery,FEMALE PELVIC MED RE,1.331
JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE,J FAM PLAN REPROD H,1.308
Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,PREGNANCY HYPERTENS,1.308
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,EUR J CONTRACEP REPR,1.236
HYPERTENSION IN PREGNANCY,HYPERTENS PREGNANCY,1.211
Breast Cancer,BREAST CANCER-TOKYO,1.182
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,JOGNN-J OBST GYN NEO,1.094
JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,J OBSTET GYNAECOL RE,1.091
JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,J PSYCHOSOM OBST GYN,1.065
Human Fertility,HUM FERTIL,0.988
GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSH FRAUENHEILK,0.931
Taiwanese Journal of Obstetrics & Gynecology,TAIWAN J OBSTET GYNE,0.865
JOURNAL OF PERINATAL & NEONATAL NURSING,J PERINAT NEONAT NUR,0.857
JOURNAL OF REPRODUCTIVE MEDICINE,J REPROD MED,0.84
JOURNAL DE GYNECOLOGIE OBSTETRIQUE ET BIOLOGIE DE LA REPRODUCTION,J GYNECOL OBST BIO R,0.749
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,J OBSTET GYNAECOL,0.611
Ginekologia Polska,GINEKOL POL,0.609
EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,EUR J GYNAECOL ONCOL,0.58
GYNECOLOGIE OBSTETRIQUE & FERTILITE,GYNECOL OBSTET FERTI,0.574
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,Z GEBURTSH NEONATOL,0.481
Clinical and Experimental Obstetrics & Gynecology,CLIN EXP OBSTET GYN,0.434
