nfull,nabb,if
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
PALEOCEANOGRAPHY,PALEOCEANOGRAPHY,3.433
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,3.143
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
PALEOBIOLOGY,PALEOBIOLOGY,2.959
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGR PALAEOCL,2.525
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,EARTH ENV SCI T R SO,2.333
PALAEONTOLOGY,PALAEONTOLOGY,2.312
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
CRETACEOUS RESEARCH,CRETACEOUS RES,2.196
REVIEW OF PALAEOBOTANY AND PALYNOLOGY,REV PALAEOBOT PALYNO,2.158
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
HISTORICAL BIOLOGY,HIST BIOL,2.059
JOURNAL OF VERTEBRATE PALEONTOLOGY,J VERTEBR PALEONTOL,2.042
VEGETATION HISTORY AND ARCHAEOBOTANY,VEG HIST ARCHAEOBOT,2.039
Geochronometria,GEOCHRONOMETRIA,2.038
Fossil Record,FOSS REC,2
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
MARINE MICROPALEONTOLOGY,MAR MICROPALEONTOL,1.859
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,P GEOLOGIST ASSOC,1.844
JOURNAL OF PALEONTOLOGY,J PALEONTOL,1.783
OPERATIONS RESEARCH,OPER RES,1.777
Special Papers in Palaeontology Series,SPEC PAP PALAEONTOL,1.75
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
