nfull,nabb,if
Cell Host & Microbe,CELL HOST MICROBE,12.552
TRENDS IN PARASITOLOGY,TRENDS PARASITOL,7.295
PLoS Pathogens,PLOS PATHOG,7.003
Advances in Parasitology,ADV PARASIT,4.829
INTERNATIONAL JOURNAL FOR PARASITOLOGY,INT J PARASITOL,4.242
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
PLoS Neglected Tropical Diseases,PLOS NEGLECT TROP D,3.948
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
International Journal for Parasitology-Drugs and Drug Resistance,INT J PARASITOL-DRUG,3.746
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
Parasites & Vectors,PARASITE VECTOR,3.234
MALARIA JOURNAL,MALARIA J,3.079
PARASITOLOGY,PARASITOLOGY,3.031
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
Ticks and Tick-Borne Diseases,TICKS TICK-BORNE DIS,2.69
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
ACTA TROPICA,ACTA TROP,2.38
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
TECHNOVATION,TECHNOVATION,2.243
VETERINARY PARASITOLOGY,VET PARASITOL,2.242
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
SAFETY SCIENCE,SAFETY SCI,2.157
IEEE Systems Journal,IEEE SYST J,2.114
MOLECULAR AND BIOCHEMICAL PARASITOLOGY,MOL BIOCHEM PARASIT,2.068
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
PARASITOLOGY RESEARCH,PARASITOL RES,2.027
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
M&SOM-Manufacturing & Service Operations Management,M&SOM-MANUF SERV OP,1.966
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
PARASITE IMMUNOLOGY,PARASITE IMMUNOL,1.917
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
PARASITOLOGY INTERNATIONAL,PARASITOL INT,1.86
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
MEMORIAS DO INSTITUTO OSWALDO CRUZ,MEM I OSWALDO CRUZ,1.789
Parasite,PARASITE,1.781
OPERATIONS RESEARCH,OPER RES,1.777
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
JOURNAL OF HELMINTHOLOGY,J HELMINTHOL,1.63
EXPERIMENTAL PARASITOLOGY,EXP PARASITOL,1.623
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
Pathogens and Global Health,PATHOG GLOB HEALTH,1.486
IIE TRANSACTIONS,IIE TRANS,1.463
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,1.444
ANNALS OF OPERATIONS RESEARCH,ANN OPER RES,1.406
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,1.406
OR SPECTRUM,OR SPECTRUM,1.395
JOURNAL OF PARASITOLOGY,J PARASITOL,1.394
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
4OR-A Quarterly Journal of Operations Research,4OR-Q J OPER RES,1.371
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
SYSTEMATIC PARASITOLOGY,SYST PARASITOL,1.316
