nfull,nabb,if
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,23.758
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,11.36
JOURNAL OF PATHOLOGY,J PATHOL,7.381
Seminars in Immunopathology,SEMIN IMMUNOPATHOL,6.394
MODERN PATHOLOGY,MODERN PATHOL,5.485
BRAIN PATHOLOGY,BRAIN PATHOL,5.256
JOURNAL OF MOLECULAR DIAGNOSTICS,J MOL DIAGN,5.201
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,AM J SURG PATHOL,4.951
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,4.483
Disease Models & Mechanisms,DIS MODEL MECH,4.316
AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,4.206
LABORATORY INVESTIGATION,LAB INVEST,4.202
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
CELLULAR ONCOLOGY,CELL ONCOL,3.562
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,J NEUROPATH EXP NEUR,3.432
HISTOPATHOLOGY,HISTOPATHOLOGY,3.425
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,EXPERT REV MOL DIAGN,3.333
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,3.183
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
PATHOLOGY,PATHOLOGY,2.968
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,2.919
JOURNAL OF CLINICAL PATHOLOGY,J CLIN PATHOL,2.912
CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,2.822
HUMAN PATHOLOGY,HUM PATHOL,2.791
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
EXPERIMENTAL AND MOLECULAR PATHOLOGY,EXP MOL PATHOL,2.638
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,2.631
VIRCHOWS ARCHIV,VIRCHOWS ARCH,2.627
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,ALZ DIS ASSOC DIS,2.53
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,2.278
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,2.197
CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,2.19
SAFETY SCIENCE,SAFETY SCI,2.157
DISEASE MARKERS,DIS MARKERS,2.137
