nfull,nabb,if
JAMA Pediatrics,JAMA PEDIATR,9.528
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AM ACAD CHILD PSY,7.182
PEDIATRICS,PEDIATRICS,5.196
JOURNAL OF OPERATIONS MANAGEMENT,J OPER MANAG,4
Archives of Disease in Childhood-Fetal and Neonatal Edition,ARCH DIS CHILD-FETAL,3.969
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,3.962
PEDIATRIC ALLERGY AND IMMUNOLOGY,PEDIAT ALLERG IMM-UK,3.947
JOURNAL OF PEDIATRICS,J PEDIATR-US,3.89
JOURNAL OF ADOLESCENT HEALTH,J ADOLESCENT HEALTH,3.838
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
Pediatric Obesity,PEDIATR OBES,3.689
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEV MED CHILD NEUROL,3.615
Maternal and Child Nutrition,MATERN CHILD NUTR,3.505
PEDIATRIC DIABETES,PEDIATR DIABETES,3.488
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,3.339
TRANSPORTATION SCIENCE,TRANSPORT SCI,3.295
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,3.25
ARCHIVES OF DISEASE IN CHILDHOOD,ARCH DIS CHILD,3.231
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,2.958
PEDIATRIC PULMONOLOGY,PEDIATR PULM,2.85
Seminars in Fetal & Neonatal Medicine,SEMIN FETAL NEONAT M,2.8
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
PEDIATRIC RESEARCH,PEDIATR RES,2.761
Neonatology,NEONATOLOGY,2.754
MANAGEMENT SCIENCE,MANAGE SCI,2.741
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,2.679
Pediatric Critical Care Medicine,PEDIATR CRIT CARE ME,2.659
PEDIATRIC BLOOD & CANCER,PEDIATR BLOOD CANCER,2.634
CLINICS IN PERINATOLOGY,CLIN PERINATOL,2.611
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
PEDIATRIC INFECTIOUS DISEASE JOURNAL,PEDIATR INFECT DIS J,2.587
